wavelength (nm),DOMBlank1,DOMSTD10,DOM12028,DOM12052,DOM12060,DOM12085,DOM12079,DOM12125,DOM12127,DOM12256,DOMBlank2,DOM12345,DOM12346,DOM12347,DOM12504,DOM12571,DOM12582,DOM12586,DOM12599,DOM12600,DOMBlank3,DOM12601,DOM12613,DOM12616,DOM12620,DOM12621,DOM12630,DOM12666,DOM12683,DOM12684,DOMBlank4,DOM12694,DOM12698,DOM12757,DOM12932,DOM12935,DOM12937,DOM13122,DOM13164,DOM13197,DOMBlank5,DOM13233,DOM13235,DOMBlank6
879.2000122,-0.004465743,-0.00045132,-0.001507619,-0.004057765,-0.002841454,-0.004722852,-0.007791312,-0.004346332,-0.002312439,-0.008900641,-0.008881012,-0.00441255,-0.005977014,-0.004470355,-0.003149385,-0.006594197,-0.006599602,-0.0052005,-0.000463422,-0.000201191,-0.003628971,0.001001803,-0.006003311,-0.00222916,-0.003573313,-0.004344026,-0.004079717,0.000216487,-0.001599238,-0.000389978,0.00318329,-0.006359317,0.000240858,1.92E-05,-0.008788735,-0.000282997,-0.001819694,0.002068054,-0.002252853,-0.004773754,0.002739071,-0.002709608,-0.004682393,-0.001465621
878.4000244,0.009475834,0.008760656,0.011930771,0.018641487,0.005047996,0.006551123,0.013111808,0.019323174,0.01023425,0.008422485,0.010907025,0.00681021,0.009908251,0.006271547,0.006635488,0.011367202,0.007337325,0.011550963,0.013558946,0.017561601,0.013621257,0.011454023,0.005652089,0.010200513,0.013389416,0.012548251,0.011111783,0.00895135,0.005146188,0.011219139,0.016864344,0.012119322,0.008949025,0.013953291,0.013540171,0.010441846,0.010029137,0.01401983,0.016925842,0.008658342,0.007285886,0.013223663,0.016795324,0.016661322
877.5999756,0.000268546,0.000669331,0.007132497,0.002086963,0.004101263,0.000445182,0.002383482,0.00153625,0.000336104,0.00374158,4.12E-06,0.003116279,0.000655694,0.008799803,0.001212377,-0.000514826,0.002212717,-0.00026168,0.009772147,-0.000579666,0.003547,0.004946291,0.002633687,0.000359627,0.005841449,-0.000282531,0.003449038,-0.00042215,0.007923523,0.006213511,0.010079817,0.000223272,-5.71E-05,0.004968416,0.001523625,0.005017068,0.003576988,0.001838294,0.00744578,0.002591681,0.007883349,0.004058905,0.002474981,0.005314861
876.7999878,-0.001402616,0.001490948,-0.002831064,-0.002548231,0.000381001,-0.000576615,-0.001631682,-0.006119357,-0.004376982,0.000550944,-0.00439082,-0.008038481,-0.000835055,-0.000529976,-0.003320609,-0.006987319,-0.0007748,0.000678276,-0.002329999,-0.004539731,6.03E-06,-0.001141416,0.0001606,-0.009381927,-0.002285711,-0.001714766,-0.003000254,-0.003470452,0.000907007,0.00086094,0.002923048,-0.007832957,-0.001156493,-0.0023421,-0.006886945,-0.002760438,-0.003147843,0.000545682,-0.006078518,0.003577771,0.001120806,-0.001548943,0.000691654,-0.002465255
876,0.005334384,0.00589941,0.005747952,0.012860508,0.010418884,0.005765423,0.003464798,0.005201331,0.005756792,0.006006141,0.005847484,0.003737167,0.005525231,0.005606932,0.006188461,0.007972349,0.004818697,0.0050001,0.006432776,0.006669186,0.009707209,0.003455039,0.009880417,0.010048529,0.003763669,0.010420184,0.005560259,0.003086479,0.007502743,0.008228355,0.014592609,0.009771247,0.009671236,0.007868007,0.010593412,0.009239532,0.012070932,0.008125613,0.00803426,0.008351757,0.00721129,0.011900281,0.011991492,0.011928163
875.2000122,0.005951,0.001542459,0.007207421,0.000682165,-0.000440459,0.002142239,0.002152177,0.00485872,0.001142166,0.0013398,-0.002642975,-0.000266026,0.001735857,0.00431583,-0.000539232,-0.0018083,0.005447451,0.000884025,0.007518098,0.001933527,0.00369803,0.001889873,0.009379779,0.007703926,0.006100008,0.008476699,0.001448974,0.005307734,0.001174662,0.006421742,0.005900905,0.002148092,0.007415839,0.007112024,0.008349092,0.003062391,0.001710934,0.000205946,0.004264746,0.009219357,0.004297372,0.005300239,0.006874716,0.00839955
874.4000244,0.002959352,0.008071627,0.004051746,0.004118823,0.000503645,0.003879515,0.001616243,0.005416573,0.006621268,0.003275715,0.000748724,0.002128322,0.006211463,0.009708268,0.009075302,0.003655948,0.003734295,0.004810478,0.002121975,0.009783559,0.007566905,0.008574376,0.003191557,0.004889295,0.011379824,0.011851702,0.004881494,0.005933051,0.006628338,0.009852533,0.010862646,0.007048614,0.009363486,0.005376971,0.005832817,0.005531523,0.012885546,0.008358169,0.007483965,0.007335719,0.008107151,0.007776708,0.006818703,0.003944867
873.5999756,-0.001515461,-0.004597211,0.005013245,0.002782525,-0.002673849,0.003912869,4.06E-05,0.000651572,0.005298615,-0.0010074,0.001052945,0.003834149,0.001027516,0.00332423,0.00027712,-0.000820793,0.003038304,0.003645323,0.000122561,0.004606785,0.006718844,0.005238245,0.007169023,0.003349351,0.00115696,0.005276028,0.000373488,0.005884243,0.009087037,0.004372097,0.00707003,0.00400605,0.001654101,0.008610654,0.003845144,0.007491471,0.003776412,0.010072796,0.010110657,0.006074019,0.006556483,0.006364342,0.007957295,0.008005756
872.7999878,0.002059315,0.005930295,0.001488402,0.003316692,0.000450701,0.005400611,9.91E-05,0.005536977,-0.000438856,-0.002554047,-0.000389461,0.005147917,0.002871529,0.004122012,0.003389238,0.000396029,0.005511205,-0.001476663,0.00987965,0.004874348,0.001904641,0.003359837,0.002716331,0.003099567,0.000136544,0.001828026,0.001375816,0.005304903,0.002125513,0.002252032,0.002472742,0.00869027,0.003326995,0.00578229,0.00995346,0.006706804,0.001574881,0.007296362,0.001472921,0.005355926,0.002808395,0.005069366,0.006924266,0.006319033
872,0.002903502,0.005142756,0.00210837,0.007610106,0.003486926,0.000420954,0.002038846,0.003120998,0.003631123,0.000835185,0.006338128,0.001122779,-0.000354545,0.006797746,0.00389085,0.002871685,0.007056138,0.005248018,0.005599275,0.004585071,0.000902286,0.004927021,0.005565765,0.00114528,0.003247704,0.007734913,0.004349662,0.007003153,0.006422924,0.005395763,0.005089454,0.00415907,0.005190564,0.005805428,0.00828083,0.003672316,0.010265154,0.009747844,0.010941003,0.005739165,0.009340052,0.003769153,0.0066853,0.009660834
871.2000122,0.000376286,-0.000404461,0.002479954,0.002265303,0.001072355,0.000367218,-0.002874525,0.003211636,-0.00356746,0.000795712,2.06E-05,0.002846331,0.003086141,-0.00126455,-0.00119181,0.001108557,0.001671979,0.001792232,0.00070467,-0.000404565,-0.000159325,0.002657179,0.000591016,0.005253416,0.002963287,-0.001598052,0.001296023,0.001117432,0.007895211,0.004541646,0.004310967,0.002804565,0.005068581,0.002981845,0.003625015,0.00569851,0.004728141,0.005797558,0.000893337,0.002996363,0.004820215,0.005155435,0.004768208,0.004937782
870.4000244,-0.006282066,-0.01070754,-0.002113357,-0.00421043,-0.005279579,-0.005795289,-0.009493326,-0.005468115,-0.006970711,-0.006310131,-0.004304146,-0.003987287,-0.008057794,-0.003756945,-0.005128825,-0.010161931,-0.005180139,-0.006405232,-0.002913353,-0.005793194,-0.002394569,-0.000914261,-0.003248777,-0.004335568,0.001096722,5.33E-05,-0.000290964,-0.003733283,-0.002974443,-0.005779861,-0.000154926,-0.003453657,-0.002625428,-0.002424739,-0.002296938,-0.006342531,-0.005372144,-0.000661607,-0.000385375,-0.001823406,-0.003707208,0.00209461,0.002939232,-0.001709454
869.5999756,0.001672629,-0.001228827,0.004300562,0.001446844,-0.001849079,0.003534786,0.000515592,0.000268961,0.001527029,0.00239824,0.00337249,0.002703489,0.00137888,0.000984134,0.003312701,0.000452386,0.002410084,-0.00239946,0.007247612,0.001412069,-0.000429702,0.005936305,0.00456532,0.002592514,0.00245504,0.001808374,0.001664703,0.000768094,0.002369947,0.005854909,0.003060279,0.002874655,0.002076247,0.006094495,0.003698344,0.004350368,-0.000487987,0.007396776,0.003168584,0.005842682,0.008849811,0.006280765,0.005811121,0.008518354
868.7999878,-0.002022414,0.002075154,-0.002255119,-0.001195734,-0.004145668,-0.000430219,-0.004825213,-0.002227976,-0.00012232,0.000352581,-0.000467197,0.001366597,0.000620179,0.004711236,-0.002255428,-0.000540732,-0.000450493,-0.000104411,-0.000790924,0.000936839,-0.002838111,0.002377782,0.003718682,0.001608682,-0.00123781,-0.000141884,0.002470217,-0.002021847,0.002984634,0.002054243,0.001010494,-0.001167543,0.002372316,0.002563349,0.001989018,0.002908897,0.001465051,0.001618322,0.000972174,0.002463552,0.002876792,0.0026028,0.003217061,0.0043317
868,0.003497547,0.003353394,0.005325684,0.005827098,0.004404312,0.002839375,0.003124987,0.007248823,0.004138188,-0.000769322,0.003227909,0.001617205,0.003150931,0.003606221,0.00502317,0.006108409,0.008387436,0.004650713,0.005339756,0.006036141,0.005697959,0.009720815,0.007331796,0.006415568,0.003773252,0.00535742,0.006825829,0.007189024,0.008446186,0.005532283,0.008790927,0.007783192,0.005449286,0.008329459,0.008951562,0.007853853,0.01001764,0.009687833,0.007525288,0.006415621,0.006873928,0.006999365,0.010949498,0.009096421
