wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
823.2000122,-0.000708852,-0.006280536,-0.010952148,-0.016176399
822.4000244,-0.004020681,-0.008941521,-0.01241811,-0.016236799
821.5999756,-0.002599491,-0.006637028,-0.008894809,-0.012911948
820.7999878,-0.000769891,-0.006165043,-0.00943269,-0.01331486
820,-0.008497724,-0.010681729,-0.012449353,-0.015858404
819.2000122,-0.004302967,-0.006043494,-0.009615837,-0.014807309
818.4000244,-0.002926775,-0.008656601,-0.010000213,-0.014879806
817.5999756,-0.002705904,-0.01059236,-0.012263422,-0.015633576
816.7999878,-0.000442166,-0.008854634,-0.010489075,-0.013368028
816,-0.004408861,-0.009311445,-0.013883553,-0.015826756
815.2000122,-0.006626729,-0.00970566,-0.013625542,-0.020066796
814.4000244,-0.00362512,-0.005600915,-0.010035931,-0.015915055
813.5999756,-0.002431381,-0.006125789,-0.0100894,-0.014137154
812.7999878,-0.004487367,-0.009322998,-0.011824772,-0.014695263
812,-0.005547964,-0.006731343,-0.011000558,-0.01283103
811.2000122,-0.005788801,-0.009028441,-0.013708319,-0.015644664
810.4000244,-0.004565245,-0.007552041,-0.014369319,-0.015200768
809.5999756,-0.003585072,-0.00789463,-0.011895854,-0.015288094
808.7999878,-0.00575217,-0.006333704,-0.011938317,-0.016324116
808,-0.00591134,-0.009845573,-0.01396162,-0.016798146
807.2000122,-0.004859618,-0.00825422,-0.01302536,-0.015324079
806.4000244,-0.001798916,-0.007325772,-0.011724249,-0.012157363
805.5999756,-0.005240655,-0.011572691,-0.014343673,-0.018841522
804.7999878,-0.003144502,-0.007079419,-0.008651222,-0.012945971
804,-0.004432332,-0.009155088,-0.010873185,-0.017909575
803.2000122,-0.004781332,-0.009711128,-0.014125828,-0.017609203
802.4000244,-0.003773318,-0.006785986,-0.011187232,-0.013709523
801.5999756,-0.003244512,-0.00580147,-0.011073036,-0.016378462
800.7999878,-0.005725551,-0.009138511,-0.012404978,-0.016721334
800,-0.003429978,-0.007372705,-0.010964465,-0.016066253
799.2000122,-0.004960462,-0.008419939,-0.014410187,-0.017389508
798.4000244,-0.002508495,-0.00528812,-0.011625568,-0.012006459
797.5999756,-0.003951581,-0.005275794,-0.010072303,-0.015398089
796.7999878,-0.000420185,-0.005536258,-0.009666219,-0.012445832
796,-0.001390592,-0.005649721,-0.011889557,-0.01213939
795.2000122,-0.003409997,-0.007075802,-0.011098674,-0.01234802
794.4000244,-0.00338385,-0.007535912,-0.011665739,-0.016437836
793.5999756,-0.002040243,-0.00751047,-0.010735371,-0.012647123
792.7999878,-0.004138438,-0.007105955,-0.00996505,-0.013602813
792,-0.001498849,-0.005782108,-0.009724037,-0.012785991
791.2000122,-0.003018969,-0.003488633,-0.008911496,-0.013612596
790.4000244,-0.004378213,-0.007972813,-0.011639833,-0.015875874
789.5999756,-0.003507891,-0.006467617,-0.010630656,-0.015484275
788.7999878,-0.003629587,-0.004905282,-0.008602042,-0.01332219
788,-0.003287161,-0.006274361,-0.009681003,-0.014361856
787.2000122,-0.004946233,-0.008707552,-0.013377817,-0.015707184
786.4000244,-0.007142574,-0.008142604,-0.015933171,-0.017977582
785.5999756,-0.001738538,-0.005838965,-0.008271948,-0.013609637
784.7999878,-0.002004635,-0.004052124,-0.010806228,-0.011877115
784,-0.003722453,-0.006442062,-0.0103521,-0.015777383
783.2000122,-0.001590366,-0.005568716,-0.009768889,-0.014029195
