wavelength (nm),DOMBlank1,DOMSTD15,DOM12053,DOM12081,DOM12086,DOM12096,DOM12114,DOM12147,DOM12201,DOMBlank2,DOM12267,DOM12310,DOM12316,DOM12336,DOM12343,DOM12979,DOM13057,DOM11873,DOM11903,DOMBlank3,DOM11908,DOM11914,DOM11916,DOM11946,DOM11992,DOM11997,DOM11999,DOM12006,DOM11962,DOM11928,DOMBlank4
668.7999878,-0.003114793,-0.004280514,-0.006276351,-0.01139405,-0.010619086,-0.013772874,-0.012941046,-0.014197988,-0.014717935,-0.016438086,-0.017373241,-0.016765621,-0.01748649,-0.017762247,-0.017499419,-0.018555585,-0.017775865,-0.017503297,-0.019750251,-0.019090708,-0.017978575,-0.018377412,-0.017121475,-0.016669324,-0.018353738,-0.019733481,-0.018163169,-0.020632992,-0.019220201,-0.017721295,-0.020684086
668,-0.004075563,-0.004335979,-0.006954916,-0.011759724,-0.010903682,-0.015077272,-0.013686446,-0.014944337,-0.014942837,-0.016800785,-0.017996408,-0.017813433,-0.01798995,-0.018749008,-0.018215101,-0.019241696,-0.018197427,-0.018122254,-0.020134021,-0.019383868,-0.018395375,-0.018941898,-0.018067529,-0.017974155,-0.018997405,-0.020052508,-0.018990565,-0.020836841,-0.020098777,-0.018486328,-0.020789022
667.2000122,-0.00469279,-0.004004523,-0.007184128,-0.012523452,-0.01116054,-0.014537429,-0.013633167,-0.014975249,-0.015888453,-0.016877931,-0.018474868,-0.017933918,-0.017659064,-0.019007463,-0.018332994,-0.019135,-0.018827641,-0.017828489,-0.020272195,-0.019713789,-0.018231137,-0.018915778,-0.017902719,-0.018368727,-0.018945219,-0.019852346,-0.019170519,-0.021450723,-0.019547822,-0.01849268,-0.0214795
666.4000244,-0.004365143,-0.003259825,-0.006796384,-0.011433535,-0.010140638,-0.013735808,-0.013220759,-0.015174672,-0.014997507,-0.016234504,-0.017408358,-0.016789578,-0.017401544,-0.017492855,-0.017756134,-0.018038824,-0.017918766,-0.017089373,-0.019824499,-0.018798886,-0.017660605,-0.018445991,-0.017285887,-0.017550237,-0.018407881,-0.01901242,-0.018312395,-0.020574089,-0.019194096,-0.017925175,-0.020671152
665.5999756,-0.004020476,-0.003435988,-0.007024813,-0.01118698,-0.010043418,-0.014039721,-0.013257418,-0.014598156,-0.01501086,-0.01619296,-0.01736429,-0.016726615,-0.017390851,-0.017747736,-0.017134117,-0.01785537,-0.018005596,-0.017223245,-0.019959955,-0.019049039,-0.017389905,-0.018572452,-0.017355485,-0.017465603,-0.018271891,-0.019737586,-0.018239973,-0.01997296,-0.018667037,-0.017770696,-0.020421488
664.7999878,-0.003855993,-0.003776962,-0.006814324,-0.012339666,-0.010673697,-0.014243883,-0.013920057,-0.014966846,-0.015393791,-0.016579485,-0.017925771,-0.01758161,-0.017205331,-0.018031225,-0.018095886,-0.018451547,-0.017975843,-0.017622229,-0.020098135,-0.018862193,-0.01773735,-0.019429417,-0.017138945,-0.017509015,-0.018419394,-0.019677177,-0.018429467,-0.020522635,-0.018899173,-0.018292293,-0.021277333
664,-0.003809962,-0.002827412,-0.007261473,-0.012050875,-0.010147061,-0.013650025,-0.013040232,-0.014862196,-0.015034515,-0.01592364,-0.017708074,-0.017139144,-0.016826186,-0.01760448,-0.017715728,-0.018220017,-0.017318275,-0.01689028,-0.019616513,-0.019247888,-0.017345436,-0.018552907,-0.017089721,-0.017450286,-0.018829772,-0.019246303,-0.017954981,-0.020330595,-0.01921599,-0.017916828,-0.020461792
663.2000122,-0.003964355,-0.003649147,-0.006934944,-0.01192925,-0.01129711,-0.013958761,-0.013354273,-0.015154623,-0.014976949,-0.017305788,-0.018730115,-0.017780088,-0.017897949,-0.018961325,-0.018119672,-0.018580338,-0.018812917,-0.017904557,-0.02014257,-0.019482385,-0.01838674,-0.0183789,-0.018428821,-0.018447082,-0.01930395,-0.020646814,-0.018586539,-0.020586483,-0.019550594,-0.018380141,-0.021281719
662.4000244,-0.004160693,-0.003927006,-0.007153166,-0.011847493,-0.010948665,-0.013839576,-0.012781567,-0.015148174,-0.015041667,-0.016450647,-0.01785229,-0.017551232,-0.017181993,-0.018675566,-0.017651707,-0.018664557,-0.01826256,-0.017488528,-0.019730363,-0.018713007,-0.017831668,-0.018887771,-0.017541386,-0.017474853,-0.019431248,-0.019585237,-0.018105371,-0.020521056,-0.01944402,-0.017990496,-0.021316176
661.5999756,-0.004199509,-0.003246824,-0.007324194,-0.012059888,-0.010282584,-0.013733901,-0.013244211,-0.014899666,-0.015629331,-0.016697273,-0.018062266,-0.016644014,-0.016888537,-0.018269956,-0.017496087,-0.01817737,-0.017930936,-0.017344641,-0.019805357,-0.019338265,-0.018526018,-0.018904129,-0.017369561,-0.017182989,-0.019081196,-0.019702263,-0.018208597,-0.020259101,-0.019007117,-0.0176528,-0.020947807
