wavelength (nm),DOMBlank1,DOMSTD21,DOM12282,DOM12486,DOM12602,DOM12622,DOMBlank2,DOM12629,DOM12636,DOM12682,DOM12785,DOM12812,DOM12815,DOM12847,DOM12941,DOM13373,DOMBlank3,DOM13374,DOM12196,DOM12220,DOM12227,DOM12228,DOM12772,DOM12827,DOM12996,DOM13171,DOM13241,DOMBlank4
888,-0.002249917,-0.016021997,-0.024973789,-0.027628381,-0.025761489,-0.022856828,-0.026597388,-0.017364636,-0.035023596,-0.033115573,-0.024439313,-0.030239224,-0.015019512,-0.031058943,-0.033181481,-0.015899034,-0.033287514,-0.028883597,-0.024483403,-0.037188247,-0.031933207,-0.019601321,-0.030071724,-0.038194053,-0.010795421,-0.024832603,-0.0309122,-0.02683389
887.2000122,-0.005227611,-0.013289705,-0.005099558,-0.026758252,-0.014366714,-0.031657256,-0.005282904,-0.023167189,-0.028627561,-0.018225428,-0.040724512,-0.027135929,-0.026994959,-0.035642564,-0.024984688,-0.025346622,-0.030874737,-0.035561908,-0.02519994,-0.025430322,-0.023319319,-0.028875653,-0.01993978,-0.027456371,-0.013129399,-0.025219824,-0.026779426,-0.012600002
886.4000244,0.010308227,0.00958448,-0.00946891,-0.01505702,-0.011442864,-0.016871855,-0.003865076,-0.020680334,-0.011671131,-0.014276448,-0.012040199,-0.027677493,-0.009852911,-0.006227003,0.000795661,-0.017140538,-0.018844496,-0.014489962,-0.012625399,-0.010084089,-0.01400383,-0.015602361,-0.02467083,-0.019603349,-0.007115327,-0.007993196,-0.011006816,-0.017616013
885.5999756,-0.015628232,-0.00948517,-0.029588033,-0.028294982,-0.034479689,-0.021428647,-0.024675475,-0.025318736,-0.026751485,-0.028673265,-0.025934074,-0.027019041,-0.030789621,-0.015145075,-0.028660955,-0.035995964,-0.019281862,-0.035060894,-0.026564468,-0.024126528,-0.024284001,-0.033658888,-0.026337564,-0.028600998,-0.02271569,-0.022728859,-0.029242394,-0.033110775
884.7999878,-0.002569487,-0.005252113,-0.018433485,-0.0112903,-0.023399729,-0.016072439,-0.030603563,-0.017344441,-0.016935941,-0.020921808,-0.021340081,-0.020156015,-0.015997896,-0.023987027,-0.024193911,-0.023671318,-0.014830875,-0.028349889,-0.022924852,-0.024047036,-0.019947493,-0.029822767,-0.020338351,-0.024954529,-0.030733528,-0.023479193,-0.034434065,-0.026139498
884,-0.011057088,-0.016931759,-0.020651307,-0.027932925,-0.018667433,-0.015250357,-0.028724052,-0.017467344,-0.026555555,-0.024931116,-0.020078115,-0.02999022,-0.032377489,-0.028860006,-0.028558439,-0.037798777,-0.022317525,-0.020520216,-0.025752706,-0.017285688,-0.019707656,-0.015803095,-0.023436865,-0.021392079,-0.034930788,-0.018854411,-0.016859354,-0.038051743
883.2000122,-0.012796598,-0.010209872,-0.020737693,-0.017008184,-0.018113019,-0.010551939,-0.021564735,-0.015937563,-0.027432993,-0.019400503,-0.025479244,-0.032362398,-0.032646883,-0.016604848,-0.028672587,-0.030904438,-0.024052424,-0.019382779,-0.032907903,-0.024694406,-0.028265392,-0.027282542,-0.03520605,-0.030267907,-0.024165656,-0.025960214,-0.026654262,-0.014494869
882.4000244,-0.013393681,-0.012530644,-0.023731126,-0.017401943,-0.022249457,-0.017618053,-0.013158532,-0.023680191,-0.034769099,-0.027995352,-0.036053099,-0.025425242,-0.024507871,-0.023385994,-0.018767849,-0.025749389,-0.031019803,-0.028067961,-0.022540346,-0.02834693,-0.035356216,-0.025491595,-0.033925574,-0.026687175,-0.021093663,-0.016124124,-0.029113678,-0.027259106
881.5999756,-0.004947717,-0.0125825,-0.023289977,-0.02679174,-0.030025441,-0.029069861,-0.026486296,-0.035398688,-0.022128835,-0.037287131,-0.028879723,-0.037028827,-0.035836391,-0.027225312,-0.039041877,-0.037079595,-0.033337813,-0.024493191,-0.030311123,-0.027595684,-0.03161148,-0.02083911,-0.028101107,-0.038552444,-0.022083864,-0.030312281,-0.0305929,-0.033101372
880.7999878,-0.00744111,-0.001444569,-0.014017565,-0.023374956,-0.008158457,-0.012904813,-0.016692691,-0.021712599,-0.010703095,-0.020608157,-0.019293895,-0.008651171,-0.012114367,-0.017719606,-0.011278546,-0.013219855,-0.019512136,-0.013606726,-0.009734921,-0.012790364,-0.019650804,-0.013203683,-0.01012071,-0.012844753,-0.024916597,-0.012017136,-0.009067636,-0.018013792
