Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
892.7999878,0.8782438636,892.7999878,-0.02651615441,892.7999878,-0.004680805374,892.7999878,-0.01185162365,892.7999878,-0.0283119604,892.7999878,-0.03634651005,892.7999878,-0.03435567394,892.7999878,-0.0594060719,892.7999878,-0.03633884341,892.7999878,-0.03285414726,892.7999878,-0.03490756825,892.7999878,-0.03502459824,892.7999878,-0.03491478413,892.7999878,-0.03649166226,892.7999878,-0.03939640149,892.7999878,-0.02827941254,892.7999878,-0.03086803295,892.7999878,-0.0408288613,892.7999878,-0.0494013615,
892,0.8692400455,892,0.003446350573,892,-0.02311196923,892,0.0003364148724,892,-0.01690601557,892,-0.01526100375,892,-0.02212942578,892,-0.01408247557,892,-0.03139885142,892,-0.02943938971,892,-0.03740261868,892,-0.04360051081,892,-0.02046875656,892,-0.01388330292,892,-0.02109583281,892,-0.02673965506,892,-0.02470795251,892,-0.01608975045,892,-0.02768973447,
891.2000122,0.8768889308,891.2000122,-0.01205147896,891.2000122,-0.01317927521,891.2000122,-0.01201940142,891.2000122,-0.02332765982,891.2000122,-0.02184229717,891.2000122,-0.02045705169,891.2000122,-0.03122606315,891.2000122,-0.03046086617,891.2000122,-0.0375312306,891.2000122,-0.03645524755,891.2000122,-0.03727173805,891.2000122,-0.04443407059,891.2000122,-0.04016084969,891.2000122,-0.03158264235,891.2000122,-0.02317725122,891.2000122,-0.0157801304,891.2000122,-0.04483040422,891.2000122,-0.04439649358,
890.4000244,0.8677472472,890.4000244,0.006356567144,890.4000244,-0.003827204928,890.4000244,-0.02173623815,890.4000244,-0.001918514143,890.4000244,-0.01428802032,890.4000244,-0.01627858914,890.4000244,-0.02343166433,890.4000244,-0.0260017626,890.4000244,-0.0258010067,890.4000244,-0.03993550688,890.4000244,-0.02478365786,890.4000244,-0.02084848657,890.4000244,-0.01833537593,890.4000244,-0.03039570339,890.4000244,-0.02345309965,890.4000244,-0.01226226427,890.4000244,-0.03750933707,890.4000244,-0.01752920449,
889.5999756,0.8682909608,889.5999756,-0.002397503471,889.5999756,-0.01307620294,889.5999756,-0.01084662601,889.5999756,-0.01174168475,889.5999756,-0.007927470841,889.5999756,-0.02136807702,889.5999756,-0.02988279611,889.5999756,-0.0316997543,889.5999756,-0.01211290807,889.5999756,-0.02150901407,889.5999756,-0.0280940216,889.5999756,-0.0309977252,889.5999756,-0.02494709939,889.5999756,-0.03766711429,889.5999756,-0.02521176264,889.5999756,-0.01956252009,889.5999756,-0.02931150608,889.5999756,-0.03793737665,
888.7999878,0.8676236868,888.7999878,0.00846505817,888.7999878,-0.02025574073,888.7999878,-0.004387437832,888.7999878,-0.005346268881,888.7999878,-0.02752527967,888.7999878,-0.00479730824,888.7999878,-0.01574797742,888.7999878,-0.02001933567,888.7999878,-0.02769799158,888.7999878,-0.03349317983,888.7999878,-0.02932360396,888.7999878,-0.02301711775,888.7999878,-0.02655974403,888.7999878,-0.02745870315,888.7999878,-0.02832379378,888.7999878,-0.03752177954,888.7999878,-0.02278584801,888.7999878,-0.02941379696,
888,0.8765741587,888,-0.003922542557,888,-0.01392151043,888,-0.02008374967,888,-0.02307465859,888,-0.01953307167,888,-0.01763077825,888,-0.03315456957,888,-0.02668615244,888,-0.03765083104,888,-0.02417486347,888,-0.02957091108,888,-0.02975533344,888,-0.01992662624,888,-0.03488358483,888,-0.02680522203,888,-0.01870591566,888,-0.03635603189,888,-0.02926325612,
887.2000122,0.8814383745,887.2000122,-0.02288782038,887.2000122,-0.007882784121,887.2000122,-0.0264511276,887.2000122,-0.02198120952,887.2000122,-0.02026967518,887.2000122,-0.03722327203,887.2000122,-0.01842103153,887.2000122,-0.03446199745,887.2000122,-0.02920115553,887.2000122,-0.03744840622,887.2000122,-0.04455098882,887.2000122,-0.03982116655,887.2000122,-0.03661040962,887.2000122,-0.04138281196,887.2000122,-0.04088357091,887.2000122,-0.0288418401,887.2000122,-0.02788490988,887.2000122,-0.04382760823,
886.4000244,0.8849496245,886.4000244,-0.02292234637,886.4000244,-0.01267312001,886.4000244,-0.02040143497,886.4000244,-0.02871082351,886.4000244,-0.03643077984,886.4000244,-0.02685710602,886.4000244,-0.0309285447,886.4000244,-0.03408432007,886.4000244,-0.03643658757,886.4000244,-0.03882002458,886.4000244,-0.05571646243,886.4000244,-0.04051540419,886.4000244,-0.04013951495,886.4000244,-0.04118574411,886.4000244,-0.0355614759,886.4000244,-0.04624243081,886.4000244,-0.03908701614,886.4000244,-0.04043984786,
885.5999756,0.8595949411,885.5999756,0.01036166959,885.5999756,0.01010013837,885.5999756,-0.001233886345,885.5999756,0.003095473861,885.5999756,-0.004333005287,885.5999756,-0.007015694864,885.5999756,-0.02051883377,885.5999756,-0.01699553803,885.5999756,-0.01724682935,885.5999756,-0.02283379063,885.5999756,-0.01574138552,885.5999756,-0.01159325801,885.5999756,-0.01855583303,885.5999756,-0.02285275236,885.5999756,-0.01826146804,885.5999756,-0.01743815094,885.5999756,-0.01826831698,885.5999756,-0.02421325259,
