wavelength (nm),DOMBlank1,DOMSTD28,DOM12273,DOM12702,DOM12704,DOM12710,DOM12841,DOM13050,DOMBlank2,DOM13070,DOM13089,DOM13094,DOM13131,DOM13144,DOM13437,DOM13494,DOMBlank3
880,-0.000663985,-0.000729682,-0.016220491,-0.015254555,-0.004744668,-0.009630268,-0.01832803,-0.013202026,-0.030633815,-0.018410312,-0.028311038,-0.017429,-0.035104256,-0.029541941,-0.028067768,-0.024667112,-0.025935343
879.2000122,0.003102148,-0.014972698,-0.006579155,-0.013419884,-0.013890523,-0.002567943,-0.022683408,-0.021571435,-0.02177972,-0.029236393,-0.027012618,-0.02843621,-0.023206405,-0.030640425,-0.029678799,-0.024070401,-0.023582671
878.4000244,-0.008806289,-0.018902097,-0.012235337,-0.016639231,-0.028361384,-0.018673683,-0.030611187,-0.035776608,-0.034221336,-0.029593837,-0.035833005,-0.036886845,-0.042598996,-0.032873634,-0.038329255,-0.033379573,-0.037030157
877.5999756,-0.006688369,-0.007215598,-0.011896962,-0.014126278,-0.017767467,-0.017669005,-0.022434162,-0.034577042,-0.03137612,-0.026831165,-0.025254458,-0.019962525,-0.026987709,-0.031026794,-0.027300239,-0.033198603,-0.025673462
876.7999878,-0.003326055,0.006224803,-0.005787779,-0.011580908,-0.004403838,-0.020089485,-0.018777816,-0.025493547,-0.022373045,-0.028981097,-0.027104363,-0.028860442,-0.028513255,-0.022451025,-0.03088896,-0.028240604,-0.02783281
876,-0.001655355,-0.009829883,-0.011915046,-0.011071926,-0.016658811,-0.026978368,-0.015567749,-0.027845969,-0.022132181,-0.027301842,-0.031233869,-0.035216123,-0.029135512,-0.025378805,-0.030894265,-0.031176917,-0.025376802
875.2000122,-0.011341548,-0.016675252,-0.018352995,-0.020740999,-0.028274512,-0.029120699,-0.028359782,-0.03946292,-0.040909819,-0.03752197,-0.04083395,-0.027506426,-0.039977014,-0.041392177,-0.035173729,-0.042593602,-0.042035837
874.4000244,0.004227523,-0.007923455,-0.008475589,-0.021782773,-0.009080919,-0.021722449,-0.02552733,-0.024599314,-0.026573623,-0.023248266,-0.024483355,-0.025008099,-0.028412305,-0.032635741,-0.031387582,-0.028217269,-0.030677764
873.5999756,-0.002305538,-0.010752342,-0.007009378,-0.017991986,-0.013316718,-0.016209967,-0.02546406,-0.028250936,-0.027924865,-0.027957393,-0.032346349,-0.031139234,-0.035228774,-0.026430862,-0.031275976,-0.028521691,-0.026574744
872.7999878,-0.008361439,-0.01053304,-0.00780916,-0.023647051,-0.012269663,-0.022288805,-0.024094399,-0.029467836,-0.027098039,-0.025505705,-0.027469201,-0.03151086,-0.030435141,-0.02701544,-0.03110656,-0.025145222,-0.026279332
872,-0.001679182,-0.005806016,-0.016210714,-0.01407561,-0.012524709,-0.027398046,-0.02037066,-0.024089061,-0.026977783,-0.026558673,-0.024413031,-0.024347885,-0.023246206,-0.030772885,-0.027484752,-0.030555215,-0.031628519
871.2000122,-0.005745784,-0.008634068,-0.013287194,-0.013579029,-0.020878537,-0.016424228,-0.024393993,-0.036492758,-0.015668932,-0.031276215,-0.029866703,-0.034185253,-0.035271306,-0.027468909,-0.028972525,-0.033704977,-0.026260814
870.4000244,-0.003367925,-0.007354635,-0.012711534,-0.012103442,-0.011770003,-0.021194112,-0.022237996,-0.024634877,-0.023552416,-0.027822563,-0.030945178,-0.030362105,-0.031028721,-0.03136586,-0.029105254,-0.030325027,-0.032352019
869.5999756,-0.005009033,-0.005160034,-0.013903009,-0.017574849,-0.020057451,-0.016236499,-0.020736557,-0.02894487,-0.02393828,-0.029742861,-0.030597918,-0.03427057,-0.025759488,-0.031718474,-0.029024877,-0.029933685,-0.028096886
868.7999878,-0.014018267,-0.011588973,-0.01891667,-0.014673841,-0.026338683,-0.022670927,-0.025787152,-0.029130138,-0.032782525,-0.035696927,-0.027348172,-0.03438447,-0.038520467,-0.033544414,-0.033291064,-0.036443919,-0.04139759
868,-0.006388754,-0.013972349,-0.018780045,-0.018412745,-0.02225708,-0.023926716,-0.026888154,-0.036122371,-0.029186247,-0.027381081,-0.034482561,-0.034001507,-0.029817499,-0.034879334,-0.032187734,-0.03528009,-0.033325635
867.2000122,-0.013479966,-0.008755705,-0.010519497,-0.015916752,-0.014901217,-0.020248132,-0.02132633,-0.026147736,-0.029723087,-0.020997632,-0.029808363,-0.026079094,-0.031163715,-0.034242198,-0.029915852,-0.035164896,-0.029150182
866.4000244,-0.002229109,-0.007923556,-0.01013209,-0.015925685,-0.015905872,-0.018287627,-0.025026331,-0.022082536,-0.025029801,-0.024183726,-0.028121488,-0.029687598,-0.027987052,-0.0288275,-0.028616074,-0.027188452,-0.028002923
865.5999756,-0.001920834,-0.007424111,-0.013517205,-0.014053054,-0.015295891,-0.018108698,-0.023692105,-0.027898651,-0.026823232,-0.024896652,-0.028000157,-0.027313123,-0.029310586,-0.028958771,-0.028811559,-0.029044198,-0.030664787
864.7999878,-0.001525934,-0.009159043,-0.011291157,-0.014857543,-0.015083823,-0.018568086,-0.024885798,-0.021915255,-0.028118335,-0.029014513,-0.034964081,-0.028299687,-0.026525067,-0.028310068,-0.031652536,-0.031544849,-0.024827665
864,0.001332581,-0.011739871,-0.012929287,-0.0157666,-0.017469531,-0.018986948,-0.025806081,-0.027365673,-0.024914298,-0.021804042,-0.029456178,-0.032259792,-0.032380611,-0.029160785,-0.026712686,-0.029986259,-0.032375854
863.2000122,-0.005430946,-0.004683673,-0.008932442,-0.01767507,-0.013643854,-0.020738482,-0.020747168,-0.023899963,-0.023697106,-0.026673006,-0.026186341,-0.024954285,-0.027534658,-0.023562469,-0.028823914,-0.031225774,-0.028441593
862.4000244,-0.008055913,-0.013352364,-0.014961794,-0.013785915,-0.023436667,-0.022073777,-0.028570848,-0.030894602,-0.032103933,-0.033523615,-0.031594582,-0.028786803,-0.033028305,-0.035489921,-0.029375477,-0.028836221,-0.032096673
861.5999756,-0.004354533,-0.008641173,-0.014125928,-0.015877571,-0.024695531,-0.021880599,-0.024842285,-0.025892081,-0.031597614,-0.03253464,-0.032033581,-0.026524337,-0.026296388,-0.032387145,-0.030754557,-0.034395996,-0.033980779
860.7999878,-0.00120322,-0.008488738,-0.010877174,-0.017064486,-0.021108409,-0.018427929,-0.021662118,-0.023197522,-0.03134881,-0.02534003,-0.030641824,-0.032666091,-0.029746825,-0.029679572,-0.032797456,-0.030054815,-0.030841561
860,-0.005574287,-0.011724451,-0.011484564,-0.017245486,-0.014453107,-0.019873662,-0.022734262,-0.028552379,-0.028257098,-0.026493944,-0.031258486,-0.031896502,-0.030036844,-0.033311393,-0.033151694,-0.033990212,-0.027691094
859.2000122,-0.000649356,-0.008614984,-0.009365713,-0.016045596,-0.014605865,-0.020640347,-0.022862624,-0.026388966,-0.030531425,-0.028822703,-0.027429834,-0.023188001,-0.030240577,-0.026723688,-0.031828187,-0.02646316,-0.028231386
858.4000244,-0.004544188,-0.007828381,-0.011625972,-0.016876636,-0.020662315,-0.016777724,-0.02303396,-0.029717091,-0.025773833,-0.024329968,-0.02766875,-0.030414674,-0.02819044,-0.02844809,-0.030776069,-0.028086646,-0.03353823
857.5999756,-0.00657737,-0.014956642,-0.013782153,-0.016853329,-0.025572337,-0.019196028,-0.027444998,-0.031751152,-0.032530651,-0.032524407,-0.03270638,-0.035004299,-0.030839534,-0.031011704,-0.035463486,-0.03203921,-0.037084207
856.7999878,-0.005445926,-0.008024962,-0.013403621,-0.013337654,-0.017999636,-0.019048493,-0.026785072,-0.028618643,-0.028201599,-0.02428503,-0.030836545,-0.030035008,-0.030847684,-0.031673234,-0.031110946,-0.029331783,-0.033290438
856,-0.006011021,-0.008613766,-0.016843069,-0.015760059,-0.021336434,-0.024521228,-0.026278503,-0.029955382,-0.034199227,-0.032087587,-0.033182774,-0.031103186,-0.032199655,-0.03868578,-0.034218129,-0.036225453,-0.039716523
855.2000122,-0.00186573,-0.009014142,-0.012799915,-0.019070096,-0.019423675,-0.019943587,-0.0287068,-0.027750691,-0.029681941,-0.029989012,-0.027878452,-0.029765388,-0.030807514,-0.030307647,-0.032564469,-0.035125028,-0.031523138
854.4000244,-0.003956917,-0.006846126,-0.010490187,-0.014459316,-0.017318474,-0.017541636,-0.022804612,-0.028537689,-0.026157826,-0.023124438,-0.02696236,-0.025910614,-0.028797848,-0.030535478,-0.030195955,-0.026895648,-0.0264086
853.5999756,-0.009098462,-0.010321363,-0.015779031,-0.014645611,-0.016272107,-0.020694155,-0.023552317,-0.031266727,-0.029384863,-0.027941179,-0.02934088,-0.029086953,-0.02885928,-0.030364856,-0.03279563,-0.030703332,-0.03074356
852.7999878,-0.00456258,-0.009194778,-0.014402675,-0.01783316,-0.020227032,-0.025632907,-0.025188655,-0.030890118,-0.028480576,-0.027116911,-0.027763998,-0.033286076,-0.034971152,-0.032649092,-0.033867728,-0.036310367,-0.035292216
852,-0.00644145,-0.009088474,-0.008865896,-0.014232159,-0.015065621,-0.016282329,-0.023586644,-0.026079241,-0.02871499,-0.025943292,-0.025601672,-0.029827118,-0.026960269,-0.028973397,-0.027263774,-0.032616962,-0.029482106
