wavelength (nm),DOMBlank1,DOMSTD16,DOM12101,DOM12117,DOM12126,DOM12146,DOM12172,DOM12206,DOM12210,DOMBlank2,DOM12253,DOM12259,DOM12260,DOM12262,DOM12290,DOM12291,DOM12306,DOM12207,DOM12470,DOMBlank3,DOM12534,DOM13288,DOM13296,DOM13315,DOM13432,DOMBlank4
887.2000122,0.001069941,-0.005707004,-0.008691111,-0.013082381,0.0072399,-0.007775649,-0.007122864,0.000428909,-0.019016333,-0.0211557,-0.015116175,-0.019568261,-0.02048298,-0.032158121,-0.028067671,-0.019718193,-0.017301559,-0.021624882,-0.019902296,-0.023178184,-0.015213116,-0.023973113,-0.022306656,-0.022588268,-0.025583904,-0.021910233
886.4000244,-0.008954403,-0.011079345,-0.018052183,-0.028618643,-0.019955652,-0.031270918,-0.028080968,-0.019012023,-0.036315605,-0.027682157,-0.035426367,-0.029319152,-0.033052582,-0.033981498,-0.03678925,-0.02618371,-0.035200082,-0.034231767,-0.036826588,-0.032973938,-0.033471804,-0.034901261,-0.033570867,-0.031643584,-0.028839417,-0.043663301
885.5999756,0.004903249,0.00587338,-0.002309761,-0.000373891,0.002743109,-0.012241779,-0.015851615,-0.021006066,-0.017322155,-0.011683328,-0.021672413,-0.013188215,-0.014746961,-0.015614199,-0.022676185,-0.02517185,-0.026151733,-0.009334805,-0.024615506,-0.01476983,-0.02718495,-0.023114767,-0.022935459,-0.026883043,-0.018192511,-0.020408448
884.7999878,0.005645795,-0.002781426,-0.003239785,-0.003576394,-0.006885977,-0.021469891,-0.008631074,-0.009163301,-0.019073714,-0.025163641,-0.019070791,-0.02372642,-0.020629486,-0.02454995,-0.015221364,-0.022254769,-0.019810205,-0.018132135,-0.025293827,-0.017818302,-0.021288572,-0.012394664,-0.02240707,-0.01399586,-0.017889602,-0.024941381
884,-0.007862651,-0.013044954,-0.01680213,-0.020001043,-0.013625742,-0.027265767,-0.021696692,-0.026155731,-0.022646898,-0.022676628,-0.03130931,-0.029787723,-0.024154492,-0.031100007,-0.03238878,-0.028869549,-0.03659299,-0.026164066,-0.028955624,-0.033264544,-0.024176529,-0.032788385,-0.034313146,-0.036542974,-0.024681982,-0.028608948
883.2000122,-0.002190477,0.008107731,-0.003738621,-0.006085307,-0.013121764,-0.023417046,-0.011998653,-0.014872202,-0.019711168,-0.015579687,-0.017199509,-0.022611417,-0.026448157,-0.025484663,-0.015876023,-0.016612671,-0.010329503,-0.024497351,-0.022096314,-0.018606231,-0.027154312,-0.024205027,-0.024854556,-0.023522746,-0.025512783,-0.015204017
882.4000244,-0.010147263,-0.006505208,-0.00938066,-0.006192553,-0.012279024,-0.020376982,-0.020364534,-0.019947493,-0.023987126,-0.020476313,-0.023402575,-0.017806476,-0.023481106,-0.028332913,-0.02367676,-0.026553657,-0.016908506,-0.022174539,-0.023466785,-0.030572634,-0.025988255,-0.020080438,-0.031478792,-0.026404167,-0.020522142,-0.027940499
881.5999756,-0.011786934,-0.011805727,-0.014410488,-0.012053695,-0.014483402,-0.017334741,-0.017693063,-0.014002628,-0.02021789,-0.024954285,-0.030183302,-0.027172111,-0.029984519,-0.036951803,-0.031685989,-0.026350621,-0.03103354,-0.026575523,-0.035487153,-0.028132601,-0.027112486,-0.027386818,-0.025515126,-0.030297603,-0.029992877,-0.02918252
880.7999878,-0.010518184,-0.008702426,-0.019283099,-0.025663018,-0.016612921,-0.023549031,-0.032957669,-0.035309207,-0.029699057,-0.026760587,-0.030492334,-0.036448821,-0.028113142,-0.02501162,-0.030071385,-0.040649507,-0.030797772,-0.031721458,-0.029686196,-0.031218693,-0.031838436,-0.031281564,-0.036905106,-0.037181832,-0.031178074,-0.028883355
880,0.001889249,-0.009968136,-0.006980187,-0.016799042,-0.013390066,-0.018332001,-0.016499346,-0.015020212,-0.018372945,-0.020342698,-0.020641137,-0.021790946,-0.01850161,-0.025680246,-0.024405248,-0.025409423,-0.029847756,-0.021959947,-0.023918582,-0.028630275,-0.024020534,-0.021693246,-0.025341397,-0.029172692,-0.035308775,-0.02628479
