wavelength (nm),DOMBlank1,DOMSTD30,DOM12839,DOM12858,DOM12862,DOM12917,DOM12931,DOM12933,DOM12955,DOMBlank2,DOM12964,DOM12980,DOM13069,DOM13079,DOM13138,DOM13443,DOM13600,DOMBlank3
900,-0.004614679,-0.001408757,0.003069039,0.002665513,0.013382289,-0.005139109,-0.000747306,0.00012774,-0.038762543,0.011544876,-0.007492661,0.009065442,-0.02689521,-0.002148699,-0.005843255,-0.023441279,0.016885255,-0.006793988
899.2000122,0.032485958,0.017591953,0.005313577,0.037460621,-0.001408654,0.016391294,0.048263084,0.008544093,0.003108849,-0.025781004,0.001345175,0.022089871,-0.006626321,-0.030869577,-0.022508396,-0.019922523,0.014947893,0.013176138
898.4000244,-0.016425524,-0.034889702,-0.02591476,0.003303154,-0.024276951,-0.021462647,-0.027085781,-0.019969497,-0.039238308,-0.016845012,-0.042804431,-0.024646714,-0.030487508,-0.04228146,-0.033379622,-0.048858892,-0.0524983,-0.048800781
897.5999756,0.015327815,0.000136699,0.010380573,-0.02913256,-0.028908882,-0.003396693,-0.009612191,-0.008824248,-0.020419266,-0.007387008,-0.008688624,-0.023262793,-0.004041147,-0.010998236,-0.017300364,-0.029250382,-0.001826499,-0.032682996
896.7999878,0.020130804,0.017686605,0.043057177,0.014221595,0.008062371,0.040189609,0.013587282,0.001039789,0.022759128,0.026547372,0.018061997,0.018881286,-0.005586298,0.007996686,0.005733211,0.011417746,0.014925388,0.022427274
896,-0.006239762,-0.024075396,-0.022915373,-0.018793035,-0.031056244,-0.018530631,-0.01309921,-0.05334945,-0.051465482,-0.054130837,-0.036835577,-0.011564373,-0.040787201,-0.010479423,-0.043193959,-0.027471581,-0.027021522,-0.052001901
895.2000122,-0.01149364,-0.009561802,-0.018937685,-0.01545325,-0.006451703,-0.036406357,-0.01490597,-0.007120521,-0.025128657,-0.022599081,-0.042619415,-0.041997205,-0.022782261,-0.039547913,-0.037985194,-0.034617774,-0.02307687,-0.030332366
894.4000244,-0.008745811,-0.011052647,-0.025092304,-0.015787618,-0.027898455,-0.019418575,-0.029755818,-0.031416237,-0.03829138,-0.050233785,-0.029976353,-0.031759813,-0.034906566,-0.018347882,-0.017098879,-0.030977672,-0.030365629,-0.029483896
893.5999756,-0.009494592,0.001792726,-0.00722349,-0.039533686,-0.00715449,-0.019078271,-0.025468454,0.008641019,-0.015200368,-0.011794139,-0.039759282,-0.013519363,-0.026684593,-0.035072498,-0.027951276,-0.026257645,-0.022266524,-0.021968167
892.7999878,-0.01042585,-0.0286706,-0.018612381,-0.022432785,-0.023891486,-0.037047129,-0.033459004,-0.033306647,-0.02306268,-0.056399595,-0.019171758,-0.021367831,-0.040644322,-0.040879048,-0.02527927,-0.033494569,-0.03009752,-0.040775511
