wavelength (nm),DOMBlank1,DOMSTD22,DOM11960,DOM12423,DOM12425,DOM12449,DOM12455,DOM12469,DOM12483,DOMBlank2,DOM12497,DOM12535,DOM12577,DOM13165,DOM13287,DOM13311,DOM13435,DOM12152,DOM12717,DOMBlank3,DOM12718,DOM12838,DOM12840,DOM12982,DOM12995,DOM13009,DOM13016,DOM13020,DOM13021,DOMBlank4,DOM13022,DOM13043,DOM13052,DOM13056,DOM13060,DOM13061,DOM13067,DOM13145,DOM13146,DOM13452,DOMBlank5
892,0.002020979,-0.000628626,-0.013978113,-0.01273798,-0.030506765,-0.013202931,-0.02716613,-0.026419755,-0.030977769,-0.033361644,-0.013559609,-0.029609505,-0.016859753,-0.037524723,-0.023971448,-0.021964574,-0.044648539,-0.031329542,-0.044756807,-0.007974491,-0.032543812,-0.037156358,-0.02272414,-0.043528862,-0.038785793,-0.015440959,-0.032533918,-0.019970486,-0.001765763,-0.025850084,-0.05135772,-0.039682176,-0.024600292,-0.030346077,-0.038000897,-0.022715935,-0.027132086,-0.032685589,-0.047999308,-0.027905203,-0.029779069
891.2000122,0.006257077,0.000636899,-0.001750294,0.003000299,-0.012411519,-0.024764096,0.002895945,-0.020327976,-0.02518289,-0.017551729,-0.020871678,-0.014114852,-0.026407333,-0.027722521,-0.012392852,-0.032974418,-0.035604119,-0.026646908,-0.021341659,-0.041649502,-0.030340187,-0.028349258,-0.043694295,-0.024871571,-0.026361633,-0.028370695,-0.037970535,-0.036988746,-0.022423394,-0.026888933,-0.026549419,-0.018503247,-0.026616963,-0.027607733,-0.016485889,-0.020617587,-0.033104826,-0.036587708,-0.01028304,-0.030656103,-0.017619245
890.4000244,0.012997662,-0.010842131,-0.011635347,-0.014035311,-0.007144916,-0.014511793,-0.022960061,-0.009913994,-0.014333154,-0.01453122,-0.027463611,-0.014292278,-0.028969087,-0.015697896,-0.026429011,-0.032582913,-0.028369918,-0.018688064,-0.026180834,-0.028451242,-0.022330951,-0.026879979,-0.016281532,-0.010196118,-0.021354375,-0.026654944,-0.032106292,-0.01975777,-0.035723489,-0.03031484,-0.02601644,-0.02187356,-0.006852649,-0.019413624,-0.021241887,-0.025495159,-0.023816263,-0.00520316,-0.026688246,-0.024958685,-0.018808406
889.5999756,-0.014847036,-0.003254892,-0.030163934,-0.009586669,-0.032297041,-0.030207643,-0.033114087,-0.038886447,-0.025322838,-0.039728999,-0.041475192,-0.036088977,-0.055003658,-0.041452415,-0.036980521,-0.034596883,-0.028415699,-0.03185999,-0.035885297,-0.041359559,-0.018155722,-0.034647554,-0.037557725,-0.035516348,-0.033819791,-0.038830724,-0.045302369,-0.032198936,-0.037461277,-0.041174021,-0.049268592,-0.039196067,-0.046791382,-0.034794807,-0.047022391,-0.0398308,-0.040386353,-0.033834111,-0.038500659,-0.038944148,-0.021237843
888.7999878,-0.009062667,0.00527684,-0.011797011,-0.010003401,-0.020525007,-0.01708778,-0.03111909,-0.022442028,-0.024354395,-0.036065202,-0.034493845,-0.020907203,-0.015293992,-0.019217774,-0.034794856,-0.041853126,-0.026301553,-0.037295304,-0.028748039,-0.024348667,-0.026924115,-0.036469813,-0.019815052,-0.030263176,-0.040262032,-0.028530417,-0.019913027,-0.026649928,-0.030325994,-0.031780552,-0.028907914,-0.038969703,-0.032606974,-0.037290744,-0.026699979,-0.040362813,-0.034554094,-0.043336187,-0.030362299,-0.028383061,-0.039826691
888,-0.004195715,-0.007991213,-0.021838557,-0.002260115,-0.016173158,-0.025608065,-0.027407961,0.006807764,-0.03761062,-0.029324861,-0.021417854,-0.046535134,-0.023146281,-0.026653044,-0.026474606,-0.031407472,-0.037325282,-0.040081687,-0.034925103,-0.030998882,-0.025658773,-0.032456815,-0.02196167,-0.036003638,-0.024806835,-0.029498553,-0.024617804,-0.028836414,-0.036440063,-0.034585793,-0.026345896,-0.046443217,-0.042660899,-0.021267965,-0.029559836,-0.032383591,-0.033072684,-0.03691205,-0.032692742,-0.026776506,-0.030015007
887.2000122,0.022965541,0.021082221,0.009629206,0.017542357,0.000636718,-0.004254676,-0.010313729,0.006231446,-0.002181565,-0.012461427,0.011152524,-0.009663333,-0.018769337,-0.015462293,-0.020424057,-0.006418495,-0.009612039,-0.024736123,-0.006783539,-0.015953433,-0.00762932,-0.024083575,-0.022148957,-0.01057124,-0.011069201,-0.01980699,0.005338001,-0.013499037,-0.024759352,-0.013761539,-0.017370706,-0.012532758,-0.015027914,-0.019278841,-0.029551324,-0.017297529,-0.020890823,-0.020366214,-0.006560848,-0.003373011,-0.011199644
886.4000244,-0.007332186,-0.010353667,-0.008521991,-0.011795046,-0.026179323,-0.018711718,-0.030450923,-0.030396283,-0.030909501,-0.032321312,-0.041006021,-0.016492967,-0.031988423,-0.03206614,-0.018590804,-0.038462754,-0.03862885,-0.032733027,-0.023768673,-0.054013222,-0.021316275,-0.035113327,-0.02437182,-0.031242203,-0.036845945,-0.037880536,-0.027395325,-0.027708339,-0.026091186,-0.033872757,-0.030198226,-0.039691672,-0.037734848,-0.025438279,-0.03210903,-0.040724464,-0.037932538,-0.032315928,-0.031443641,-0.028076842,-0.015518796
885.5999756,0.008300645,-0.002253419,3.46E-05,-0.001830984,-0.013417023,-0.011198887,-0.00996171,-0.01473495,-0.015935516,-0.026574012,-0.004408963,-0.008044478,-0.036093503,-0.009277138,-0.02384356,-0.014669336,-0.019800857,-0.032552797,-0.016293749,-0.029274678,-0.011859533,-0.029692046,-0.023259848,-0.011255039,-0.020877451,-0.031392638,-0.019124646,-0.024299666,-0.012845808,-0.030848794,-0.027188063,-0.019560937,-0.020554783,-0.021153333,-0.006528923,-0.017205779,-0.020750722,-0.010572655,-0.024734264,-0.014046889,-0.014408335
884.7999878,-0.002528055,-0.003331912,-0.006447979,-0.017729497,-0.02012448,-0.024031067,-0.024141269,-0.017375978,-0.024825221,-0.022304051,-0.024756761,-0.032166678,-0.036431257,-0.033451959,-0.021091938,-0.040255237,-0.043476496,-0.038283605,-0.03449174,-0.040513471,-0.039471667,-0.028228767,-0.037086252,-0.033702485,-0.022694513,-0.030048583,-0.033145793,-0.033289865,-0.033767391,-0.031880531,-0.031044772,-0.044579305,-0.03520944,-0.036690108,-0.022342458,-0.024103118,-0.036416307,-0.034056991,-0.040057421,-0.032041855,-0.037228402
