wavelength (nm),DOMBlank1,DOMSTD8,DOM12503,DOM12508,DOM12809,DOM12810,DOM12816,DOM12438,DOM12539,DOMBlank2,DOM12540,DOM13194,DOM13234,DOM11565,DOM11773,DOM11783,DOM11846,DOM11985,DOM12192,DOMBlank3,DOM12234,DOM12543,DOM12761,DOM12813,DOM12818,DOM12820,DOM12821,DOM12849,DOMBlank4
888,0.003574926,0.013704576,-0.000303071,0.00038266,0.003887585,-0.005886058,0.003069768,-0.001164548,-0.000374564,0.005544554,-0.00482209,-0.003740931,-0.010361857,-0.003528793,-0.000369805,-0.008335488,-0.005917111,-0.005949591,0.001252225,0.002520465,-0.004691202,-0.001309046,-0.0027591,-0.006381663,-0.001116992,-0.010777341,-0.002321863,-0.000810975,-0.009981899
887.2000122,0.011059416,0.001941588,-0.007957615,-0.015920445,-0.010831174,0.014250831,0.004147388,-0.003540142,-0.01342395,0.002355814,0.002007742,9.80E-05,-0.00365885,-0.008307757,-0.007954412,-0.001948615,-0.005657795,-0.006168666,-0.003019689,-0.000264629,-0.006881696,0.005585719,0.002937824,0.000582073,-0.007010804,-0.014125727,-0.006078211,-0.012362662,0.007684032
886.4000244,0.002416878,0.006240795,-9.94E-05,9.78E-05,-0.01257229,-0.002971666,-0.003596009,-0.006240782,-0.008779653,0.002314486,0.001281588,0.00617163,-0.005852296,-0.00645762,0.003213331,-0.009845978,0.003599774,0.00127759,-0.004228837,-0.005969507,-0.002087648,0.000136207,-0.000230893,-0.004339618,-0.006900805,-0.005265411,0.004134947,-0.001442814,-0.005518009
885.5999756,0.004879819,0.001712259,-0.001835727,-0.003441278,-0.01297411,-0.003141264,0.001866813,-0.004294304,-0.001408292,-0.004094949,-0.001423309,-0.005079653,0.002552465,-0.002416914,-0.001375729,-0.00217255,0.000830698,-0.000535561,-0.006184591,-0.00356443,-0.003269742,0.001104119,0.00418369,-0.00083645,-0.003705206,-0.000566275,-0.01067991,-0.00467763,0.000268909
884.7999878,0.004805609,0.007609237,-0.001085904,-0.007020229,0.00279391,0.001276551,0.000944674,-0.002989251,-0.003810526,-0.001078106,0.00047392,-0.007342672,-0.008983817,0.004459387,-0.004279591,0.008334368,-0.005383854,-0.00130853,-0.002368979,0.00817491,-0.003027761,-0.001417478,0.005307052,0.001723356,-0.001572312,-0.008684463,-0.010714309,-0.006750867,0.000615616
884,0.00528415,0.021110808,-0.000607688,0.004782053,0.001309317,0.006970245,0.003053814,0.003482881,0.002878278,0.001225772,0.00488762,0.00150365,4.72E-05,0.00506109,-0.00204823,0.00016073,0.001660468,-0.001487911,-0.000850194,0.005071226,-0.000598744,0.005877788,0.009869401,-0.002139993,0.002107044,0.000428443,0.006839346,0.003430226,-0.002672357
883.2000122,-0.000999394,-0.003272877,0.003101131,-0.003948195,3.96E-05,-0.008178983,-0.005185204,-0.008452183,-0.007014421,-0.004279078,-0.004843798,-0.002550805,-0.008155154,-0.000343112,-0.00925945,-0.009036098,-0.008870461,-0.012083453,-0.003877545,-0.002190271,-0.00206946,-0.015871631,-0.001575046,-0.003625274,-0.00387621,0.003188714,0.004941264,-0.001971601,-0.010469264
882.4000244,0.027021045,0.020980006,0.016583109,0.016843705,0.011214464,0.017537856,0.011502185,0.011268231,0.006183393,0.011933378,0.016928533,0.009999097,0.007792574,0.007664588,0.005830797,0.012459639,0.014627841,0.010138134,0.006840923,0.011879316,0.016464444,0.012697089,0.014399771,0.006934919,0.025562366,0.0200068,0.011963099,0.009112811,0.009752742
881.5999756,0.005218936,0.00926021,-0.001695169,-0.008147786,-0.005711296,0.00186871,-0.003396487,-0.005303975,-0.006574106,0.001387528,-0.005091166,-0.003182587,-0.009403357,-0.006075046,-0.011775244,0.000521657,-0.003703358,-0.001034,-0.001084819,0.00168175,-0.001767929,-0.002558216,-0.005953217,-0.00404961,-0.004545213,-0.011798774,-0.000831179,-0.006258695,0.000746156
880.7999878,0.00857097,0.018572183,0.007085606,-0.001841707,0.007500346,-0.001581494,0.005202876,-0.000727407,0.003430356,0.007591587,-0.003541374,0.002148743,0.006778946,0.005629274,0.003756149,-0.001433165,0.00061305,0.001664755,-0.00394563,-0.000164138,0.005260752,0.001093998,0.008521786,-0.001905731,0.001548045,0.000128103,0.009893261,0.004752741,0.0038441
880,0.007000023,0.010372751,0.008271068,0.002239594,0.007347277,0.002694372,0.008344421,0.004502018,0.011758179,0.009373854,0.012302363,0.014733312,0.005989212,0.009883781,0.007902223,0.004795192,-0.004588093,0.010268521,0.010145076,0.003264604,0.003214192,0.002041525,0.007734966,0.004834925,0.00238166,0.000949473,0.005538838,0.002925758,0.013724773
879.2000122,0.016984843,0.008992707,0.008512784,0.00754549,0.005693894,0.014004351,0.013488124,0.012059089,0.009169094,0.01187889,0.000413881,0.00607079,0.004979806,0.009270841,0.004845814,0.011162935,0.007387692,0.006590412,0.006701335,0.003986351,0.000466223,0.005221792,0.008191476,0.003623083,0.003108562,0.007129707,0.018518774,0.006871639,0.009058147
878.4000244,-0.002921787,0.003611885,0.000254663,-0.003571105,-0.00207657,0.000614657,-0.000397996,-0.006955069,-0.010802693,-0.002327836,0.000473713,-0.0081142,-0.00672645,-0.00221958,-0.005387689,-0.004304864,-0.008093975,-0.008488738,-0.002039367,0.001892499,0.000918473,-0.010306651,-0.003571773,-0.003454992,-0.007977795,-0.00241331,-0.004640137,-0.00150633,-0.005727952
