wavelength (nm),DOMBlank1,DOMSTD26,DOM12168,DOM12277,DOM12700,DOM12719,DOM12727,DOM12735,DOM12765,DOMBlank2,DOM13017,DOM13156,DOM13157,DOM13196,DOM13458,DOM13466,DOM13129,DOM13257,DOMBlank3,DOM13258,DOM13259,DOM13309,DOM13369,DOM13395,DOM13473,DOM13475,DOM13514,DOM13515,DOMBlank4,DOM13521,DOM13525,DOM13529,DOM13594,DOM13595,DOM13601,DOMBlank5
882.4000244,0.011033288,0.0011499,-0.010346236,-0.014652869,-0.002571392,-0.013704306,-0.014561109,-0.009400672,-0.025477877,-0.019313704,-0.014624638,-0.020564856,-0.016122328,-0.02444029,-0.011089994,-0.013908374,-0.022965217,-0.019282406,-0.011501858,-0.032407328,-0.022268491,-0.012866516,-0.025731677,-0.018252879,-0.016515046,-0.02073626,-0.027439797,-0.021071816,-0.023496753,-0.01122376,-0.026761707,-0.017943753,-0.032001458,-0.02477999,-0.019937802,-0.011967126
881.5999756,-0.015118225,-0.012961648,-0.021680983,-0.016906114,-0.00680306,-0.029044682,-0.034648225,-0.02897669,-0.033719108,-0.028577296,-0.03814308,-0.038569782,-0.030556614,-0.035374589,-0.038364138,-0.036399931,-0.037113726,-0.030013364,-0.036786869,-0.030567665,-0.035949498,-0.040500171,-0.03013592,-0.047912195,-0.038092293,-0.034498867,-0.040247355,-0.03150335,-0.036754906,-0.042215839,-0.040023807,-0.036802046,-0.037725355,-0.04278196,-0.035527036,-0.036018647
880.7999878,-0.011213468,-0.020158783,-0.018054171,-0.012242886,-0.027662775,-0.018241661,-0.02937717,-0.027620316,-0.033699609,-0.030461445,-0.024089355,-0.02758587,-0.019579297,-0.036947858,-0.0256005,-0.033471994,-0.03222369,-0.032989725,-0.031772949,-0.028947921,-0.032245178,-0.034495376,-0.024755979,-0.029523997,-0.034587752,-0.031978324,-0.032124463,-0.035323143,-0.034635797,-0.040002845,-0.038203251,-0.037689425,-0.035089642,-0.033072397,-0.031481393,-0.030946817
880,0.012067339,0.00114445,-0.010530918,-0.01280072,-0.006276402,-0.015266501,-0.017536165,-0.01492623,-0.017547105,-0.016632702,-0.023187067,-0.017407861,-0.025153771,-0.039774492,-0.028301919,-0.02721403,-0.029574297,-0.031906363,-0.027097505,-0.01831726,-0.036184635,-0.029674592,-0.022304,-0.021175474,-0.028383644,-0.026464669,-0.022964334,-0.02867312,-0.022519112,-0.02911518,-0.028222993,-0.028269662,-0.032797024,-0.034805607,-0.032922398,-0.033906516
879.2000122,-0.003435474,-0.006821408,-0.01131199,-0.01837215,-0.01811287,-0.021960193,-0.021257564,-0.028853757,-0.027138604,-0.029991187,-0.025252992,-0.026511332,-0.032242008,-0.029091358,-0.038592424,-0.02536015,-0.034958158,-0.027472505,-0.027762832,-0.02115003,-0.033896558,-0.032784782,-0.028677192,-0.031849645,-0.022969343,-0.030871939,-0.026555263,-0.031570029,-0.030103559,-0.036071062,-0.032183263,-0.028583549,-0.027341561,-0.039055314,-0.039353088,-0.032286707
878.4000244,-0.005255898,-0.012995616,-0.016623534,-0.012843747,-0.008444312,-0.017477389,-0.015708981,-0.024415625,-0.016563786,-0.034891661,-0.030818557,-0.025268476,-0.023045694,-0.031219753,-0.028591644,-0.031837761,-0.021715604,-0.025954217,-0.022430032,-0.027971761,-0.027541606,-0.029166399,-0.027606033,-0.030215707,-0.024447387,-0.029707858,-0.03460912,-0.034422111,-0.040951137,-0.02425115,-0.023069799,-0.027826352,-0.033195678,-0.029917303,-0.030828973,-0.024163552
877.5999756,-0.006821969,-0.004230939,-0.006186786,-0.008388354,-0.015254105,-0.012545282,-0.014758721,-0.030372823,-0.024316164,-0.022195891,-0.022362817,-0.026749147,-0.029849062,-0.028566485,-0.0324842,-0.026156852,-0.034830075,-0.027161511,-0.023077164,-0.0299318,-0.022821363,-0.032991502,-0.021303063,-0.028115181,-0.033348408,-0.034497768,-0.0335574,-0.02714264,-0.029120069,-0.03552527,-0.021884045,-0.036825113,-0.036844376,-0.026360219,-0.030834181,-0.02829246
876.7999878,0.003227988,0.002008886,-0.007402328,-0.006505921,-0.013128093,-0.010023789,-0.016767165,-0.021403858,-0.023571834,-0.023242917,-0.025638277,-0.029142,-0.026738292,-0.021253867,-0.026291905,-0.029213548,-0.031555105,-0.024405934,-0.028496334,-0.028549761,-0.033650119,-0.026208665,-0.031452164,-0.031075956,-0.026221337,-0.035457093,-0.028365264,-0.024465052,-0.021462353,-0.027708629,-0.034033105,-0.029628655,-0.02640626,-0.036878712,-0.025744852,-0.028783895
876,-0.001248496,-0.003864768,-0.013494821,-0.013519112,-0.020727869,-0.025824569,-0.026975157,-0.021622665,-0.024616288,-0.026045648,-0.030442333,-0.025839059,-0.027065255,-0.038174707,-0.031941816,-0.03242645,-0.032050125,-0.037587401,-0.035181083,-0.035714574,-0.033035982,-0.033436093,-0.034508143,-0.030296106,-0.032787997,-0.035788335,-0.027003422,-0.030617652,-0.030361477,-0.034637757,-0.03403813,-0.040797334,-0.033193998,-0.03455916,-0.031650852,-0.037227359
875.2000122,0.000538296,-0.000555985,-0.012005251,-0.004044173,-0.012417255,-0.023203412,-0.014825271,-0.020442776,-0.012993104,-0.022998903,-0.026475873,-0.018025761,-0.026550246,-0.026513036,-0.027237419,-0.021211812,-0.023815921,-0.030140895,-0.03039667,-0.023260437,-0.027500594,-0.025332557,-0.029966544,-0.034087911,-0.026419511,-0.022227667,-0.028682474,-0.027417926,-0.024709078,-0.025073588,-0.031722132,-0.028110376,-0.03384053,-0.026217291,-0.030037036,-0.02276212
874.4000244,8.83E-05,0.002635432,-0.002787959,-0.016915228,-0.017702756,-0.011222448,-0.016761187,-0.019878063,-0.01685806,-0.02061107,-0.025662921,-0.02328399,-0.019288745,-0.02280304,-0.015649108,-0.022163322,-0.029474994,-0.01850806,-0.022081306,-0.024121337,-0.026923822,-0.022032639,-0.017650265,-0.03052129,-0.026923677,-0.018471643,-0.026229136,-0.021965312,-0.025627637,-0.027414767,-0.029866654,-0.02156641,-0.029559305,-0.023673426,-0.021323817,-0.02359846
873.5999756,-0.000398099,-0.001506587,-0.005136397,-0.005871451,-0.014621684,-0.013453665,-0.019625321,-0.012209011,-0.023929559,-0.021341413,-0.015532932,-0.021407751,-0.020642914,-0.023125125,-0.026705189,-0.020668091,-0.02586418,-0.035363425,-0.026118584,-0.027925255,-0.032782432,-0.032494336,-0.028079949,-0.027651602,-0.024410192,-0.026868055,-0.024187056,-0.030136501,-0.025582684,-0.031257138,-0.026292782,-0.033052821,-0.025043631,-0.031923346,-0.019814905,-0.031177592
872.7999878,-0.01056836,0.000405304,-0.004620928,-0.008292215,-0.0060801,-0.019374015,-0.016554417,-0.022816502,-0.028533762,-0.022599228,-0.022558041,-0.027287647,-0.02587535,-0.028607544,-0.032059792,-0.028532065,-0.025481392,-0.030017374,-0.019002905,-0.033064529,-0.025985379,-0.033867586,-0.034515314,-0.032235518,-0.023923384,-0.030766325,-0.03159073,-0.027435714,-0.034710649,-0.023377065,-0.032856595,-0.033243779,-0.032785695,-0.033428855,-0.03334678,-0.026968198
872,-0.003908844,-0.01469311,-0.009503203,-0.014355044,-0.022775186,-0.022425558,-0.019954169,-0.031771071,-0.031537004,-0.029158218,-0.035245482,-0.02622241,-0.028780309,-0.030163065,-0.032001939,-0.031485341,-0.038246486,-0.032924749,-0.033033248,-0.03397733,-0.034286071,-0.03944103,-0.036345843,-0.033054739,-0.032146871,-0.036035135,-0.029537201,-0.032623302,-0.031566225,-0.037281051,-0.037682399,-0.033040155,-0.0337376,-0.034963701,-0.035452515,-0.031598095
871.2000122,-0.009384663,-0.014707524,-0.021563996,-0.02345982,-0.018343069,-0.024209483,-0.029979639,-0.030297894,-0.03187269,-0.029964853,-0.031054411,-0.038315888,-0.033341073,-0.039250746,-0.040558744,-0.032927677,-0.033960048,-0.031498484,-0.034014337,-0.033945683,-0.035885394,-0.036552396,-0.030679453,-0.034717675,-0.035419971,-0.034358926,-0.035301283,-0.036831249,-0.03257446,-0.039752714,-0.039039366,-0.033161767,-0.036522985,-0.036653947,-0.035365045,-0.038754068
870.4000244,-0.005067167,-0.009942432,-0.013376211,-0.01880781,-0.019718243,-0.02414646,-0.02629439,-0.028004866,-0.036641102,-0.032075565,-0.029769884,-0.030201944,-0.026258523,-0.034318887,-0.029504502,-0.028795524,-0.027951082,-0.038793892,-0.034493655,-0.02949241,-0.034140415,-0.031042747,-0.033107322,-0.035377834,-0.034538075,-0.032336161,-0.038163278,-0.032207396,-0.027627215,-0.034365911,-0.032661915,-0.033309046,-0.035485912,-0.037288699,-0.03723054,-0.035663355
869.5999756,-0.005642413,-0.006262829,-0.014573676,-0.014435028,-0.017573506,-0.026480842,-0.026249703,-0.023658326,-0.026253602,-0.024754953,-0.028755888,-0.035458956,-0.028913582,-0.01949496,-0.029632958,-0.025094796,-0.031782139,-0.029325007,-0.034741048,-0.027688811,-0.035754818,-0.0321398,-0.028977659,-0.029390911,-0.022683851,-0.030083993,-0.030279594,-0.032814451,-0.030170647,-0.027174447,-0.02903703,-0.034349073,-0.028330052,-0.036394883,-0.037178934,-0.033369407
868.7999878,-0.004431768,0.002299314,-0.004219762,-0.013843789,-0.013795093,-0.018737007,-0.025201211,-0.023790581,-0.025332656,-0.023457123,-0.027599281,-0.028103873,-0.020413438,-0.024374757,-0.019492682,-0.028898371,-0.026385507,-0.029086953,-0.031294715,-0.031053206,-0.030144664,-0.025341544,-0.024312736,-0.027735781,-0.025811106,-0.029406298,-0.029811312,-0.02834761,-0.025768222,-0.027256237,-0.031423848,-0.026691703,-0.030555746,-0.03096292,-0.03214908,-0.02982673
868,-0.00737301,-0.010517122,-0.021224828,-0.010043216,-0.017962432,-0.015117425,-0.022407219,-0.025518445,-0.026178543,-0.027335728,-0.031249575,-0.026280161,-0.030725086,-0.032746136,-0.029996259,-0.035729595,-0.039060187,-0.030541124,-0.031863887,-0.030334732,-0.033921171,-0.031429239,-0.029166156,-0.0306946,-0.033623096,-0.033695776,-0.031377226,-0.027175857,-0.030159781,-0.035560142,-0.032108646,-0.037499174,-0.027735051,-0.034272626,-0.029804302,-0.031466369
867.2000122,-0.001359833,-0.011414121,-0.010380914,-0.011241569,-0.022700654,-0.023869582,-0.02701938,-0.027156403,-0.031273905,-0.026644181,-0.027063405,-0.034536164,-0.025773736,-0.029018823,-0.030548459,-0.031173062,-0.030467575,-0.033493947,-0.028586894,-0.030467721,-0.032501541,-0.03361471,-0.03269615,-0.028454395,-0.031309888,-0.036546592,-0.032707866,-0.033937879,-0.036638387,-0.035408568,-0.038017258,-0.035806499,-0.034755334,-0.032251909,-0.032695383,-0.032537617
866.4000244,-0.00146722,-0.003373371,-0.004779028,-0.016819064,-0.017959502,-0.016558604,-0.023087522,-0.020538339,-0.030517768,-0.023617534,-0.024237489,-0.023367597,-0.025629345,-0.023062779,-0.023737744,-0.027101006,-0.030551692,-0.028229835,-0.025693227,-0.025549443,-0.028041268,-0.032473151,-0.030147126,-0.036022127,-0.031724345,-0.02885022,-0.031899195,-0.027078826,-0.030203296,-0.030707769,-0.03536915,-0.034302238,-0.031175472,-0.025936512,-0.029278645,-0.028772654
865.5999756,-0.003067347,-0.006878689,-0.006853159,-0.018701999,-0.018921824,-0.018809844,-0.025430955,-0.021980029,-0.02795681,-0.027144926,-0.02908734,-0.029722314,-0.029564528,-0.027383124,-0.031621203,-0.029359268,-0.03308909,-0.033361547,-0.034715861,-0.034406759,-0.034499966,-0.037311364,-0.034542713,-0.029888017,-0.033030033,-0.030055443,-0.033434991,-0.032139033,-0.030620692,-0.034897536,-0.033621516,-0.033328943,-0.033839282,-0.033668518,-0.031105066,-0.034825057
864.7999878,-0.007972102,-0.009167407,-0.016028782,-0.015247357,-0.019496098,-0.017129738,-0.022126179,-0.024984639,-0.028210234,-0.023666171,-0.027704792,-0.02222383,-0.023959739,-0.025837693,-0.027810132,-0.025920028,-0.028621987,-0.032562692,-0.026827661,-0.027127951,-0.031323571,-0.032805137,-0.03318762,-0.02638234,-0.031757023,-0.033822089,-0.032833893,-0.028509377,-0.03476394,-0.030949181,-0.028598139,-0.028183501,-0.034872789,-0.033401482,-0.03256759,-0.034112703
864,-0.007092509,-0.011659892,-0.015031165,-0.023430439,-0.022597851,-0.022944199,-0.024684036,-0.02765408,-0.029700557,-0.030188181,-0.029056158,-0.034133427,-0.030682396,-0.034517035,-0.029275063,-0.030625226,-0.035107549,-0.032536656,-0.032730147,-0.033497684,-0.031396586,-0.032236815,-0.036411166,-0.033500273,-0.033900868,-0.039368171,-0.034432057,-0.035650242,-0.037059583,-0.037553169,-0.036080353,-0.035341423,-0.032165378,-0.035140116,-0.03381481,-0.037759576
863.2000122,-0.003023956,-0.006584407,-0.009770914,-0.013661062,-0.014715683,-0.016825639,-0.018101944,-0.022796163,-0.022569591,-0.022318115,-0.025495891,-0.023407284,-0.02120062,-0.022966199,-0.023038771,-0.026006542,-0.027049445,-0.026318219,-0.029548857,-0.024540897,-0.029817836,-0.025863936,-0.024151357,-0.027849466,-0.02712406,-0.030664787,-0.030607086,-0.031432178,-0.031957738,-0.026521707,-0.029157782,-0.030209091,-0.024820477,-0.032134082,-0.032577388,-0.028453425
862.4000244,-0.004557355,-0.005520156,-0.011816156,-0.014991255,-0.016835051,-0.018257149,-0.02422329,-0.023736764,-0.022258606,-0.026586285,-0.029890433,-0.027058542,-0.027482031,-0.031076439,-0.022917386,-0.028678935,-0.027904913,-0.027347637,-0.030176347,-0.029601913,-0.032997932,-0.030473415,-0.032156341,-0.031435933,-0.02704351,-0.027743746,-0.035558853,-0.028999645,-0.032591604,-0.02827684,-0.030818269,-0.032730196,-0.029272644,-0.034948461,-0.031811878,-0.034154389
861.5999756,0.003113359,-0.000780278,-0.007343181,-0.010063603,-0.015235861,-0.020474486,-0.02475588,-0.021909889,-0.02240127,-0.023639305,-0.025011815,-0.024271516,-0.022958588,-0.022269279,-0.028372683,-0.026389696,-0.029502423,-0.031423219,-0.026326064,-0.027725823,-0.025591567,-0.027281811,-0.024375932,-0.024968021,-0.029481575,-0.030862054,-0.033379044,-0.026432909,-0.028088637,-0.03230891,-0.03118323,-0.028856372,-0.029878786,-0.02909039,-0.029543633,-0.027956858
860.7999878,-0.003078707,-0.006412884,-0.010279551,-0.014668586,-0.019298254,-0.025001355,-0.0230208,-0.024953259,-0.027592817,-0.030100804,-0.029787287,-0.030978395,-0.031133741,-0.028227748,-0.03448806,-0.032893073,-0.031234544,-0.032111626,-0.02850448,-0.031055713,-0.033035215,-0.035037015,-0.03238263,-0.02972942,-0.032412902,-0.031483751,-0.03634946,-0.032588482,-0.031157063,-0.034249708,-0.03140102,-0.031815484,-0.029677203,-0.038139191,-0.02884087,-0.031357192
860,-0.00414054,-0.007746611,-0.012496892,-0.014327444,-0.021522464,-0.020075742,-0.02346389,-0.025663801,-0.029056352,-0.029276613,-0.025062103,-0.026503637,-0.030598834,-0.033951238,-0.030774478,-0.033711731,-0.032018241,-0.035105497,-0.035795581,-0.036043234,-0.036081925,-0.032671902,-0.032937322,-0.03255241,-0.031143764,-0.036729645,-0.033687297,-0.032687075,-0.032241382,-0.034941059,-0.029522642,-0.035336982,-0.036811318,-0.034905992,-0.029268434,-0.033976998
