,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
832,-0.005004068,832,-0.0073049,832,-0.007348679
831.2000122,-0.005548577,831.2000122,-0.010212502,831.2000122,-0.011261193
830.4000244,-0.002871697,830.4000244,-0.007659485,830.4000244,-0.009780127
829.5999756,-0.004913216,829.5999756,-0.008343411,829.5999756,-0.011582622
828.7999878,-0.00675627,828.7999878,-0.010861824,828.7999878,-0.008452081
828,-0.002677039,828,-0.006851833,828,-0.008700752
827.2000122,-0.006021437,827.2000122,-0.009973044,827.2000122,-0.011890212
826.4000244,-0.005263928,826.4000244,-0.005994834,826.4000244,-0.010930792
825.5999756,-0.006634377,825.5999756,-0.006953286,825.5999756,-0.008317407
824.7999878,-0.00638202,824.7999878,-0.009030216,824.7999878,-0.013514344
824,-0.006817739,824,-0.011715834,824,-0.01299632
823.2000122,-0.003615519,823.2000122,-0.006357072,823.2000122,-0.009136332
822.4000244,-0.003965535,822.4000244,-0.008198644,822.4000244,-0.010521013
821.5999756,-0.006323755,821.5999756,-0.007842058,821.5999756,-0.011000558
820.7999878,-0.006635295,820.7999878,-0.010155761,820.7999878,-0.012401759
820,-0.003872413,820,-0.009673865,820,-0.012695847
819.2000122,-0.003458844,819.2000122,-0.013045507,819.2000122,-0.013100466
818.4000244,-0.006972646,818.4000244,-0.010511968,818.4000244,-0.015153574
817.5999756,-0.005777255,817.5999756,-0.01108207,817.5999756,-0.010795825
816.7999878,-0.006383091,816.7999878,-0.009213786,816.7999878,-0.009633763
816,-0.00339808,816,-0.005142383,816,-0.00664539
815.2000122,-0.004376419,815.2000122,-0.007734202,815.2000122,-0.01158232
814.4000244,-0.005473534,814.4000244,-0.009664953,814.4000244,-0.008915756
813.5999756,-0.006430891,813.5999756,-0.007836821,813.5999756,-0.009416175
812.7999878,-0.006095211,812.7999878,-0.009059118,812.7999878,-0.010501103
812,-0.005271191,812,-0.009268624,812,-0.01222089
811.2000122,-0.003725276,811.2000122,-0.00786987,811.2000122,-0.010391934
810.4000244,-0.005560895,810.4000244,-0.007225883,810.4000244,-0.008422732
809.5999756,-0.003099012,809.5999756,-0.010297955,809.5999756,-0.012036271
808.7999878,-0.003665832,808.7999878,-0.005034519,808.7999878,-0.007512862
808,-0.004538706,808,-0.006642076,808,-0.009629104
807.2000122,-0.005503798,807.2000122,-0.008271693,807.2000122,-0.009700648
806.4000244,-0.001130469,806.4000244,-0.005682426,806.4000244,-0.010693094
805.5999756,-0.001680678,805.5999756,-0.003911871,805.5999756,-0.00480888
804.7999878,-0.006033946,804.7999878,-0.007670167,804.7999878,-0.007627997
