wavelength (nm),DOMBlank1,DOMSTD19,DOM11943,DOM12001,DOM12473,DOM12598,DOM12603,DOM12614,DOM12693,DOMBlank2,DOM12695,DOM12763,DOM12851,DOM12903,DOM12909,DOM13428,DOM13430,DOMBlank3
881.5999756,-0.006728387,-0.010042558,-0.017882697,-0.014308308,-0.018169971,-0.018016921,-0.026479576,-0.02927608,-0.022842878,-0.022604192,-0.026600456,-0.026610876,-0.020547474,-0.026120875,-0.029173031,-0.022571214,-0.019762816,-0.02346291
880.7999878,-0.001123704,-0.008307401,-0.007691428,-0.014369219,-0.012428123,-0.016051734,-0.01439386,-0.015855759,-0.015061121,-0.020660341,-0.01558568,-0.012351038,-0.022630779,-0.016744748,-0.022021566,-0.020604948,-0.032137543,-0.020102238
880,-0.008642696,-0.015771143,-0.015645662,-0.016418146,-0.021181539,-0.021262445,-0.019135,-0.020162687,-0.024504103,-0.018480077,-0.025679953,-0.026396079,-0.023682006,-0.029679766,-0.030560426,-0.026859442,-0.028281061,-0.026103178
879.2000122,-0.001833098,-0.009778861,-0.014811712,-0.016866177,-0.016911494,-0.008282868,-0.02093133,-0.017746892,-0.023117565,-0.020912828,-0.020025862,-0.021354968,-0.025844961,-0.019001368,-0.020443272,-0.019997086,-0.02614408,-0.022778969
878.4000244,-0.001436003,-0.012553782,-0.01561295,-0.013432032,-0.009904278,-0.016257994,-0.015422822,-0.020898717,-0.022543591,-0.021031816,-0.026245754,-0.027417196,-0.026020732,-0.022455942,-0.021388728,-0.01674973,-0.022873282,-0.021987164
877.5999756,-0.013881247,-0.016665936,-0.013659959,-0.016676547,-0.026865719,-0.024876656,-0.025015334,-0.027418703,-0.024407843,-0.02976186,-0.03513281,-0.023484295,-0.030538084,-0.032328662,-0.036083307,-0.027072988,-0.026069539,-0.030010415
876.7999878,-0.004599772,-0.015541574,-0.009286614,-0.010670211,-0.01518587,-0.021313613,-0.019887757,-0.025938757,-0.020694107,-0.018212371,-0.017735956,-0.02031938,-0.019157391,-0.022266869,-0.023796268,-0.013637232,-0.030368285,-0.024252422
876,-0.003637904,-0.002358629,-0.010482202,-0.017897552,-0.009532124,-0.019110773,-0.016557807,-0.012633143,-0.014095757,-0.023335313,-0.012876115,-0.014948389,-0.022175277,-0.02395577,-0.019151991,-0.024279105,-0.021396071,-0.024140093
875.2000122,-0.010994399,-0.018209441,-0.014805508,-0.020512957,-0.023672398,-0.018775782,-0.026062079,-0.022848036,-0.031645607,-0.027260419,-0.022410955,-0.027059369,-0.033690795,-0.023518136,-0.029547842,-0.024664667,-0.028630566,-0.026588086
874.4000244,-0.00474897,-0.006890664,-0.016571909,-0.017299071,-0.01746257,-0.019726604,-0.019935923,-0.02212549,-0.024087446,-0.027296446,-0.01939778,-0.027106455,-0.031567384,-0.025552422,-0.023619251,-0.02643515,-0.027528828,-0.022625767
873.5999756,-0.002375982,-0.010598575,-0.011252768,-0.004789628,-0.011867191,-0.016427618,-0.018557519,-0.018047515,-0.020658812,-0.021334315,-0.020592753,-0.02216357,-0.022630287,-0.023268387,-0.020744009,-0.020380935,-0.02494402,-0.024569226
