wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
882.4000244,-0.00307845,-0.009106827,-0.015960021,-0.026153147,-0.029529413,-0.023914516,-0.019586325,-0.018683204,-0.032968566,-0.022985792,-0.023422344,-0.027827274,-0.020771649,-0.020684382,-0.030856606,-0.025290407,-0.036899067,-0.02206305,-0.015299739
881.5999756,-0.004849788,-0.024491625,-0.021918258,-0.020371597,-0.025061712,-0.033301659,-0.028876331,-0.020664833,-0.022687487,-0.040312756,-0.040506065,-0.032031465,-0.021152889,-0.024778424,-0.029301489,-0.027135247,-0.028122751,-0.032226,-0.032343127
880.7999878,-0.030563226,-0.021944394,-0.029286727,-0.024284098,-0.033436861,-0.041910294,-0.035456806,-0.025887253,-0.032794721,-0.03933299,-0.034025971,-0.036081497,-0.031587746,-0.040503848,-0.03794653,-0.037525628,-0.041585103,-0.034237508,-0.041865774
880,-0.011125066,-0.014537629,-0.007618942,-0.016316637,-0.022997871,-0.028876331,-0.015997296,-0.029407071,-0.012167683,-0.026834134,-0.025767295,-0.021593258,-0.025569554,-0.026228551,-0.030250814,-0.026074901,-0.02260891,-0.032788429,-0.027358236
879.2000122,-0.01437618,-0.017227773,-0.015175022,-0.02493703,-0.025162663,-0.02955674,-0.027510459,-0.030590246,-0.032172881,-0.026655333,-0.025669606,-0.030087519,-0.040467486,-0.032751128,-0.028083783,-0.036437206,-0.038850419,-0.033749335,-0.030748287
878.4000244,-0.006241599,-0.011898322,-0.016752768,-0.014549845,-0.01366959,-0.01601007,-0.018271891,-0.018404854,-0.017632321,-0.021301141,-0.01897436,-0.027250256,-0.021550842,-0.020033969,-0.027641788,-0.023552218,-0.029702587,-0.022789581,-0.021785479
877.5999756,-0.006330132,-0.004460978,-0.00202463,-0.015268101,-0.010649853,-0.016193558,-0.014511993,-0.014245286,-0.013235121,-0.020411462,-0.015302788,-0.010842637,-0.019168636,-0.029213887,-0.024318121,-0.014705473,-0.018405797,-0.024804439,-0.0216568
876.7999878,-0.0085825,-0.017290862,-0.012792576,-0.015664339,-0.011953981,-0.021674383,-0.031649455,-0.024401333,-0.022364931,-0.026144031,-0.02413309,-0.021447076,-0.02137069,-0.0236471,-0.026053302,-0.027362611,-0.028527848,-0.024285616,-0.030244827
876,-0.007435257,-0.011399143,-0.013309839,-0.018174639,-0.020661229,-0.026216317,-0.023048492,-0.030132009,-0.022965267,-0.029896667,-0.033738364,-0.033190545,-0.0259667,-0.023632048,-0.026012199,-0.023208369,-0.025082823,-0.027874907,-0.03193441
875.2000122,-0.017683968,-0.02037802,-0.022215467,-0.019439219,-0.032402091,-0.031846758,-0.028218092,-0.030209091,-0.03489811,-0.036230881,-0.03154875,-0.031789359,-0.033217307,-0.034931552,-0.032232393,-0.039259307,-0.036416687,-0.039591916,-0.035431806
