wavelength (nm),DOMBlank1,DOMSTD20,DOM11407,DOM11740,DOM11743,DOM11902,DOM11904,DOM11915,DOM11934,DOMBlank2,DOM11961,DOM12617,DOM12627,DOM13189,DOM13236,DOM13337,DOM13238,DOM11609,DOM11762,DOMBlank3,DOM12140,DOM12200,DOM12221,DOM12278,DOM12733,DOM12737,DOM12771,DOM12776,DOM12826,DOMBlank4,DOM12828,DOM12833,DOM12907,DOM13038,DOM13125,DOM13213,DOM13244,DOM13245,DOMBlank5
884,0.002808004,-0.013173047,-0.017973956,-0.014833777,-0.016407078,-0.020291267,-0.02613784,-0.015978035,-0.019922422,-0.01220881,-0.009073771,-0.026359001,-0.009598113,-0.024638105,-0.007755562,-0.026259352,-0.020103425,-0.01737573,-0.015889751,-0.021608725,-0.02053903,-0.020949632,-0.036294937,-0.020463323,-0.023058165,-0.01819971,-0.021872723,-0.018158104,-0.025592301,-0.022929467,-0.029917255,-0.01874519,-0.017064486,-0.023281194,-0.021545719,-0.030922374,-0.018622251,-0.017170597,-0.017547155
883.2000122,-0.000674944,-0.014391758,-0.006409568,-0.012657884,-0.024400305,-0.012564395,-0.012452422,-0.019314149,-0.011901294,-0.024720816,-0.01878788,-0.02284725,-0.019818218,-0.018925343,-0.013437604,-0.033965938,-0.022027176,-0.026774753,-0.020802692,-0.013213677,-0.008280075,-0.021250563,-0.022782899,-0.02671843,-0.013905215,-0.021752685,-0.018200953,-0.023407873,-0.00883759,-0.029716222,-0.017988808,-0.01677344,-0.028839465,-0.02586857,-0.0073555,-0.022806088,-0.021428892,-0.023695782,-0.019521836
882.4000244,-0.003133349,0.001223566,0.003151791,-0.011065819,-0.002997529,-0.011750755,-0.011269215,-0.012495786,-0.016302625,-0.021994449,-0.025896665,-0.007772547,-0.023785779,-0.02281994,-0.006223992,-0.021045033,-0.013536626,-0.027551081,-0.02061981,-0.016252808,-0.014078767,-0.027776042,-0.015955029,-0.011067939,-0.010658189,-0.00951308,-0.021541333,-0.014605865,-0.002574016,-0.018944822,-0.024233475,-0.01831577,-0.011300994,-0.014632496,-0.011468329,-0.017771391,-0.011093829,-0.015400537,-0.018951561
881.5999756,0.00174381,-0.001563026,-0.006884702,-0.003830181,0.003107571,0.000557346,-0.008490312,-0.005541319,0.002431455,-0.01121927,-0.004948894,0.003141127,-0.000867762,-0.004654223,-0.017064087,-0.005075457,0.001581922,-0.014196184,-0.008133052,-0.007843075,-0.006525302,-0.016666634,-0.008919611,-0.016441675,-0.013440967,-0.005176404,-0.010407906,-0.0024912,-0.007376471,-0.001400397,-0.010977287,-0.003323435,-0.006983855,0.009255133,-0.007803923,-0.013688554,6.88E-05,-0.011390267,-0.013097804
880.7999878,-0.018161133,-0.015749125,-0.012977075,-0.014209913,-0.025203604,-0.032231815,-0.024572015,-0.011971407,-0.025516395,-0.016855918,-0.024837738,-0.030693442,-0.01474591,-0.019439319,-0.017843148,-0.025578097,-0.019992884,-0.025986645,-0.016423978,-0.019455159,-0.022468084,-0.019625321,-0.0233883,-0.026005274,-0.026261399,-0.026270902,-0.026544645,-0.021048339,-0.027512306,-0.02356443,-0.019138072,-0.023740144,-0.030722288,-0.025073539,-0.030829264,-0.025614752,-0.021894777,-0.029078335,-0.024216387
880,-0.001530629,0.003693958,-0.001958613,-0.00577654,-0.003003545,-0.014566666,-0.006218532,-0.019504612,-0.010740371,-0.004003702,-0.01251983,-0.012707311,-0.015598666,-0.025611775,-0.015965659,-0.015508855,-0.017769653,-0.015519745,-0.013343679,-0.011990142,-0.012066384,-0.011736847,-0.012015826,-0.01536196,-0.015234111,-0.014380538,-0.008799998,-0.01705667,-0.021300452,-0.00981156,-0.018327285,-0.010988393,-0.013185905,-0.010828094,-0.018413886,-0.016523818,-0.010850817,-0.010917364,-0.02009942
879.2000122,0.001556488,0.000869162,-0.00530776,-0.001174513,-0.000771183,0.003158519,-0.00444253,-0.00978038,-0.015904972,-0.011319103,-0.007766953,-0.009377519,-0.006058198,-0.007529755,-0.000224787,-0.009800425,-0.011517992,-0.002566399,-0.005882075,-0.010348511,-0.01104982,4.01E-05,-0.005378127,-0.008015763,-0.003564276,-0.010853695,-0.008495999,-0.006105166,-0.005730047,-0.009647029,-0.013412957,-0.014120616,-0.010691983,-0.002778083,-0.011594317,-0.005882023,-0.008126039,-0.003008532,-0.00587094
878.4000244,-0.00444709,-0.003613363,-0.011113359,-0.015373853,-0.015004858,-0.01158242,-0.020016963,-0.01578602,-0.019269085,-0.021218369,-0.015627084,-0.010674354,-0.019498918,-0.018086649,-0.017476294,-0.0208588,-0.014856042,-0.030241784,-0.02972357,-0.020371499,-0.014985252,-0.020320665,-0.024932729,-0.019166952,-0.017972913,-0.027616819,-0.019794624,-0.017945293,-0.019040417,-0.019930879,-0.021660494,-0.012963859,-0.021390699,-0.014590097,-0.015063521,-0.018325003,-0.017924678,-0.019488623,-0.013725223
877.5999756,0.011800176,-0.007512658,-0.012656325,-0.00063607,-0.013625591,-0.013773777,-0.002093573,-0.01604839,-0.011693811,-0.002931918,-0.01245534,-0.008415471,-0.017729744,-0.012624695,-0.00630707,-0.010058038,-0.008215714,-0.015247707,-0.01018747,-0.00580004,-0.012680813,-0.011166646,-0.00961604,-0.00615907,-0.012571536,-0.014270035,-0.011440293,-0.01178774,-0.01040366,-0.012975316,-0.008092451,-0.008270322,-0.00248981,-0.007016408,-0.014619331,-0.005279272,-0.010445663,-0.003316345,-0.012930694
876.7999878,-0.00299321,-0.003660236,-0.005173387,0.003239645,-0.008557424,-0.008617877,-0.011289241,-0.006535502,-0.013715441,-0.009216066,-0.016363107,-0.005877988,-0.017457696,-0.015158273,-0.008806441,-0.016617505,-0.019022677,-0.009355073,-0.010491602,-0.020572953,-0.011235263,-0.016751075,-0.007836313,-0.007561861,-0.018967917,-0.015676923,-0.010757645,-0.013185905,-0.018822782,-0.011401413,-0.017089522,-0.010438738,-0.01518897,-0.007694277,-0.011936,-0.023676367,-0.013834761,-0.013311998,-0.015577389
876,-0.006242875,-0.00330088,-0.00819082,-0.005908582,-0.009750767,-0.002649871,-0.015217965,-0.009700141,-0.00756471,-0.000769994,-0.007594015,-0.012009984,-0.009302881,-0.008772297,-0.008104749,-0.01742308,-0.01523711,-0.023120215,-0.011910361,-0.010312667,-0.017628642,-0.016797747,-0.011335394,-0.013567889,-0.01601506,-0.013967986,-0.011137581,-0.017323399,-0.012746376,-0.019423822,-0.014835779,-0.021414995,-0.012265787,-0.019163582,-0.013876082,-0.015789865,-0.016489776,-0.01663604,-0.018637577
875.2000122,-0.003164958,-0.004776877,-0.004942547,-0.007013352,-0.009976585,-0.011849609,-0.007869209,-0.008840329,-0.013120811,-0.014959544,-0.018107308,-0.014296937,-0.011266188,-0.017323846,-0.013638085,-0.014807409,-0.015599365,-0.013564276,-0.015542174,-0.013428016,-0.016756155,-0.011839835,-0.025825888,-0.013295027,-0.012272985,-0.010224942,-0.012749895,-0.012257231,-0.017217722,-0.015715573,-0.015916202,-0.018007632,-0.012405985,-0.013583494,-0.011006009,-0.015065671,-0.019070989,-0.008287796,-0.013348399
874.4000244,0.002351468,-0.001267906,-0.003843934,-0.007659587,-0.009438668,-0.002088215,-0.013294576,-0.014058919,-0.010031024,-0.019191669,-0.012968834,-0.010077716,-0.011601676,-0.01384419,-0.009137092,-0.008020744,-0.011934538,-0.016255151,-0.014017215,-0.011489657,-0.014889361,-0.008018659,-0.010989351,-0.01150085,-0.018131888,-0.013339613,-0.004964455,-0.012037228,-0.017848365,-0.016165776,-0.013362003,-0.00745882,-0.013449048,-0.00998807,-0.012677846,-0.01566329,-0.010603475,-0.008390944,-0.011825981
873.5999756,-0.000597658,-0.008462946,-0.007466708,-0.010269691,-0.006222206,-0.008658124,-0.009525742,-0.014773283,-0.012472997,-0.01446222,-0.007417087,-0.010814914,-0.012125444,-0.012693132,-0.009877658,-0.011286214,-0.008936602,-0.012071217,-0.010526875,-0.017881256,-0.01937565,-0.014440888,-0.007276645,-0.009774963,-0.012890539,-0.010292747,-0.018732198,-0.016862443,-0.012290801,-0.015857305,-0.014402124,-0.014452656,-0.016183982,-0.014296185,-0.01050267,-0.009395302,-0.008465333,-0.011558475,-0.010770018
872.7999878,-0.007275983,-0.005286944,-0.004860539,-0.011295849,-0.01076416,-0.016223034,-0.011533621,-0.020260386,-0.017013958,-0.018364608,-0.010028393,-0.018951859,-0.016069496,-0.014930181,-0.019551879,-0.014139258,-0.013206044,-0.018194448,-0.022929419,-0.016183233,-0.015911411,-0.020421933,-0.018209441,-0.01853455,-0.020062445,-0.016678441,-0.019681284,-0.015444657,-0.013088108,-0.016864683,-0.014548543,-0.016678192,-0.011890615,-0.009911464,-0.020681962,-0.01832664,-0.019307811,-0.020943712,-0.021212995
872,0.001534692,0.003616635,0.002403602,-0.007478717,-0.005628871,-0.011062387,-0.005369792,-0.007128059,-0.010135226,-0.008945173,-0.011710139,-0.005744762,-0.004381339,-0.013197205,-0.017459586,-0.015070071,-0.009859288,-0.006807138,-0.00978858,-0.014571873,-0.015174922,-0.009710419,-0.014038769,-0.008833633,-0.009994041,-0.008880707,-0.008774631,-0.011872329,-0.011049972,-0.010286377,-0.011150297,-0.00371655,-0.004411423,-0.008635438,-0.012923809,-0.006509084,-0.005396024,-0.010656066,-0.00799899
871.2000122,-0.004572212,0.001349199,-0.007419836,-0.007133916,-0.005321415,-0.012323764,-0.008009613,-0.008118011,-0.008042547,-0.010713349,-0.016749481,-0.004764025,-0.009908731,-0.016124921,-0.006204292,-0.008894098,-0.008781632,-0.009586314,-0.011587008,-0.011440999,-0.012309925,-0.015837839,-0.017309917,-0.006786802,-0.010943918,-0.014046438,-0.014562411,-0.014525112,-0.007132846,-0.009541241,-0.014225095,-0.006326969,-0.009839145,-0.010149539,-0.004190741,-0.01403897,-0.014266328,-0.010471488,-0.020349022
