wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
803.2000122,-0.008568896,-0.012493773,-0.016541511
802.4000244,-0.006831805,-0.009712747,-0.015398888
801.5999756,-0.009334298,-0.012102938,-0.015914805
800.7999878,-0.007021502,-0.008048289,-0.015512251
800,-0.006733026,-0.009798045,-0.015819818
799.2000122,-0.005689835,-0.006840316,-0.015280247
798.4000244,-0.009610216,-0.011335445,-0.016008474
797.5999756,-0.006033896,-0.011220632,-0.014043681
796.7999878,-0.008561333,-0.012280836,-0.017128345
796,-0.007358758,-0.010538497,-0.01575337
795.2000122,-0.008728052,-0.01009198,-0.016049989
794.4000244,-0.0060486,-0.009211403,-0.01501111
793.5999756,-0.004844413,-0.00776141,-0.01458529
792.7999878,-0.00927881,-0.009497985,-0.016083315
792,-0.00589423,-0.010012254,-0.015981728
791.2000122,-0.007004487,-0.010952148,-0.014992805
790.4000244,-0.006061619,-0.00966232,-0.015172722
789.5999756,-0.008946187,-0.010968958,-0.0147947
788.7999878,-0.006050233,-0.006990223,-0.014353842
788,-0.008126293,-0.009457361,-0.015820816
787.2000122,-0.008527728,-0.011942446,-0.015785022
786.4000244,-0.008223182,-0.01198143,-0.017068965
785.5999756,-0.00669933,-0.008511635,-0.01488656
784.7999878,-0.007096737,-0.008009562,-0.014156948
784,-0.009921786,-0.013544354,-0.01676582
783.2000122,-0.008212666,-0.009164669,-0.015774587
782.4000244,-0.006501739,-0.010146859,-0.015802894
781.5999756,-0.006830735,-0.009141959,-0.014007089
780.7999878,-0.005066451,-0.00879807,-0.013725374
780,-0.006913747,-0.010139829,-0.015554612
779.2000122,-0.00942727,-0.011524546,-0.015733697
778.4000244,-0.009621154,-0.011823613,-0.018685881
777.5999756,-0.006523109,-0.008689486,-0.014530269
776.7999878,-0.006072544,-0.010574676,-0.014390405
776,-0.00822313,-0.011947836,-0.016040757
775.2000122,-0.005802951,-0.009017691,-0.015218765
774.4000244,-0.008339602,-0.010945685,-0.017382743
773.5999756,-0.007426401,-0.010098404,-0.013098959
772.7999878,-0.007918574,-0.009834084,-0.016017655
772,-0.006141869,-0.006411812,-0.014203398
771.2000122,-0.006721505,-0.009366727,-0.013005515
770.4000244,-0.007183568,-0.009046848,-0.014283411
769.5999756,-0.0064137,-0.006326663,-0.012568066
768.7999878,-0.009765447,-0.009506039,-0.012996872
768,-0.006448796,-0.009070221,-0.014541884
767.2000122,-0.005938765,-0.008635641,-0.013970894
766.4000244,-0.00849544,-0.009933881,-0.01518877
765.5999756,-0.006825638,-0.009016981,-0.014306405
764.7999878,-0.007861837,-0.010428478,-0.01555646
764,-0.008269052,-0.008929907,-0.014055009
763.2000122,-0.007744323,-0.010465626,-0.01495109
762.4000244,-0.00742859,-0.009189254,-0.01475762
761.5999756,-0.007140486,-0.009075901,-0.014053405
760.7999878,-0.007301387,-0.009618622,-0.015128475
760,-0.009153212,-0.009215053,-0.016144376
759.2000122,-0.008283122,-0.00973315,-0.015616346
758.4000244,-0.007239223,-0.00908751,-0.013852614
757.5999756,-0.006305233,-0.006534431,-0.011459203
756.7999878,-0.009891019,-0.009826845,-0.015551615
756,-0.008815674,-0.009668699,-0.015844626
755.2000122,-0.005476499,-0.007432661,-0.012723752
754.4000244,-0.00613901,-0.008526713,-0.013542347
753.5999756,-0.007330099,-0.00804275,-0.014659076
752.7999878,-0.006262726,-0.009479649,-0.013753012
752,-0.006631675,-0.010069925,-0.014583688
751.2000122,-0.006481491,-0.010975622,-0.014574877
750.4000244,-0.00897758,-0.009009122,-0.014796201
749.5999756,-0.005608121,-0.007958276,-0.012520988
748.7999878,-0.005496386,-0.007394337,-0.012987526
748,-0.007063068,-0.010072051,-0.014614525
747.2000122,-0.006395335,-0.007810228,-0.014425262
746.4000244,-0.0070648,-0.008557424,-0.013261233
745.5999756,-0.006231749,-0.008619349,-0.013714288
744.7999878,-0.006831805,-0.009179724,-0.013963875
744,-0.006234556,-0.008886896,-0.013499639
743.2000122,-0.006979932,-0.009394796,-0.014362106
742.4000244,-0.005762388,-0.00737978,-0.013344683
741.5999756,-0.00754273,-0.008698012,-0.013726678
740.7999878,-0.008565038,-0.009233705,-0.015051968
740,-0.009073467,-0.008484169,-0.013829396
739.2000122,-0.007582669,-0.009035844,-0.014348582
738.4000244,-0.005478493,-0.007434137,-0.012050875
737.5999756,-0.007719504,-0.010428226,-0.015013061
736.7999878,-0.00585342,-0.009030216,-0.013428317
736,-0.0082785,-0.009376404,-0.01382097
735.2000122,-0.008010934,-0.008923567,-0.013680477
734.4000244,-0.00692511,-0.009435477,-0.014725641
733.5999756,-0.005950714,-0.00922301,-0.013936853
732.7999878,-0.006560031,-0.009087308,-0.01343434
732,-0.006848164,-0.00817126,-0.014503281
731.2000122,-0.006894384,-0.009471697,-0.014130589
730.4000244,-0.005043935,-0.00782533,-0.013536776
729.5999756,-0.007001889,-0.008844185,-0.014068542
728.7999878,-0.006743578,-0.009924671,-0.013614954
728,-0.006534737,-0.007450779,-0.013320283
727.2000122,-0.007243908,-0.008342395,-0.013173249
726.4000244,-0.007450525,-0.009336629,-0.013221161
725.5999756,-0.006770185,-0.009214344,-0.014160255
724.7999878,-0.007483501,-0.009795515,-0.014380538
724,-0.006358653,-0.007827161,-0.013095493
723.2000122,-0.007464468,-0.008500771,-0.014875653
722.4000244,-0.00654769,-0.009411514,-0.013363007
721.5999756,-0.006330286,-0.007483857,-0.0116672
720.7999878,-0.006308141,-0.009155139,-0.01280263
720,-0.007874395,-0.009421798,-0.014091447
719.2000122,-0.007208672,-0.008441266,-0.01479535
718.4000244,-0.006132375,-0.008213174,-0.014267379
717.5999756,-0.00503892,-0.007824873,-0.012967929
716.7999878,-0.005583283,-0.007917507,-0.013419282
716,-0.005551593,-0.007089351,-0.012317523
715.2000122,-0.006030117,-0.008282158,-0.012713093
714.4000244,-0.00578124,-0.007271655,-0.013087003
713.5999756,-0.007493068,-0.008342293,-0.01448195
712.7999878,-0.006480675,-0.008100074,-0.013488849
712,-0.006960521,-0.00821038,-0.01411836
711.2000122,-0.005281267,-0.008154747,-0.013239038
710.4000244,-0.00655789,-0.007690869,-0.012742756
709.5999756,-0.007677593,-0.007518103,-0.013457831
708.7999878,-0.008054795,-0.007357332,-0.012961397
708,-0.007202206,-0.008348185,-0.013673655
707.2000122,-0.006655791,-0.007994568,-0.014089542
706.4000244,-0.005574593,-0.006669607,-0.012119352
705.5999756,-0.005471029,-0.007811754,-0.012807706
704.7999878,-0.005434116,-0.0066692,-0.012971346
704,-0.005926865,-0.007025934,-0.013212974
703.2000122,-0.005939071,-0.006652834,-0.013399554
702.4000244,-0.005697806,-0.007327655,-0.012433053
701.5999756,-0.006754486,-0.009054453,-0.012908431
700.7999878,-0.006866765,-0.007968798,-0.013034957
700,-0.004594291,-0.005884833,-0.013278106
699.2000122,-0.006443082,-0.006742201,-0.013407636
698.4000244,-0.005760396,-0.007817296,-0.013111567
