Wavelength (nm),DOMBlank1,DOMSTD6,DOM11409,DOM11502,DOM11558,DOM11605,DOM11608,DOM11613,DOM11614,DOMBlank2,DOM11621,DOM11786,DOM11827,DOM11831,DOM11870,DOM12743,DOM12781,DOMBlank3
879.2000122,-0.011152719,-0.003238705,-0.010730623,-0.011667503,-0.003357908,-0.014407483,-0.010406996,-0.013833709,-0.012719981,-0.018225377,-0.014531971,-0.017442577,-0.019278148,-0.024800919,-0.015251306,-0.013721813,-0.022447584,-0.021845203
878.4000244,0.001264453,0.006815022,0.000955907,-0.00218445,-0.000193843,-0.003644989,-0.005862512,-0.014267931,-0.010831881,-0.009868803,-0.008657059,-0.008897598,-0.015685761,-0.011347701,-0.008048442,-0.010697337,-0.005351741,-0.011044319
877.5999756,-0.000553607,0.000886593,0.005035844,-0.004015449,0.008279142,-0.010434492,-0.006489856,-0.009240952,-0.008297751,-0.004183204,-0.013500242,-0.007173129,-0.011050426,-0.006326867,-0.008576206,-0.005886876,-0.011386585,-0.010952046
876.7999878,0.005322854,0.003820413,0.000834692,-0.007804787,8.24E-05,-0.005968843,-0.009900432,-0.010435655,-0.014551998,-0.012832236,-0.008055506,-0.012079072,-0.009486234,-0.007638578,-0.008435071,-0.007873785,-0.013447391,-0.012925969
876,-0.007523242,0.000358772,-0.001226556,0.003163734,-0.002932021,-0.002830756,-0.018027997,-0.006814222,-0.01149364,-0.009233958,-0.009736845,-0.010634344,-0.0130545,-0.011262203,-0.009033208,-0.017989602,-0.005136039,-0.016860649
875.2000122,-0.001271365,0.002002983,0.004209252,-0.004630661,-0.00645002,-0.005401086,-0.004335312,-0.008478635,-0.007991366,-0.014017516,-0.011956398,-0.01277855,-0.017022321,-0.012776389,-0.008718157,-0.010745776,-0.010838597,-0.015287844
874.4000244,-0.003689703,-0.000146283,-0.002318979,-0.010751281,-0.006694538,-0.008221658,-0.013033952,-0.010610801,-0.017942661,-0.014829525,-0.015295891,-0.014500878,-0.015428918,-0.016367245,-0.014639604,-0.01790873,-0.020012563,-0.018274225
873.5999756,0.000995446,-0.003826846,0.001831717,-0.008459849,-0.000626971,-0.011757205,-0.014663881,-0.008059368,-0.009066571,-0.007642698,-0.018284896,-0.005979822,-0.011606515,-0.011712154,-0.013009634,-0.006617755,-0.012904662,-0.011255947
872.7999878,-0.004698014,0.002757541,-0.003181816,-0.002999432,-0.003327545,-0.012991395,-0.009461666,-0.011751007,-0.008755096,-0.007644276,-0.012826908,-0.010032693,-0.011744305,-0.011813637,-0.008039752,-0.010774564,-0.010373483,-0.010726128
872,-0.005207457,-0.005042656,-0.008420244,-0.00911286,-0.009701812,-0.018535146,-0.016565083,-0.015808336,-0.018253574,-0.010153788,-0.011508917,-0.015478481,-0.01931004,-0.020050827,-0.012540503,-0.019047255,-0.015792262,-0.015074772
871.2000122,0.001676241,-0.000406065,-0.0004477,-0.006346766,-0.002576795,-0.006074995,-0.009547369,-0.010732947,-0.006687808,-0.010638335,-0.012192903,-0.012648481,-0.01275256,-0.012438788,-0.010823953,-0.010506662,-0.011890313,-0.011052849
870.4000244,-0.003154679,-0.003023545,-0.00230765,-0.003541579,-0.010174776,-0.004720394,-0.006866205,-0.002491972,-0.012235689,-0.009384003,-0.008744238,-0.009142669,-0.009882112,-0.017926367,-0.013682885,-0.008448933,-0.013793889,-0.013474093
869.5999756,-0.001854286,-0.000512757,-0.004560685,-0.004218429,-0.004266775,-0.006825129,-0.013583845,-0.016757002,-0.015703788,-0.009998189,-0.013291011,-0.013247675,-0.010147365,-0.01372427,-0.015864044,-0.016152607,-0.010421705,-0.011754736
868.7999878,-0.001658965,-0.000991697,-0.00616147,-0.003859431,-9.15E-05,-0.011525655,-0.00688618,-0.0136137,-0.010024497,-0.008944412,-0.009030621,-0.010274899,-0.010547088,-0.01274894,-0.012401355,-0.013066959,-0.012224867,-0.015309435
868,-0.004797308,-0.004143771,-0.007527872,-0.009337642,-0.002293385,-0.014221286,-0.012470583,-0.012042364,-0.010734108,-0.01818998,-0.013082985,-0.012338509,-0.017300712,-0.011709332,-0.016522821,-0.012117288,-0.015474084,-0.016292801
867.2000122,-0.007401004,-0.00529523,-0.009925683,-0.01437603,-0.013176061,-0.013436098,-0.015802495,-0.011716539,-0.016366348,-0.018824121,-0.016829275,-0.014596955,-0.018810488,-0.016278291,-0.015860401,-0.021163393,-0.019264231,-0.015279497
866.4000244,-0.003455044,-0.003214244,-0.004471738,-0.010146303,-0.004203047,-0.013899098,-0.01229986,-0.008310804,-0.010014278,-0.012484065,-0.015413978,-0.010659602,-0.015644463,-0.015681017,-0.01736797,-0.017570572,-0.015200668,-0.016455483
865.5999756,0.000697203,0.002059445,-0.001512521,-0.005444955,-0.005606435,-0.005633879,-0.005294463,-0.005636128,-0.009785391,-0.010317875,-0.007675711,-0.01298431,-0.009235934,-0.00940888,-0.011605759,-0.012456095,-0.009107943,-0.009968237
864.7999878,-0.00442526,-0.004486547,-0.003472095,-0.005381042,-0.009217638,-0.014972598,-0.008348133,-0.009989437,-0.011418559,-0.01181797,-0.012811828,-0.017576838,-0.013480317,-0.013506264,-0.013965129,-0.013844691,-0.011682522,-0.016436093
864,-0.004113873,-0.004105822,-0.00758506,-0.006206078,-0.008671166,-0.009709811,-0.01346812,-0.012029675,-0.011593762,-0.012981396,-0.011029076,-0.017509712,-0.014373877,-0.014658025,-0.013279562,-0.016274052,-0.017181048,-0.016222734
863.2000122,-0.005242599,-0.005726777,-0.007401055,-0.006097917,-0.002620899,-0.011684588,-0.015384647,-0.015084673,-0.012121366,-0.014572324,-0.015388344,-0.013425556,-0.013751156,-0.017445561,-0.016479459,-0.017922094,-0.015534331,-0.018583413
862.4000244,-0.003729998,-0.004520159,-0.01017331,-0.010584983,-0.009383902,-0.016919112,-0.015227812,-0.012379066,-0.015263203,-0.014973698,-0.014685803,-0.016498249,-0.016625676,-0.016402792,-0.017425617,-0.021042814,-0.019753417,-0.014909672
861.5999756,-0.005573111,-0.007622045,-0.009030064,-0.009502797,-0.008459342,-0.01231858,-0.013842384,-0.010977186,-0.01145068,-0.016865978,-0.014811562,-0.015219765,-0.018665895,-0.015821615,-0.016796552,-0.015451152,-0.015415427,-0.018494464
860.7999878,-0.004636962,-0.005206075,-0.008728204,-0.012008977,-0.010063249,-0.013524883,-0.015760809,-0.014506736,-0.01635159,-0.015324779,-0.015616545,-0.015472585,-0.015217015,-0.017925074,-0.017972317,-0.013118801,-0.019329155,-0.01785537
860,-0.006944981,-0.004362427,-0.007093833,-0.010827134,-0.007085175,-0.009415465,-0.011282784,-0.013144016,-0.008765701,-0.014705673,-0.013843939,-0.012785387,-0.014281457,-0.018517634,-0.015905272,-0.013867457,-0.015326927,-0.015099525
859.2000122,-0.001992679,-0.00412972,-0.009380913,-0.007539168,-0.008127259,-0.008104901,-0.009697761,-0.013284683,-0.015765501,-0.011496061,-0.01440533,-0.015107575,-0.013227036,-0.009068092,-0.014778237,-0.014173886,-0.015747927,-0.017086286
858.4000244,-0.003681387,-0.001612804,-0.005724938,-0.009521335,-0.006492814,-0.01135219,-0.010110796,-0.01180477,-0.011316026,-0.011250246,-0.012693685,-0.015474384,-0.010362009,-0.017604182,-0.013720408,-0.014983802,-0.014374127,-0.01756759
857.5999756,-0.006037214,-0.006278903,-0.010009928,-0.008923415,-0.010795724,-0.011736344,-0.01269816,-0.012210773,-0.012143518,-0.013690209,-0.012756732,-0.017491512,-0.016979158,-0.01475687,-0.013641045,-0.016445514,-0.01506042,-0.019515501
856.7999878,-0.007954159,-0.007435053,-0.01260493,-0.013211116,-0.009355376,-0.014893713,-0.014470983,-0.015274948,-0.016786689,-0.014412492,-0.014720037,-0.015400337,-0.01518702,-0.019057561,-0.020209735,-0.015276099,-0.020543376,-0.019111615
856,-0.006950942,-0.00772754,-0.008218152,-0.010010282,-0.01152737,-0.013213979,-0.011488295,-0.016340919,-0.015487723,-0.014787444,-0.014362858,-0.017175026,-0.019680839,-0.016651437,-0.018916173,-0.016897351,-0.017341407,-0.020778757
855.2000122,-0.005060004,-0.006695863,-0.007095616,-0.008330561,-0.0093118,-0.011499438,-0.014084982,-0.011907137,-0.010287085,-0.014918376,-0.014807959,-0.014507286,-0.011065214,-0.015541474,-0.016589003,-0.015097074,-0.01618034,-0.016164029
854.4000244,-0.009758158,-0.007160296,-0.010645003,-0.012946724,-0.009687433,-0.01323954,-0.017302504,-0.015835293,-0.015649706,-0.016061962,-0.014642407,-0.015573543,-0.015803844,-0.019435011,-0.017678997,-0.019014699,-0.017615616,-0.02096463
853.5999756,-0.006331459,-0.007589588,-0.009898964,-0.009339365,-0.011713918,-0.015073822,-0.014072603,-0.01738896,-0.016462412,-0.016887391,-0.016109157,-0.015978284,-0.017264245,-0.015098474,-0.016139837,-0.017940525,-0.020536808,-0.020302335
852.7999878,-0.010221806,-0.006535859,-0.01002303,-0.010047668,-0.010208305,-0.014698016,-0.014665182,-0.017127398,-0.014024584,-0.016180888,-0.015749974,-0.017438648,-0.018203087,-0.020364881,-0.016832113,-0.01690731,-0.017883541,-0.019839585
852,-0.006386918,-0.003860611,-0.010429286,-0.008498385,-0.011414221,-0.012939588,-0.014141062,-0.014251949,-0.016017007,-0.013776184,-0.01410944,-0.014721488,-0.016206225,-0.017859247,-0.015648758,-0.01751389,-0.017445063,-0.0172629
851.2000122,-0.006793428,-0.007808805,-0.01410533,-0.010945989,-0.011938619,-0.014720737,-0.01402318,-0.015868686,-0.017044125,-0.0178106,-0.017910171,-0.018135414,-0.019584939,-0.018070808,-0.018923609,-0.020240966,-0.020262312,-0.021178432
850.4000244,-0.007582771,-0.009385625,-0.011979112,-0.012314202,-0.013901505,-0.012776489,-0.015225463,-0.015251706,-0.018725554,-0.018657118,-0.017810203,-0.018778756,-0.019284932,-0.019656939,-0.019975234,-0.019104036,-0.018735074,-0.019357132
849.5999756,-0.005072438,-0.004925553,-0.009153567,-0.009246021,-0.010436413,-0.00923335,-0.013632114,-0.013437252,-0.012121215,-0.015121874,-0.014224594,-0.017589765,-0.014482701,-0.014009996,-0.01506052,-0.015799699,-0.018486725,-0.017248273
848.7999878,-0.006340388,-0.006108127,-0.005873647,-0.011720822,-0.009984934,-0.014371422,-0.01013118,-0.010944171,-0.012077562,-0.014521557,-0.013463503,-0.014185159,-0.014048042,-0.015388594,-0.013575465,-0.01916185,-0.016859753,-0.016998326
848,-0.004385951,-0.005795544,-0.007263968,-0.010412961,-0.012094178,-0.013769514,-0.014286567,-0.014744909,-0.014421606,-0.013955854,-0.014298089,-0.014095607,-0.01784608,-0.017546458,-0.0158893,-0.019750796,-0.016884305,-0.017155617
847.2000122,-0.007407875,-0.007089453,-0.010277276,-0.01232014,-0.013112974,-0.014492115,-0.016271459,-0.017170448,-0.015703389,-0.017980414,-0.017195627,-0.015988914,-0.018387435,-0.017909525,-0.01802318,-0.019775184,-0.018748164,-0.02057009
846.4000244,-0.00533645,-0.003707618,-0.009746717,-0.009187175,-0.008895721,-0.012777797,-0.011856712,-0.012493673,-0.013923366,-0.016614815,-0.018302964,-0.01636889,-0.015922291,-0.016922049,-0.015290543,-0.017969336,-0.018925194,-0.017969286
845.5999756,-0.008267325,-0.004467742,-0.009926088,-0.011980725,-0.012959639,-0.014541083,-0.012907728,-0.016571311,-0.015245058,-0.016736479,-0.014954291,-0.016991157,-0.016349696,-0.018103583,-0.017251756,-0.017840762,-0.017493153,-0.018502105
844.7999878,-0.00939515,-0.009881808,-0.01216572,-0.01523626,-0.012636814,-0.018386543,-0.017616859,-0.014589696,-0.017589714,-0.018507265,-0.020196442,-0.018534303,-0.020224214,-0.019195929,-0.020379551,-0.020967245,-0.021170888,-0.022930352
844,-0.007843381,-0.007588876,-0.010284506,-0.010048427,-0.010300988,-0.013674457,-0.015087423,-0.01505797,-0.013885008,-0.015115525,-0.013637331,-0.016799789,-0.015684813,-0.016588405,-0.019139457,-0.01761651,-0.016177198,-0.018520312
843.2000122,-0.010936447,-0.009668599,-0.015833596,-0.012887072,-0.014207107,-0.016055826,-0.015437212,-0.014779688,-0.018967323,-0.019455111,-0.019925933,-0.019790765,-0.019445507,-0.019341286,-0.019540397,-0.016307462,-0.021302177,-0.021548083
842.4000244,-0.007360794,-0.00809677,-0.011659741,-0.011356326,-0.012363216,-0.013321538,-0.013376161,-0.015303238,-0.015869934,-0.016389878,-0.015015661,-0.016838389,-0.01626722,-0.019455953,-0.018018907,-0.020784926,-0.018732892,-0.019874651
841.5999756,-0.005461929,-0.005068549,-0.009613457,-0.009377974,-0.013102124,-0.011705805,-0.011507052,-0.014220485,-0.01196491,-0.015850069,-0.01573804,-0.012054249,-0.017567987,-0.015747977,-0.018541893,-0.018431552,-0.017085491,-0.018881725
840.7999878,-0.008316442,-0.007122711,-0.011569465,-0.013799255,-0.014384896,-0.015117825,-0.016488181,-0.017905898,-0.016326161,-0.017010871,-0.016642667,-0.017931484,-0.019627944,-0.020327531,-0.018685931,-0.021629365,-0.018230144,-0.021869326
840,-0.006257164,-0.004413319,-0.011217201,-0.008660205,-0.011248733,-0.013968838,-0.014133546,-0.016632304,-0.015089774,-0.019622104,-0.01607633,-0.016523967,-0.016812937,-0.01519032,-0.016572608,-0.017653795,-0.019176215,-0.01879839
839.2000122,-0.005221626,-0.005395513,-0.009603025,-0.008150226,-0.010684961,-0.012351592,-0.012592559,-0.013945577,-0.014368968,-0.014787895,-0.014676044,-0.015432316,-0.016666036,-0.016730253,-0.016744001,-0.019606614,-0.01611644,-0.019639028
838.4000244,-0.008462032,-0.009895675,-0.012654565,-0.012055659,-0.01399596,-0.014494768,-0.013504357,-0.015536879,-0.015785022,-0.016818218,-0.017113762,-0.016490573,-0.017132277,-0.01937669,-0.016680634,-0.01968262,-0.018451994,-0.020508513
837.5999756,-0.010307156,-0.007144662,-0.014433576,-0.014838231,-0.013221763,-0.014676544,-0.016364751,-0.01519267,-0.01797932,-0.02038217,-0.016877681,-0.017700171,-0.018625276,-0.018767403,-0.020405633,-0.021041531,-0.01948788,-0.022084601
836.7999878,-0.007552295,-0.008038786,-0.011946627,-0.011927487,-0.015880667,-0.014694662,-0.015594121,-0.014304452,-0.017100871,-0.018650917,-0.014785192,-0.015691703,-0.018384805,-0.019302364,-0.02087,-0.019257346,-0.01869957,-0.020872911
836,-0.008697961,-0.006051459,-0.012726367,-0.010678951,-0.012718573,-0.014179798,-0.01429333,-0.015957875,-0.01633683,-0.017250462,-0.017872512,-0.01598582,-0.017632321,-0.015973395,-0.01957128,-0.019896066,-0.019030407,-0.019012518
835.2000122,-0.009962671,-0.009489222,-0.013636128,-0.011564272,-0.013755369,-0.015931075,-0.018130299,-0.015266452,-0.018466135,-0.017548099,-0.018776674,-0.016537573,-0.019420555,-0.016596427,-0.019452486,-0.021033393,-0.021144113,-0.020430626
834.4000244,-0.005821852,-0.004905589,-0.010360239,-0.01115837,-0.011889305,-0.013837972,-0.012701328,-0.014271188,-0.016270062,-0.013863446,-0.014966996,-0.017096739,-0.016166573,-0.0152726,-0.016368492,-0.018637726,-0.01589,-0.019009644
833.5999756,-0.008309687,-0.010180593,-0.012115979,-0.012576717,-0.013721962,-0.015138024,-0.015923889,-0.015495267,-0.017789979,-0.018494664,-0.018415771,-0.016761087,-0.01870428,-0.018935354,-0.0189416,-0.020556264,-0.018922865,-0.020682557
832.7999878,-0.006723493,-0.005303873,-0.010775321,-0.00925195,-0.00905643,-0.011922098,-0.012613731,-0.013697082,-0.014473838,-0.016013315,-0.015379899,-0.015075022,-0.017378863,-0.015985271,-0.017732875,-0.017000766,-0.01563862,-0.019086398
832,-0.006462567,-0.005932789,-0.008482595,-0.010697489,-0.014506435,-0.012798608,-0.011555905,-0.014603312,-0.014112196,-0.014377032,-0.015023413,-0.01490752,-0.016869364,-0.016681232,-0.017188961,-0.01655367,-0.018072844,-0.021278121
831.2000122,-0.008143671,-0.005737405,-0.008827444,-0.008175832,-0.011584689,-0.012445278,-0.012985919,-0.012655219,-0.015116924,-0.014794299,-0.015141875,-0.016434198,-0.015808336,-0.016879026,-0.01602499,-0.016533686,-0.014780588,-0.018953545
830.4000244,-0.010106851,-0.00823009,-0.011229613,-0.010590895,-0.012777143,-0.014519654,-0.014317075,-0.014803656,-0.016508417,-0.01524011,-0.014835979,-0.016687607,-0.018705718,-0.01660729,-0.018659994,-0.018882072,-0.019755,-0.019596273
829.5999756,-0.005565956,-0.006812438,-0.00911651,-0.008556765,-0.009323303,-0.010527583,-0.009999505,-0.011538108,-0.013224726,-0.013396492,-0.011263059,-0.01317581,-0.017426213,-0.016256498,-0.012922452,-0.016317435,-0.014863847,-0.017013609
828.7999878,-0.006934893,-0.008426592,-0.010458298,-0.01032465,-0.012000315,-0.012730037,-0.012647676,-0.016471084,-0.015809933,-0.014861396,-0.016544051,-0.015794957,-0.016113548,-0.018147677,-0.01878312,-0.017294643,-0.01771215,-0.018855602
828,-0.005760293,-0.007349595,-0.013177015,-0.010259175,-0.01255509,-0.011254383,-0.012737377,-0.015622789,-0.017636446,-0.014759672,-0.016303573,-0.016686412,-0.017936651,-0.016358919,-0.017402191,-0.018185362,-0.017520603,-0.019011429
827.2000122,-0.005346678,-0.007172976,-0.012708166,-0.01012243,-0.009997987,-0.013365116,-0.013197908,-0.014461519,-0.014417349,-0.015344219,-0.013844039,-0.01591181,-0.017083848,-0.017691175,-0.016635343,-0.01867527,-0.014774634,-0.019361686
826.4000244,-0.007233622,-0.00667231,-0.011173155,-0.010531574,-0.014335609,-0.013288751,-0.01221339,-0.013534669,-0.013967836,-0.012838469,-0.015599915,-0.016366946,-0.017016249,-0.017198315,-0.015750274,-0.019213166,-0.016307162,-0.0183922
825.5999756,-0.009426205,-0.007491338,-0.014190371,-0.010257102,-0.01137534,-0.012800368,-0.014094856,-0.015656199,-0.015437162,-0.015906621,-0.016134799,-0.016321922,-0.017956421,-0.016181288,-0.017060203,-0.018004503,-0.017310265,-0.019466596
824.7999878,-0.008401964,-0.007224508,-0.014108037,-0.012009783,-0.013403921,-0.013280416,-0.015383198,-0.015367307,-0.015889002,-0.016612671,-0.016968105,-0.016992452,-0.01827224,-0.017966704,-0.018164957,-0.021320416,-0.01690756,-0.020860625
824,-0.008078883,-0.005738171,-0.010911356,-0.010541832,-0.013625893,-0.014386398,-0.013224876,-0.012097501,-0.015535081,-0.014529417,-0.01434142,-0.015894542,-0.016699316,-0.016806962,-0.017089074,-0.02143722,-0.015826657,-0.020949632
823.2000122,-0.006385183,-0.006475574,-0.011287627,-0.011040382,-0.011651476,-0.0144824,-0.015070521,-0.01465477,-0.014802406,-0.016101176,-0.014724441,-0.016436491,-0.017684067,-0.016915377,-0.017180948,-0.018707255,-0.017184779,-0.02096384
822.4000244,-0.007243398,-0.006640037,-0.012599499,-0.009180079,-0.011834294,-0.011762496,-0.01199538,-0.013632616,-0.013652935,-0.013664524,-0.01454579,-0.016286768,-0.01619276,-0.016566427,-0.016005829,-0.018413985,-0.016192261,-0.018292889
821.5999756,-0.00871699,-0.008181624,-0.013193991,-0.009837778,-0.013204989,-0.013540992,-0.015167173,-0.016410369,-0.013499288,-0.014840882,-0.017449539,-0.017976688,-0.014732949,-0.018000878,-0.016836645,-0.019759651,-0.015842929,-0.018725157
820.7999878,-0.006296456,-0.006161776,-0.010401992,-0.009771369,-0.012519277,-0.011876611,-0.013257368,-0.012434511,-0.01192925,-0.013114431,-0.011156554,-0.012659895,-0.016676199,-0.01587867,-0.013581738,-0.018294625,-0.014052153,-0.016688854
820,-0.006752753,-0.006708965,-0.010256596,-0.010724664,-0.012388526,-0.01444855,-0.013360598,-0.016124222,-0.013706513,-0.014980401,-0.016243631,-0.016456231,-0.016891375,-0.017803147,-0.016479509,-0.019643037,-0.016872501,-0.018618977
819.2000122,-0.008998067,-0.006927505,-0.010809662,-0.010906963,-0.012559968,-0.011795197,-0.015310835,-0.015853412,-0.014892112,-0.013846597,-0.01563902,-0.014866699,-0.017298574,-0.017715182,-0.01798394,-0.018128362,-0.017376427,-0.020092895
818.4000244,-0.008098549,-0.007634051,-0.011199139,-0.01077017,-0.011277083,-0.013623334,-0.01337094,-0.014744558,-0.013959013,-0.014383242,-0.015785271,-0.014414244,-0.017396869,-0.015570895,-0.017891143,-0.017316334,-0.016841874,-0.018299937
817.5999756,-0.008083762,-0.006499087,-0.012459968,-0.011236019,-0.012801021,-0.013459438,-0.01445551,-0.013583194,-0.017158305,-0.014660628,-0.015898883,-0.017517768,-0.01593871,-0.015974542,-0.016729604,-0.017900582,-0.016079724,-0.017620737
816.7999878,-0.005967566,-0.0051806,-0.011544208,-0.009873256,-0.010851524,-0.012265183,-0.012863399,-0.01260659,-0.012993003,-0.012900993,-0.01461788,-0.014965596,-0.017681183,-0.015778583,-0.015177072,-0.01687305,-0.01470267,-0.016635891
816,-0.008930465,-0.004807036,-0.011071976,-0.010253562,-0.012612524,-0.012643754,-0.014389553,-0.015999692,-0.013476653,-0.016141633,-0.015121525,-0.015955878,-0.018338948,-0.015666237,-0.015969951,-0.017323399,-0.015180971,-0.017873108
815.2000122,-0.007959496,-0.006622446,-0.011506648,-0.01055401,-0.012428827,-0.014256308,-0.015776036,-0.015624836,-0.017264096,-0.016551776,-0.015589326,-0.017067222,-0.017637838,-0.016562691,-0.016406581,-0.019991402,-0.017871667,-0.019258635
