wavelength (nm),DOMBlank1,DOMSTD23,DOM12446,DOM12471,DOM12478,DOM12479,DOM12523,DOM12528,DOM12529,DOMBlank2,DOM12628,DOM13290,DOM13292,DOM13294,DOM13314,DOM13317,DOM13398,DOM12274,DOM12703,DOMBlank3,DOM12705,DOM12722,DOM12723,DOM13001,DOM13008,DOM13049,DOM13053,DOM13064,DOM13068,DOMBlank4,DOM13072,DOM13450,DOM13457,DOM13618,DOM13619,DOMBlank5
223.1999969,0.000803207,0.468207657,0.151706442,0.096040428,0.167895809,0.523349583,0.829973698,0.415788472,0.347138077,0.017458729,0.366537511,0.076114282,0.087201148,0.049075581,0.132268891,0.058139596,0.261075944,1.048287511,1.196521044,0.023625655,0.7007249,0.813640416,1.414657354,0.908860028,1.121072292,0.981976926,1.680221319,0.953547299,0.701119602,0.022535337,0.67866981,0.806112409,1.502238512,0.424034804,0.241944045,0.022448972
222.3999939,0.000525829,0.468330205,0.152555361,0.096501656,0.169655323,0.528803766,0.839401305,0.42062369,0.352330327,0.016470172,0.368577451,0.07451427,0.087953113,0.049043644,0.131913424,0.05589864,0.27105093,1.057091951,1.202746749,0.022428446,0.710386574,0.819604933,1.434240818,0.920677841,1.129179955,0.989770711,1.695200801,0.962098479,0.704047084,0.02198121,0.684006155,0.817261815,1.51181519,0.428692937,0.245202839,0.021391185
221.5999908,0.000462466,0.473502755,0.154977262,0.096684143,0.17260693,0.540115416,0.845054686,0.424272776,0.359855831,0.016317213,0.372687727,0.074367523,0.091922536,0.051714174,0.133490682,0.05665309,0.282889307,1.070012927,1.212700605,0.022567565,0.71991396,0.830143988,1.440132141,0.925352037,1.140119433,1.002848268,1.710645676,0.969696939,0.710709691,0.022797674,0.69198215,0.824447393,1.522706747,0.435995758,0.249493465,0.021231864
220.7999878,-0.000693294,0.479989439,0.156507716,0.099965274,0.175701156,0.549613833,0.857400656,0.434670538,0.365880698,0.017894803,0.376912117,0.076739855,0.094823308,0.055740919,0.13643539,0.057853132,0.295973271,1.07875824,1.22353375,0.022086656,0.727856517,0.832942426,1.452902794,0.932773888,1.150934935,1.010498285,1.727283835,0.979251683,0.719922662,0.022823675,0.69789505,0.834579349,1.540850997,0.438992441,0.252825856,0.022242423
219.9999847,0.00103709,0.48224473,0.157900497,0.100977004,0.179101229,0.557545006,0.863711536,0.437644154,0.372416228,0.016497515,0.379776239,0.078129023,0.096200019,0.057469632,0.137766913,0.058755707,0.308065087,1.083504796,1.234337449,0.021739421,0.738756657,0.84171772,1.469396234,0.939532876,1.167317033,1.020851851,1.753572106,0.988739669,0.725801647,0.022344036,0.703937411,0.839378536,1.552620769,0.443084985,0.25886038,0.022849893
219.1999969,0.000494496,0.487414599,0.15970315,0.101863831,0.183200926,0.567464292,0.874904275,0.444753975,0.377749175,0.015641058,0.384177417,0.07931786,0.099162936,0.059294052,0.14068985,0.059743088,0.320387095,1.096639633,1.24314189,0.021630114,0.746613026,0.849063933,1.476403832,0.952052593,1.175835609,1.030434608,1.762433887,0.996101022,0.73581326,0.021173779,0.709378004,0.853437364,1.568150997,0.448750913,0.26139006,0.022059666
218.3999939,0.001034132,0.493858188,0.16111587,0.10217984,0.185105532,0.576986313,0.888408482,0.449082792,0.386951268,0.015445848,0.386851013,0.080077417,0.100924455,0.062350579,0.142188206,0.060002774,0.336361855,1.110762,1.25671339,0.021798236,0.760122538,0.859585881,1.492842913,0.958884478,1.187268019,1.040073395,1.778413653,1.004805565,0.742663384,0.020459089,0.716693521,0.858309627,1.58412981,0.452413738,0.26580146,0.021220637
217.5999908,-0.001074645,0.495643556,0.162900567,0.104519621,0.190026194,0.588133395,0.89441067,0.455018193,0.390932679,0.015283678,0.392175734,0.080424443,0.103870437,0.064654209,0.144275531,0.060917784,0.348641515,1.116960049,1.258704305,0.020989759,0.7686885,0.867140293,1.504036546,0.968614042,1.197731018,1.047513127,1.784220576,1.016823292,0.747009099,0.019108882,0.725129664,0.866743624,1.60211122,0.458531022,0.270373315,0.020788981
216.7999878,0.002079524,0.505314946,0.169320464,0.107774511,0.193030059,0.598069847,0.910126269,0.464964837,0.403633922,0.018117618,0.396863937,0.083644092,0.108307198,0.069399014,0.146853045,0.063128665,0.367796838,1.133153081,1.279458404,0.022678472,0.779807746,0.874642313,1.520952344,0.980388403,1.20966053,1.059463263,1.807441473,1.026571512,0.759751141,0.024233887,0.735759676,0.881705582,1.6292485,0.468513161,0.277762592,0.024321567
215.9999847,0.000203796,0.509792984,0.171005502,0.110150412,0.196918324,0.608958781,0.916227818,0.471302241,0.411291957,0.017520687,0.401584208,0.084059529,0.111663245,0.07191065,0.149320915,0.063661009,0.381396979,1.140344977,1.289448142,0.023316436,0.79186815,0.88514775,1.53815496,0.986400724,1.224001169,1.070480108,1.829554796,1.039402962,0.766356349,0.022306375,0.740688026,0.890512288,1.637138963,0.472708255,0.281822711,0.025172677
215.1999969,-5.61E-05,0.512965381,0.172707439,0.111670539,0.200937957,0.621924818,0.927474558,0.480372638,0.418550819,0.018509779,0.405482739,0.085264295,0.113463566,0.075684458,0.150647551,0.065076254,0.396474034,1.154581785,1.296298623,0.0226791,0.799511433,0.893803597,1.550073385,0.995285749,1.235744596,1.080249429,1.845782757,1.04709959,0.773601472,0.020595407,0.749649346,0.901737213,1.658397436,0.480458736,0.286702603,0.023235403
214.3999939,0.000780542,0.520158291,0.175560117,0.113498732,0.205792487,0.633884132,0.937636375,0.485193074,0.428080976,0.017756119,0.409697205,0.088035658,0.115923211,0.077659935,0.154657751,0.066251315,0.412086576,1.167320132,1.30526042,0.022777814,0.80874908,0.904980123,1.565261006,1.004849315,1.246144652,1.088454723,1.870217204,1.060784221,0.780025721,0.023868386,0.75666678,0.914461494,1.660874844,0.485558122,0.292992026,0.024875293
