wavelength (nm),DOMBlank1,DOMSTD35,DOM12151,DOM12716,DOM13263,DOM13295,DOM13332,DOM13343,DOMBlank2,DOM13549,DOM13550,DOM13554,DOM13555,DOM13556,DOM13557,DOM13692,DOMBlank3
900,-0.005888714,-0.029669371,-0.005706799,-0.022079485,0.011729722,-0.008005496,-0.018946705,0.01246971,-0.004634503,0.001668003,0.005330741,0.000818483,0.000800406,-7.64E-05,-0.00425606,0.003206447,-0.001305742
899.2000122,-0.047463018,-0.050054766,-0.050653569,-0.039872836,-0.03862042,-0.057938509,-0.042352568,-0.044256527,-0.060681399,-0.070126399,-0.07265459,-0.043047652,-0.048369061,-0.062616035,-0.07400772,-0.045052752,-0.053981449
898.4000244,-0.012579181,-0.003379484,-0.010769866,-0.020779299,-0.053498782,-0.053879116,-0.029293843,-0.036432162,-0.000356252,-0.034624752,-0.026895065,-0.025570434,-0.02780688,-0.0227038,-0.036849607,-0.036404546,-0.030598642
897.5999756,0.000120853,-0.033520594,-0.017321756,-0.000155754,-0.038405418,-0.01930063,-0.025499064,-0.043172773,-0.026946254,-0.032767642,-0.033621036,-0.058210351,-0.016855769,-0.027454183,-0.039600518,-0.013480116,-0.037002105
896.7999878,-0.02008212,0.016705304,-0.017426513,-0.019872574,0.004593364,-0.015158474,-0.01568017,-0.00730602,-0.019802587,-0.020299172,0.004268955,-0.008876598,-0.013655744,-0.015095374,-0.026860414,-0.004697194,0.000302013
896,-0.008749972,-0.010740876,-0.012870989,0.007111051,0.001973779,-0.017210606,0.004639933,-0.0389423,-0.018276459,-0.005242599,-0.01742696,-0.012598141,-0.027355561,-0.030199578,-0.029417329,-0.027314434,-0.023572668
895.2000122,-0.000953937,-0.015446455,-0.007195841,-0.00913405,-0.014098514,-0.007273794,-0.019135941,-0.015956877,-0.005321773,-0.004887672,-0.012753967,-0.028834185,-0.028064225,-0.029291375,-0.013514093,-0.021553896,-0.00896622
894.4000244,-0.010429488,-0.02110175,-0.004386362,-0.022685915,0.002145205,-0.023474682,-0.037076078,-0.021378281,-0.023102887,-0.031397842,-0.02854724,-0.014645311,-0.037770446,-0.024818424,-0.037114486,-0.049339995,-0.031692293
893.5999756,-0.01851937,-0.018329419,-0.025644865,-0.022113485,-0.044738829,-0.03949568,-0.016966363,-0.03959116,-0.035618622,-0.034699515,-0.025430126,-0.034503646,-0.03607592,-0.036061008,-0.00928403,-0.027905496,-0.034646694
892.7999878,-0.001577367,0.002753998,0.01008493,-0.008754387,0.002239022,-0.019681234,-0.004504481,0.003699493,-0.005391575,0.009878008,-0.024088964,-0.012690919,-0.004709537,-0.015690206,-0.03136244,-0.01735056,-0.002014478
892,0.030377641,0.027420945,0.015538478,0.026849318,0.009929252,0.005610603,0.001075495,-0.003184848,-0.009312408,0.006183078,0.017399045,-0.013785713,-0.011336605,0.004255937,0.011274925,0.005099616,-0.000493158
891.2000122,0.008102773,0.003326786,0.004424892,-0.013325655,-0.024075249,0.000621889,-0.014789046,-0.015915254,0.005645244,-0.025542073,-0.008678931,-0.001207092,0.006983371,-0.027510069,-0.017312404,-0.013935449,-0.011418559
890.4000244,-0.013910881,-0.02120555,-0.00914064,-0.016008025,-0.022337493,-0.0280865,-0.017591305,-0.02265132,-0.025060197,-0.028202519,-0.026654748,-0.02420488,-0.019307563,-0.040695991,-0.013299948,-0.018169723,-0.020410029
889.5999756,-0.001286954,-0.001217882,0.001130097,-0.002158384,-0.007666148,-0.010808349,-0.00705176,0.00429047,-0.017875344,-0.018236995,-0.014686454,-0.00765155,-0.00685112,-0.022094836,-0.007013861,-0.011838777,-0.013606425
888.7999878,-0.003288754,-0.009000349,-0.018647645,-0.022384206,-0.007101728,-0.004018731,-0.013187462,-0.021144409,-0.021986624,-0.019614039,-0.019363469,-0.013011192,-0.02088283,-0.007141148,-0.01729325,0.000188465,-0.01832664
888,-0.009677358,-0.024235629,-0.008744238,-0.00528183,-0.02819136,-0.022153238,-0.019114539,-0.018528895,-0.035992868,-0.034299176,-0.021565376,-0.025406785,-0.037612516,-0.035773221,-0.029609408,-0.023377949,-0.033470459
887.2000122,-0.006947019,-0.0034195,-0.010277428,-0.003029457,-0.003055214,-0.007812262,-0.016735233,-0.015268251,-0.031675834,-0.031406511,-0.032492079,-0.031900689,-0.030286932,-0.008735004,-0.01768869,-0.018585248,-0.016540613
886.4000244,-0.006653701,-0.014124725,-0.015641766,-0.014675844,-0.024782289,-0.003527047,-0.009007144,-0.01266427,-0.026831213,-0.022524863,-0.018206364,-0.032250658,-0.024488933,-0.02012453,-0.035508096,-0.01786183,-0.023835229
