wavelength (nm),DOMBlank1,DOMSTD24,DOM12226,DOM12229,DOM12430,DOM12454,DOM12480,DOM12832,DOM13036,DOMBlank2,DOM13039,DOM13121,DOM13155,DOM13242,DOM13297,DOM13329,DOM13368,DOM12855,DOM12857,DOMBlank3,DOM12868,DOM12912,DOM12913,DOM12930,DOM12939,DOM12942,DOM12963,DOM12965,DOM13092,DOMBlank4,DOM13093,DOM13095,DOM13096,DOM13097,DOM13110,DOM13139,DOM13142,DOM13210,DOM13665,DOMBlank5
892,-0.021636998,-0.01696462,-0.02667773,-0.012936171,-0.032006603,-0.034311425,-0.035883009,-0.039465427,-0.042632274,-0.024779061,-0.02342573,-0.026322166,-0.025375728,-0.04287681,-0.032239363,-0.039770573,-0.042105246,-0.047934588,-0.044002239,-0.039609071,-0.048040513,-0.052917369,-0.038071614,-0.032493711,-0.041581009,-0.044623081,-0.046827175,-0.043661475,-0.037923429,-0.031796429,-0.027234405,-0.030554395,-0.056208637,-0.039234757,-0.042510424,-0.044813875,-0.053192783,-0.037184589,-0.028454589,-0.04227329
891.2000122,-0.017712647,-0.015024713,-0.033068176,-0.023781808,-0.041503143,-0.02300062,-0.03774529,-0.033138935,-0.033704162,-0.046427634,-0.033894595,-0.047768071,-0.047401473,-0.027260661,-0.033621658,-0.040494937,-0.03492276,-0.026059691,-0.026800258,-0.03596985,-0.037580851,-0.057560898,-0.047751192,-0.024593491,-0.053464223,-0.039342873,-0.026035458,-0.036478955,-0.033065822,-0.039575845,-0.05217135,-0.053052049,-0.053722732,-0.04510054,-0.038194668,-0.037839208,-0.048531089,-0.041651007,-0.044284906,-0.059715845
890.4000244,-0.007976931,-0.023902902,-0.029361203,-0.032639537,-0.039074145,-0.032056138,-0.034891993,-0.034224588,-0.03944505,-0.030025829,-0.033410016,-0.04211032,-0.034369402,-0.038536195,-0.054157119,-0.035790671,-0.051774446,-0.041069802,-0.039093595,-0.041800607,-0.039196964,-0.042448312,-0.019955108,-0.039014805,-0.050075714,-0.041261364,-0.052446868,-0.029710613,-0.047319397,-0.04622642,-0.057134081,-0.046143517,-0.037323762,-0.040710133,-0.044929434,-0.050630257,-0.046941962,-0.047718674,-0.038815431,-0.04741554
889.5999756,-0.001762257,-0.006670627,-0.018955626,-0.013229597,-0.017615069,-0.022987412,-0.016900091,-0.011818424,-0.030678874,-0.026918812,-0.013134171,-0.042529859,-0.01603901,-0.021350039,-0.031398129,-0.02042865,-0.034223728,-0.02249817,-0.027677396,-0.023859782,-0.032481078,-0.018623441,-0.04149599,-0.035807595,-0.023932792,-0.029068602,-0.02843878,-0.034554571,-0.032208212,-0.028181657,-0.037313882,-0.041417684,-0.026263494,-0.037411314,-0.028936541,-0.041230947,-0.021281719,-0.030908054,-0.030745827,-0.02951674
888.7999878,0.012711694,-0.016635941,-0.016084164,-0.013799907,-0.009068092,-0.03639755,-0.020773919,-0.012553531,-0.020956144,-0.014174687,-0.021488518,-0.023087669,-0.013524431,-0.026969414,-0.039481074,-0.014425112,-0.038978837,-0.025481001,-0.019200487,-0.034772255,-0.040264674,-0.01423767,-0.02703052,-0.025092449,-0.039260726,-0.03671499,-0.01675212,-0.020562781,-0.024555575,-0.033217546,-0.031189831,-0.045841981,-0.026979096,-0.030630775,-0.035218511,-0.034182813,-0.021605819,-0.03708316,-0.027253807,-0.024967972
888,-0.037386563,-0.034542188,-0.025141167,-0.028850559,-0.027697409,-0.035089642,-0.023676367,-0.03153763,-0.040729035,-0.027428424,-0.028883258,-0.033295091,-0.043467503,-0.041521307,-0.038188174,-0.039235659,-0.025286207,-0.043069359,-0.043017596,-0.031279732,-0.02823454,-0.048943639,-0.055917013,-0.058125809,-0.029869797,-0.033880517,-0.041037913,-0.040591232,-0.052403875,-0.052946791,-0.034970816,-0.038111452,-0.040372014,-0.03587443,-0.030757982,-0.041576117,-0.052279089,-0.045645297,-0.034662854,-0.054723229
887.2000122,-0.004030375,-0.009018046,-0.009145913,-0.00953653,-0.006157743,-0.017366776,-0.019969745,-0.018942988,-0.016084114,-0.01887409,-0.019171758,-0.029266691,-0.021401148,-0.019413179,-0.018769385,-0.019954169,-0.021669358,-0.031266004,-0.035879675,-0.024202628,-0.023712058,-0.017346282,-0.020122552,-0.016139239,-0.028078105,-0.033233996,-0.032603804,-0.039305042,-0.023456141,-0.013416471,-0.018052284,-0.013504608,-0.020463619,-0.018548639,-0.027801538,-0.024027981,-0.025915297,-0.019376986,-0.012683679,-0.026245121
886.4000244,0.004088145,0.00143952,-0.00327673,-0.016474374,-0.010287489,0.002929042,-0.014150083,-0.00513875,-0.010778957,-0.015861498,-0.016055226,-0.011717699,-0.010789058,-0.005806476,-0.004370729,-0.00683787,-0.023673672,-0.021519607,-0.013183645,-0.022441389,-0.018197972,-0.022628272,-0.008457412,-0.022175031,-0.024945144,-0.020993192,-0.014407434,-0.013335696,-0.014955842,-0.020273134,-0.004939578,-0.007957818,-0.020603813,-0.03140622,-0.015133325,-0.015141674,-0.022463907,-0.023208024,-0.021438945,-0.003779117
885.5999756,0.011017995,0.001097475,-0.001383625,-0.004686183,-0.023734901,-0.000438028,-0.022774253,-0.020872023,-0.018183228,-0.019891515,-0.017490618,-0.012616095,-0.025529625,-0.025320103,-0.034716576,-0.034560546,-0.031126704,-0.027404608,-0.036725696,-0.02700459,-0.026556335,-0.022968065,-0.018629938,-0.041043423,-0.029089324,-0.04623317,-0.019112805,-0.021246323,-0.021125669,-0.032468058,-0.021913679,-0.03540685,-0.030654173,-0.03131726,-0.028167684,-0.017312204,-0.018178809,-0.02357718,-0.030028293,-0.029890915
884.7999878,-0.006422678,-0.018833591,-0.015132025,-0.027026629,-0.032900177,-0.022620212,-0.031059086,-0.028592419,-0.036597464,-0.031253573,-0.033178553,-0.026515035,-0.038494218,-0.03620135,-0.042711955,-0.027496658,-0.038167831,-0.033301469,-0.041716997,-0.037439145,-0.030879462,-0.042228479,-0.04289956,-0.038475361,-0.042684741,-0.045370184,-0.038137056,-0.042571165,-0.040612545,-0.044318382,-0.03076729,-0.035870045,-0.036207352,-0.037965506,-0.034851909,-0.034336921,-0.046071261,-0.038357787,-0.051778626,-0.046542387
884,-0.018828137,-0.022300804,-0.021171628,-0.013603364,-0.022286886,-0.02279754,-0.019963367,-0.029321717,-0.034082215,-0.031423461,-0.027740831,-0.025697423,-0.031862155,-0.027964043,-0.030871939,-0.033873573,-0.033214476,-0.037728772,-0.035531808,-0.037860133,-0.019825637,-0.041769147,-0.035318751,-0.030880956,-0.038885642,-0.040614102,-0.032161005,-0.033828124,-0.040036462,-0.040899076,-0.032978449,-0.031372171,-0.027555648,-0.038590059,-0.038277302,-0.044508003,-0.034898587,-0.045408051,-0.031509608,-0.03732438
883.2000122,-0.00557904,-0.01955683,-0.006068919,-0.018271793,-0.018236548,-0.00833625,-0.016757302,-0.020137578,-0.022390157,-0.026176056,-0.023127578,-0.023297926,-0.031415757,-0.032029014,-0.031308059,-0.024072358,-0.020044154,-0.026256964,-0.025529526,-0.01997993,-0.026388673,-0.033144593,-0.027739957,-0.029330378,-0.028740238,-0.034277506,-0.03233736,-0.024808008,-0.029156329,-0.023231631,-0.028526442,-0.026003763,-0.039221704,-0.028911838,-0.030501215,-0.035118103,-0.038901594,-0.038332049,-0.041070413,-0.031022647
882.4000244,0.007828444,-0.007862041,-0.017078871,-0.026550345,-0.019184833,-0.012034307,-0.029079013,-0.028982598,-0.026965961,-0.026268659,-0.028515048,-0.027019769,-0.02568654,-0.020764887,-0.019947544,-0.020770514,-0.01999422,-0.026970582,-0.01469236,-0.032872386,-0.034785874,-0.022177983,-0.022456188,-0.026970923,-0.025495451,-0.026456242,-0.031482644,-0.036473718,-0.027990352,-0.025370894,-0.025662092,-0.020686703,-0.031262293,-0.027252883,-0.035259422,-0.026490388,-0.032774795,-0.0266899,-0.034037028,-0.026594855
881.5999756,-0.004747997,-0.009291834,-0.009883934,-0.015210017,-0.002325364,-0.012278974,-0.01963111,-0.018959988,-0.023209693,-0.032379795,-0.024025286,-0.027465021,-0.024255849,-0.02737909,-0.02508424,-0.026043843,-0.016651737,-0.014388001,-0.026327185,-0.027575182,-0.03033198,-0.02209218,-0.021625966,-0.031638723,-0.032326166,-0.033877067,-0.028112367,-0.029047634,-0.026974719,-0.035072405,-0.02889842,-0.0311122,-0.032331981,-0.019950511,-0.033561282,-0.025930855,-0.030996906,-0.024182355,-0.036569484,-0.038235582
880.7999878,-0.00980007,-0.014498474,-0.026147248,-0.024523871,-0.025337588,-0.021254607,-0.033094898,-0.031166557,-0.02813624,-0.032760203,-0.026725831,-0.034957156,-0.023452463,-0.0313989,-0.029477801,-0.035523504,-0.030612538,-0.030199239,-0.035461817,-0.026540751,-0.037530802,-0.039630998,-0.026935987,-0.030763239,-0.035339274,-0.03725316,-0.044334743,-0.026385507,-0.042087249,-0.040190205,-0.042313166,-0.042748556,-0.037178885,-0.039702065,-0.038838159,-0.036234312,-0.035951834,-0.043639984,-0.039742842,-0.040498286
880,-0.013635826,-0.01248009,-0.016672364,-0.034832079,-0.024194205,-0.027685363,-0.024949593,-0.028348725,-0.021578381,-0.040398099,-0.034368925,-0.033206899,-0.037244845,-0.030050853,-0.032556448,-0.036759947,-0.040167362,-0.03634565,-0.038495686,-0.026444454,-0.042455729,-0.039675135,-0.035217747,-0.034163099,-0.033052437,-0.04019266,-0.029368315,-0.035908654,-0.032802016,-0.032830674,-0.042881925,-0.050168846,-0.029117599,-0.036816217,-0.029591128,-0.038184807,-0.048364751,-0.035559759,-0.038284697,-0.033553422
879.2000122,-0.006185663,-0.023708625,-0.021449097,-0.023776123,-0.029298343,-0.03186889,-0.030346608,-0.031325303,-0.02579686,-0.031299725,-0.030478001,-0.032399062,-0.031988181,-0.033588119,-0.038087692,-0.035135008,-0.036883611,-0.023856841,-0.033733718,-0.025366645,-0.049511407,-0.031965576,-0.035639081,-0.038050082,-0.039958883,-0.037951179,-0.033284687,-0.038868267,-0.037017699,-0.038277064,-0.040818919,-0.040812414,-0.039362546,-0.03737982,-0.045960523,-0.033124976,-0.040721163,-0.030417426,-0.038642921,-0.04055893
878.4000244,-0.01569435,-0.006073412,-0.014532121,-0.020251738,-0.024402851,-0.029527429,-0.027789105,-0.029864673,-0.025171898,-0.038051836,-0.037805278,-0.023887223,-0.021409033,-0.02985868,-0.02762571,-0.039036479,-0.032859284,-0.029034754,-0.032835715,-0.027501518,-0.04543104,-0.039274585,-0.04650639,-0.038410772,-0.034118876,-0.029532364,-0.038180586,-0.027604867,-0.031976063,-0.032837205,-0.028118093,-0.037653726,-0.041220449,-0.03862549,-0.035795916,-0.030427659,-0.038163848,-0.034967855,-0.025890373,-0.04442963
