wavelength (nm),DOMBlank1,DOMSTD31,DOM12860,DOM12867,DOM12916,DOM12923,DOM12962,DOM13091,DOM13107,DOMBlank2,DOM13130,DOM13137,DOM13445,DOM13586,DOM13597,DOM13598,DOM13602,DOM11563,DOM11566,DOM11572,DOM11606,DOM11609,DOM11762,DOMBlank3
900,-0.0016814,-0.004282719,0.006943941,0.002687079,-0.01550256,0.015531637,-0.027014758,-0.010252248,0.002918617,-0.01518972,-0.018519122,-0.028704476,-0.00613508,-0.001897587,-0.040352952,-0.020497451,0.013629537,0.010533442,-0.008482189,-0.01644332,-0.039412994,0.002331818,-0.008351943,0.009542564
899.2000122,-0.018123347,-0.034195401,-0.025108624,-0.064497024,-0.022653237,-0.044371065,-0.023333106,-0.029738123,-0.05496826,-0.013591473,-0.057480678,-0.038789157,-0.033961963,-0.050819952,-0.022011478,-0.04966405,-0.031580236,-0.054811537,-0.028388979,-0.056023147,-0.045350082,-0.040328041,-0.04928999,-0.030584602
898.4000244,-0.010740169,-0.002782352,-0.042256754,0.002992688,-0.012565652,0.00410824,-0.029902902,-0.022063985,-0.01324863,-0.028676173,-0.008447155,-0.01361094,-0.038285408,-0.028593874,-0.00559468,-0.013686848,0.001679671,-0.032643616,-0.039523616,-0.037712779,-0.024766834,-0.024876313,-0.016159041,-0.039992362
897.5999756,-0.00297434,-0.033434894,0.004700298,0.006323813,-0.037495233,-0.036911573,-0.011780031,-0.035322998,-0.007639087,-0.022246407,-0.02987347,-0.00890759,-0.047432434,-0.010304527,-0.035704844,-0.010135277,-0.054167997,-0.004646437,-0.01595483,-0.030292582,-0.007624029,-0.022092229,-0.045216676,-0.031257235
896.7999878,-0.000260231,-0.01788846,-0.013095343,-0.008285002,9.52E-05,-0.029007636,-0.036017884,-0.024814708,-0.021673545,-0.039290097,-0.016997231,-0.035307631,-0.028145315,-0.02596592,-0.028307788,-0.034322858,-0.024807373,-0.036580667,-0.036675692,-0.033387341,-0.048902888,-0.022026634,-0.048200253,-0.021567889
896,0.025871048,0.037572209,0.047802441,0.03588143,0.030646984,-0.007529602,0.008805112,0.030101864,0.002990759,-0.021521626,0.000142293,0.021644617,0.011370497,0.02422075,0.00476792,0.020384882,0.009018185,-0.005256562,-0.012891595,-0.015006759,0.005315333,0.012232039,0.012836457,-0.003034136
895.2000122,-0.011132586,0.005696963,0.001468454,-0.025085755,-0.02690324,-0.005938918,-0.012767592,-0.017147008,-0.00113966,-0.033866629,-0.017278822,-0.003384364,-0.01642647,-0.022200415,-0.027123574,-0.027357701,-0.006066316,-0.035361659,-0.013067311,-0.027851116,-0.005553842,-0.015134174,-0.020189226,-0.019617749
894.4000244,-0.023169005,-0.012814594,-0.005086203,-0.01086647,-0.028394215,-0.019753417,-0.028868435,-0.044297997,-0.019667381,-0.027078826,-0.032957669,-0.024395509,-0.006246549,-0.024702083,-0.030872084,-0.0323525,-0.028708933,-0.045056302,-0.027616041,-0.043982636,-0.046835959,-0.02340233,-0.040158063,-0.031341776
893.5999756,-0.008435528,-0.018276706,-0.013263343,-0.016943311,-0.016267868,-0.000503294,-0.032346733,-0.025623683,-0.035633214,-0.021673447,-0.022695299,-0.017173681,-0.014527815,-0.038392857,-0.049528174,-0.050839707,-0.022710089,-0.026658205,-0.019938197,-0.018544175,-0.018671252,-0.03634489,-0.02664238,-0.025503311
892.7999878,0.017261436,-0.002106866,-0.000181992,-0.012671159,0.001294543,-0.004608122,-0.012161289,-0.021143669,-0.024238763,-0.017022969,-0.035762969,-0.020448111,-0.014376081,0.005337634,-0.029900968,-0.018245781,-0.01322347,-0.024910485,-0.014028794,-0.03017799,-0.025956558,-0.013997113,-0.034292337,-0.017531393
892,-0.002020816,-0.010751533,-0.028636383,-0.012732299,-0.022405546,-0.016335733,-0.043077845,0.005194388,-0.034135677,-0.025628369,-0.002168481,-0.019114291,-0.014897415,-0.043755528,-0.049555384,-0.033796851,-0.034731012,-0.034554046,-0.032671325,-0.037852161,-0.016412811,-0.03941517,-0.013121363,-0.023817586
891.2000122,-0.015090523,-0.022225207,-0.015447955,-0.031200623,-0.01622887,-0.029704329,-0.02697102,0.000825381,-0.022720948,-0.020264437,-0.041206606,-0.024456929,-0.03020006,-0.024251493,-0.047271714,-0.034061249,-0.02559025,-0.021701273,-0.020803135,-0.022093115,-0.039863437,-0.034014817,-0.026403435,-0.022711366
890.4000244,3.17E-05,-0.00612584,-0.001283392,-0.001387753,0.005264918,-0.007276798,0.003192495,-0.012696099,-0.004848508,-0.005666636,-0.010671322,-0.006400283,-0.005012871,-0.006655536,-0.015102074,-0.005518469,-0.002754676,-0.005072233,-0.01823213,-0.022281526,-0.012554386,-0.013900552,-0.004549363,-0.010398
889.5999756,-0.010312465,-0.018682659,-0.014599457,-0.022398269,-0.007988063,-0.009000704,-0.019593006,-0.019311724,-0.035886396,-0.021597987,-0.03360508,-0.034469791,-0.029587694,-0.027542336,-0.029946104,-0.020961028,-0.029321572,-0.043241765,-0.029208804,-0.009410957,-0.029170707,-0.028944677,-0.03264986,-0.027775701
888.7999878,0.004969804,-0.012174076,-0.007647226,0.001212481,-0.018712908,0.000638636,-0.03327385,-0.010793653,-0.002091976,-0.026634054,-0.020996349,-0.010435504,-0.016874693,-0.007034492,-0.00847041,0.001598731,-0.006828187,-0.009476407,-0.014614276,-0.019031547,-0.036085639,-0.023026643,-0.01868489,-0.01494984
888,-0.007814805,-0.018220712,-0.030996425,-0.034314007,-0.032121051,-0.022570968,-0.034472853,-0.040465269,-0.025863009,-0.026222166,-0.027440283,-0.038956072,-0.030766713,-0.034815881,-0.028136775,-0.035080187,-0.036868632,-0.038134877,-0.041984513,-0.028292751,-0.026852287,-0.021076648,-0.033375401,-0.039226197
887.2000122,0.000361259,0.004273791,-0.00773471,-0.010541277,-0.005851684,-0.010287186,-0.012030682,-0.012358586,-0.01838436,-0.005752732,-0.021635965,-0.019287407,-0.009601101,-0.021633452,-0.020800224,-0.024604645,-0.019187856,-0.026278114,-0.023067737,-0.03403765,-0.018880138,-0.001496836,-0.02452617,-0.018342672
886.4000244,-0.000858513,-0.013831954,-0.022425508,-0.012525816,-0.021868292,-0.014373275,-0.035595678,-0.03281397,-0.030644285,-0.021612272,-0.029665744,-0.031901266,-0.032701913,-0.023516713,-0.01342395,-0.027268345,-0.023402771,-0.03046106,-0.024460698,-0.026739169,-0.033578053,-0.031225052,-0.034193005,-0.044235066
885.5999756,0.009056165,-0.008898917,0.001441234,-0.020589495,-0.007452713,0.000797243,0.002264132,-0.016346803,-0.02173087,-0.029449163,-0.021815564,-0.01869585,-0.018568432,-0.009305111,-0.022096215,-0.027331693,-0.02246484,-0.013978816,-0.030805729,-0.02082026,-0.03019977,-0.02659505,-0.008602752,-0.024465933
884.7999878,0.003187541,-0.004033197,-0.011060722,-0.014078416,-0.021305036,-0.008872692,-0.013627047,-0.022945279,-0.018180696,-0.006499597,-0.018408824,-0.013436499,-0.010760978,-0.03300225,-0.011614379,-0.022346836,-0.015583632,-0.016480904,-0.019604933,-0.013805224,-0.014939086,-0.019532576,-0.022540001,-0.020089434
884,-0.007629829,-0.006397121,-0.019270075,-0.003366538,-0.004100796,-0.019818267,-0.015506007,-0.014542385,-0.017784262,-0.013410899,-0.010932812,-0.013688052,-0.018847967,-0.026480744,-0.026289517,-0.027407816,-0.009038836,-0.026424043,-0.021492705,-0.028433252,-0.025932075,-0.027024731,-0.021272549,-0.028411819
883.2000122,-0.006700757,-0.007007034,-0.015427219,-0.019862683,-0.021593455,-0.023328494,-0.01833076,-0.024846734,-0.028622763,-0.03061167,-0.019511294,-0.025129978,-0.026809992,-0.020294232,-0.016676897,-0.019895224,-0.0191512,-0.026834961,-0.023975465,-0.020030014,-0.017156912,-0.026001617,-0.01941699,-0.023199044
882.4000244,-0.018135214,-0.01697159,-0.012843646,-0.020074209,-0.024831234,-0.020586038,-0.021195788,-0.018849107,-0.027647084,-0.020017853,-0.028088734,-0.023921866,-0.025040258,-0.027647084,-0.018301178,-0.030783063,-0.033617396,-0.036442634,-0.034090016,-0.0220847,-0.025803544,-0.036807325,-0.022892633,-0.037672479
881.5999756,-0.013985082,-0.011963853,-0.012766083,-0.010584225,-0.011961183,-0.025548369,-0.018698478,-0.008988584,-0.011230167,-0.013975256,-0.0276243,-0.025159048,-0.018825956,-0.029790914,-0.030719299,-0.023340123,-0.028360752,-0.020569695,-0.018683897,-0.01151522,-0.030711146,-0.024149448,-0.034796052,-0.04052842
880.7999878,-0.001342389,-0.009281192,-0.007529246,-0.016546395,-0.01739493,-0.023381874,-0.02802467,-0.021134891,-0.025836863,-0.027029403,-0.019710524,-0.024656791,-0.027194336,-0.035949931,-0.020702794,-0.025928417,-0.02817137,-0.032157447,-0.028901277,-0.036534309,-0.032267768,-0.030065782,-0.032708108,-0.02700104
880,-0.006010714,-0.015319031,-0.017520702,-0.016448354,-0.01910468,-0.019246897,-0.026714098,-0.025213912,-0.029032623,-0.027342534,-0.034037124,-0.02044169,-0.023927255,-0.030660687,-0.034524113,-0.027814066,-0.031225629,-0.032473199,-0.034354717,-0.027069632,-0.02841308,-0.032929454,-0.033191793,-0.022910904
879.2000122,-0.001096697,-0.014966346,-0.018182581,-0.022543639,-0.011113965,-0.029321281,-0.01763759,-0.02671551,-0.02337319,-0.029350992,-0.024382098,-0.031008909,-0.018646603,-0.030980082,-0.03412012,-0.023914615,-0.030885199,-0.027112873,-0.028314579,-0.026979778,-0.025809739,-0.039326038,-0.03884488,-0.031461313
878.4000244,-0.012149811,-0.008948571,-0.01975416,-0.016996285,-0.01750459,-0.026866546,-0.023458054,-0.028172001,-0.025850132,-0.030735649,-0.029908651,-0.034711607,-0.025354339,-0.026808728,-0.026287422,-0.030225124,-0.026978659,-0.027666904,-0.031663802,-0.033580404,-0.029168772,-0.032587957,-0.029404363,-0.037685674
877.5999756,-0.001355085,-0.012934613,-0.010616358,-0.008626759,-0.007480346,-0.010364839,-0.008065924,-0.013575465,-0.019032687,-0.021576902,-0.014871251,-0.024345633,-0.02043438,-0.02699632,-0.014608919,-0.023457417,-0.016315639,-0.020957822,-0.023166895,-0.017507624,-0.012298401,-0.021911908,-0.019383423,-0.019144412
876.7999878,-0.009675789,-0.015876623,-0.005729128,-0.01357963,-0.00713631,-0.014982452,-0.020438775,-0.013418981,-0.028285427,-0.021440325,-0.031334743,-0.019471051,-0.028895514,-0.027273109,-0.021918207,-0.027975062,-0.019284884,-0.023175729,-0.028371712,-0.022056751,-0.02450469,-0.023722302,-0.022077467,-0.028382286
876,0.001507806,-0.013657851,0.002101945,-0.015241759,-0.012925266,-0.017136855,-0.022129327,-0.021260571,-0.020280743,-0.018424356,-0.028897742,-0.022384994,-0.030812625,-0.018627657,-0.021327907,-0.025047246,-0.024750356,-0.024961667,-0.027640186,-0.028207226,-0.023241004,-0.023412583,-0.0237897,-0.02619799
875.2000122,-0.001438635,-0.011900539,-0.011128196,-0.011613824,-0.015440609,-0.015770944,-0.012930644,-0.019046264,-0.018432295,-0.027431827,-0.026501786,-0.026171329,-0.02583535,-0.02344746,-0.026543088,-0.027468618,-0.028586069,-0.024096359,-0.021798724,-0.02388688,-0.024953503,-0.025948657,-0.024338389,-0.031274483
874.4000244,-0.011097513,-0.013973502,-0.010214373,-0.025262859,-0.017461576,-0.014319329,-0.018193554,-0.021933122,-0.017106595,-0.023293804,-0.020840839,-0.028439654,-0.022492222,-0.025089273,-0.028895756,-0.027742045,-0.026970875,-0.020461397,-0.029570138,-0.028500553,-0.021570941,-0.027582275,-0.031500075,-0.031517409
873.5999756,-0.007136157,-0.013633218,-0.008912257,-0.015641617,-0.020935522,-0.022698443,-0.015062771,-0.026450397,-0.025497697,-0.024428153,-0.02699632,-0.032493472,-0.027628139,-0.036774408,-0.025381833,-0.028427724,-0.028803809,-0.027724657,-0.028698757,-0.027454037,-0.028182967,-0.024680221,-0.020988999,-0.025275314
872.7999878,-0.00568263,-0.008821914,-0.00990529,-0.018248709,-0.020024775,-0.0175834,-0.024139654,-0.015335023,-0.019917378,-0.024144305,-0.018053673,-0.020458583,-0.021664483,-0.022364685,-0.028897403,-0.01948214,-0.021266487,-0.019023469,-0.020878635,-0.021814777,-0.027678369,-0.027472895,-0.027257744,-0.023744557
872,0.003503287,-0.00213582,-0.004664364,-0.012918482,-0.004579435,-0.011269315,-0.014933283,-0.014942287,-0.020781767,-0.017910717,-0.022019548,-0.023799306,-0.020934388,-0.020061554,-0.019975826,-0.022407366,-0.017757526,-0.025993522,-0.023997167,-0.015263502,-0.018308276,-0.020859046,-0.021315584,-0.015224813
871.2000122,-0.007862804,-0.010799461,-0.008802535,-0.011701874,-0.018348329,-0.01343434,-0.016658064,-0.022335032,-0.017536016,-0.026146078,-0.021180799,-0.023804991,-0.020647505,-0.022884529,-0.020684481,-0.022854667,-0.018345054,-0.026503831,-0.019771622,-0.020635312,-0.023939211,-0.022258999,-0.02459633,-0.025946852
