	sample	eem_location	X250.3999939	X254.3999939	X280	X284.7999878	X364.7999878	X375.1999817	X400	X410.3999939	Station.Code	latitude	longitude	altitude	Region	lake_area_km2	basin_area_km2	lake_catchm_.	min_elev	mean_elev	max_elev	developed	agriculture	forest	natural_not_forest	peat	glacier	freshwater	Avrenning	ERA5.mean.annual.temperature.2019	ERA5.total.annual.precipitation.2019	ERA5.total.annual.runoff.2019	X2019_ALK	X2019_Al.Il	X2019_Al.R	X2019_Al	X2019_As	X2019_Ca	X2019_Cd	X2019_Cl	X2019_Co	X2019_Cr	X2019_Cu	X2019_DOC.C	X2019_FARGE	X2019_F	X2019_Fe	X2019_Hg	X2019_KOND	X2019_K	X2019_Mg	X2019_Mn	X2019_NH4.N	X2019_NO3.N	X2019_Na	X2019_Ni	X2019_PO4.P	X2019_Pb	X2019_SO4	X2019_SiO2	X2019_TOC	X2019_CNDOM	X2019_TOTN	X2019_TON	X2019_TOTP	X2019_Zn	X2019_pH	X2019_H	X2019_LAL	X2019_ALKE	X2019_ANC	X2019_ANCorg	TOC_TON	Pr?venr	Stasjonskode	Stasjonskode.1	Stasjonsnavn	sUVa	sVISa	SAR	E2_E3	HI	Comp.1	Comp.2	Comp.3	Comp1.R	Comp2.R	Comp3.R	bix	a	m	c	fi	Number	Sample_ID	Survey	dmax	tmax	tmax_h	auc	hauc	width	hwidth	ox_initial	incub_date	Comp1.C	Comp2.C	Comp3.C	dmax.C	a.C	m.C	c.C	Al.C	Cd.C	Co.C	Cr.C	Fe.C	Hg.C	Pb.C
128	DOM11960	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191104	0.041217814	0.039464557	0.036320758	0.034653208	0.027428052	0.027185497	0.024546883	0.023847314	1431-2-5	61.469	6.227	764	7	0.226539731	2.7146	8.345234333	762.0726318	1001.128564	1307.915039	0	0	0	90.58628646	0	0.991221335	8.4224921	77.283	3.793389797	2282.967285	1176.342651	0.051	7	11	29	0.022	0.25	0.004	1.08	0.029	0.05	0.13	0.65	4	12	27	0.59	0.74	0.066	0.13	2.3	4	10	0.78	0.05	1	0.025	0.37	0.71	0.72	18.94736842	52	38	2	0.52	5.85	1.412537545	4	22.24533485	20.18878285	17.457	0.018947368	DOM11960	1431-2-5	1431-2-5	Gjesdalsvatnet	6.071470367	36.68817598	1.65488477	1.438839216	0.878084304	13.73912539	5.477243684	4.734769169	57.36314179	22.86840662	19.76845159	0.534354318	17.81727461	10.56150533	12.47416077	1.269545208	126	11960	1000_lakes	5.911772605	19.82833333	26.00308333	56.55401776	56.55401776	8.620666667	6.744166667	377.4868608	191102	21.13711598	8.426528745	7.28426026	9.095034777	27.41119171	16.24846974	19.19101657	44.61538462	0.006153846	0.044615385	0.076923077	41.53846154	0.907692308	0.038461538
129	DOM11961	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191031	0.060158277	0.061246155	0.054941425	0.052040657	0.013907325	0.014677379	0.010279546	0.009992297	1431-4-6	61.496	6.132	207	7	39.24401022	385.0178	10.19277816	205.1824341	754.4467232	1654.448975	0.111333927	4.99669319	22.39550789	51.9202984	2.808734756	6.11382902	11.65360237	54.829	3.793389797	2282.967285	1176.342651	0.06	5	6	26	0.023	1.12	0.004	1.6	0.023	0.05	0.19	0.71	5	31	18	0.36	1.5	0.24	0.19	2.4	7	103	1.09	0.059	1	0.012	1.27	0.89	0.82	16.4	160	50	4	0.81	6.37	0.426579519	1	31.84264061	46.64162946	43.352	0.0164	DOM11961	1431-4-6	1431-4-6	J?lstravatnet	8.626219068	14.07365829	6.129336731	4.403877359	0.849696721	15.29525725	8.611437813	5.102876016	52.72486521	29.68481605	17.59031873	0.529536561	21.04112317	13.54318037	13.72621259	1.304447759	127	11961	1000_lakes	9.605321984	23.4525	26.22954167	81.44742264	81.44742264	9.203833333	4.360916667	426.0584201	191031	21.54261585	12.12878565	7.187149318	13.52862251	29.63538475	19.07490193	19.33269379	36.61971831	0.005633803	0.032394366	0.070422535	25.35211268	0.507042254	0.016901408
130	DOM11976	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191008	0.050385833	0.050906847	0.044811253	0.043162518	0.033664734	0.03090812	0.02511214	0.024145763	1426-2-29	61.56781295	7.93852536	1389	3	0.071274638	0.4749	15.00834667	1386.963867	1409.310486	1511.678589	0	0	0	84.13391943	0	0	15.86614584	43.469	0.11779175	1276.342773	530.2105713	0.059	5	5	15	0.039	0.55	0.004	0.12	0.016	0.05	0.44	0.4	2	6	6.4	0.62	0.41	0.19	0.077	0.41	2	1	0.22	0.05	1	0.025	0.32	0.41	0.62	11.69811321	56	53	3	0.2	6.19	0.645654229	0	30.7814876	38.23249006	35.981	0.011698113	DOM11976	1426-2-29	1426-2-29	Krongeltj?rni	12.72671177	60.36440769	2.108313865	1.512171371	0.847872547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128	11976	1000_lakes	6.442472273	23.17633333	29.756875	23.30897352	23.30897352	2.155083333	2.155083333	250.8662963	191003	NA	NA	NA	16.10618068	NA	NA	NA	37.5	0.01	0.04	0.125	16	1.55	0.0625
131	DOM11978	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191023	0.00142066	0.000706205	0.001753443	0.00162969	0.000560392	0.001766781	0.0018818	0.001777887	1426-1-22	61.703	7.434	NA	3	0.03106057	0.321	9.676189891	1469.400024	1517.133333	1606.900024	0	0	0	90.43849963	0	0	9.561500384	65	-0.339331061	1674.178711	771.333313	0.052	5	5	6.1	0.02	0.44	0.004	0.13	0.015	0.05	0.093	0.21	2	8	0.72	0.37	0.39	0.071	0.04	0.54	6	34	0.23	0.05	1	0.019	0.47	0.83	0.2	5.555555556	76	36	1	0.2	5.86	1.380384265	0	23.3177468	21.61586118	20.506	0.005555556	DOM11978	1426-1-22	1426-1-22	HOH 1475	0.336288242	8.466130037	0.397216013	1.260198076	2.307672132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	129	11978	1000_lakes	6.730222534	22.97366667	29.42720833	32.59820962	32.59820962	2.916	2.916	282.3861488	191003	NA	NA	NA	32.04867873	NA	NA	NA	29.04761905	0.019047619	0.071428571	0.238095238	3.428571429	1.761904762	0.09047619
132	DOM11979	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191022	0.004979788	0.001105798	0.004900332	0.005912943	-0.002360642	-0.003183673	-0.004545237	-0.004078552	1426-2-13	61.437	8.283	1487	3	0.302908379	3.0459	9.94479068	1487.247925	1621.461768	2140.646484	0	0	0	89.57727756	0	0	10.42302195	59.998	-0.495764166	1229.307251	639.9486084	0.068	5	5	7	0.025	0.91	0.004	0.081	0.01	0.05	0.21	0.3	2	4	2.6	0.19	0.75	0.025	0.13	0.18	2	11	0.28	0.05	1	0.015	1.12	1.39	0.41	12.42424242	46	33	1	0.2	6.44	0.363078055	0	40.29747385	42.67689763	41.139	0.012424242	DOM11979	1426-2-13	1426-2-13	HOH 1488	0.368599359	-13.59517308	-0.271125168	-0.468431093	5.347217725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	130	11979	1000_lakes	24.62430157	24.41658333	27.91625	136.7274316	136.7274316	2.687583333	2.687583333	279.0831543	191018	NA	NA	NA	82.08100523	NA	NA	NA	23.33333333	0.013333333	0.033333333	0.166666667	8.666666667	0.633333333	0.05
133	DOM11981	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	0.007074907	0.008867142	0.004640252	0.008261318	0.012805369	0.014273583	0.010956601	0.009299066	1422-2-19	61.153	7.869	1251	7	0.343356688	3.2256	10.64473858	1251.837036	1340.192708	1562.279663	0	0	0	86.81972419	0	0	13.18033148	38.366	1.685510278	1378.735962	454.382782	0.066	5	5	11	0.02	0.76	0.004	0.24	0.01	0.05	0.086	0.4	2	7	2.8	0.18	0.66	0.19	0.12	0.73	2	1	0.43	0.055	1	0.01	0.71	1.24	0.43	11.94444444	39	36	1	0.2	6.36	0.436515832	0	38.18888775	49.87860266	48.274	0.011944444	DOM11981	1422-2-19	1422-2-19	Langetj?rnane	2.216785471	23.24766471	0.953551894	0.692455014	0.931677647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131	11981	1000_lakes	2.546051455	10.06533333	16.48041667	23.31405762	23.31405762	7.93575	4.10725	121.4100784	191005	NA	NA	NA	6.365128638	NA	NA	NA	27.5	0.01	0.025	0.125	7	0.45	0.025
134	DOM11984	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191022	0.006026388	0.003111201	0.002611631	0.001990724	-0.005947505	-0.005338755	-0.006295399	-0.006458049	1422-3-18	60.972	8.017	1350	7	1.919834853	9.7459	19.69889751	1349.597168	1413.232149	1601.22583	0	0	0	76.55677618	2.383138475	0	21.06008495	38.731	0.490441889	1409.907959	608.3606567	0.066	5	5	4	0.02	0.85	0.004	0.18	0.015	0.05	0.05	0.29	2	8	5.3	0.13	0.68	0.099	0.11	2.1	2	7	0.32	0.05	1	0.01	0.85	0.84	0.48	11.70731707	50	41	1	0.22	6.4	0.398107171	0	38.18888775	44.78427346	43.009	0.011707317	DOM11984	1422-3-18	1422-3-18	Starsj?en	1.072827785	-22.26913594	-0.481755461	-0.523110171	0.639857035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132	11984	1000_lakes	8.354725126	18.154	21.84375	83.86452678	83.86452678	9.25425	6.870916667	181.7675908	191018	NA	NA	NA	28.80939699	NA	NA	NA	13.79310345	0.013793103	0.051724138	0.172413793	18.27586207	0.448275862	0.034482759
135	DOM11985	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191010	0.002530892	0.002517368	0.000267986	0.002247367	-0.000556427	-0.001027908	-0.004645018	-0.005528065	1422-1-2	60.975	7.78	1540	7	0.062598153	0.461	13.578775	1538.381592	1571.41269	1658.636475	0	0	0	86.05203877	0	0	13.94796317	44.996	0.598443627	1473.238647	702.9971924	0.105	5	5	4.7	0.02	1.87	0.004	0.2	0.021	0.05	0.22	0.48	2	6	11	0.23	1.36	0.16	0.22	0.6	3	23	0.39	0.05	1	0.012	1.5	1.46	0.57	8.507462687	93	67	3	0.25	6.79	0.16218101	0	78.93452748	94.16910808	92.015	0.008507463	DOM11985	1422-1-2	1422-1-2	HOH 1539	0.524451603	-11.51680272	-0.455379514	-4.524162739	0.892744711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133	11985	1000_lakes	95.93923808	15.00958333	17.35533333	777.6454878	777.6454878	7.555666667	3.37225	319.1283412	191021	NA	NA	NA	199.8734127	NA	NA	NA	9.791666667	0.008333333	0.04375	0.104166667	22.91666667	0.479166667	0.025
136	DOM11993	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191029	0.118898591	0.116602374	0.098257853	0.094292639	0.038662504	0.034491801	0.026537112	0.023376643	1433-1-37	61.55227748	5.69460907	460	7	0.059229267	0.8331	7.109502714	460.5614319	551.235686	766.0456543	0	0	6.195898704	86.03001931	0	0	7.774074621	77.483	5.778771877	2497.4104	1380.613892	0.06	24	29	65	0.05	0.79	0.0061	3.33	0.043	0.12	0.05	2.1	16	6	12	1.23	1.83	0.1	0.34	1.6	4	14	1.93	0.05	1	0.067	0.6	0.99	2	21.73913043	110	92	2	0.93	6.08	0.831763771	5	31.84264061	46.75918555	39.679	0.02173913	DOM11993	1433-1-37	1433-1-37	Svartevatnet	5.552494016	11.13173493	4.987986197	3.015903297	0.808668261	19.48965202	8.24348006	7.442102909	55.4073115	23.4354655	21.157223	0.475393148	25.21522708	14.89492295	17.52945358	1.21627509	134	11993	1000_lakes	6.33846001	18.83833333	20.39825	61.96416147	61.96416147	11.61208333	3.16925	283.389806	191029	9.280786676	3.925466695	3.543858528	3.01831429	12.00725099	7.092820454	8.34735885	30.95238095	0.002904762	0.02047619	0.057142857	5.714285714	0.585714286	0.031904762
137	DOM12000	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191029	0.095456337	0.093314474	0.077096296	0.075807666	0.031992483	0.029199203	0.023972709	0.021542617	1420-1-1	61.274	6.958	829	7	0.031691411	0.6119	5.179181369	828.737915	864.8293022	988.4274292	0	0	0	79.47895104	2.784656544	0	17.7363938	34.96	4.105645657	1783.087524	651.296875	0.072	6	8	27	0.029	0.96	0.0071	0.58	0.02	0.05	0.05	1.6	11	10	16	0.57	0.77	0.17	0.12	0.9	5	5	0.49	0.05	1	0.025	0.28	0.42	1.7	19.54022989	97	87	3	0.8	6.43	0.371535229	2	44.50604023	61.24735107	55.111	0.01954023	DOM12000	1420-1-1	1420-1-1	Kollsetervatnet	5.832154654	13.46413591	4.331621941	2.916762451	0.812389149	13.37276427	7.77641958	5.013655478	51.11358176	29.72314848	19.16326976	0.472957054	18.95316078	11.68491308	11.6798953	1.17682368	135	12000	1000_lakes	8.108776566	26.34316667	27.75095833	56.37371634	56.37371634	7.124833333	4.9695	329.8077225	191031	8.357977669	4.860262238	3.133534674	5.067985354	11.84572549	7.303070677	7.299934564	16.875	0.0044375	0.0125	0.03125	10	0.35625	0.015625
