Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8058	DOM12208	513-1-7 HOH 1370	513-1-7	HOH 1370
930-8058	DOM12209	513-2-27 Styggvatnet	513-2-27	Styggvatnet
930-8058	DOM12210	513-2-5 Grøntjørni	513-2-5	Grøntjørni
930-8058	DOM12211	513-3-14 Liavatnet	513-3-14	Liavatnet
930-8059	DOM12212	513-2-18 Nedre Søvertjørni	513-2-18	Nedre Søvertjørni
930-8059	DOM12213	513-2-15 Kroketjørni	513-2-15	Kroketjørni
930-8059	DOM12214	513-1-7 HOH 1370	513-1-7	HOH 1370
930-8059	DOM12215	513-2-27 Styggvatnet	513-2-27	Styggvatnet
930-8059	DOM12216	513-2-5 Grøntjørni	513-2-5	Grøntjørni
930-8059	DOM12217	513-3-14 Liavatnet	513-3-14	Liavatnet
930-8060	DOM12218	536-603 Kvitingen	536-603	Kvitingen
930-8060	DOM12219	536-1-12 Brokslitjernet	536-1-12	Brokslitjernet
930-8061	DOM12220	536-603 Kvitingen	536-603	Kvitingen
930-8061	DOM12221	536-1-12 Brokslitjernet	536-1-12	Brokslitjernet
930-8062	DOM12222	540-3-13 Nevlingen	540-3-13	Nevlingen
930-8062	DOM12223	540-608 Vangen	540-608	Vangen
930-8062	DOM12224	540-2-21 Holmevatnet	540-2-21	Holmevatnet
930-8062	DOM12225	540-2-22 Øyvatnet	540-2-22	Øyvatnet
930-8063	DOM12226	540-3-13 Nevlingen	540-3-13	Nevlingen
930-8063	DOM12227	540-608 Vangen	540-608	Vangen
930-8063	DOM12228	540-2-21 Holmevatnet	540-2-21	Holmevatnet
930-8063	DOM12229	540-2-22 Øyvatnet	540-2-22	Øyvatnet
930-8065	DOM12231	519-2-12 Nordre Vulutjørni	519-2-12	Nordre Vulutjørni
930-8065	DOM12232	519-1-6 Sprentjørna	519-1-6	Sprentjørna
930-8065	DOM12233	519-2-29 Vesle Jetningen	519-2-29	Vesle Jetningen
930-8066	DOM12234	519-2-12 Nordre Vulutjørni	519-2-12	Nordre Vulutjørni
930-8066	DOM12235	519-1-6 Sprentjørna	519-1-6	Sprentjørna
930-8066	DOM12236	519-2-29 Vesle Jetningen	519-2-29	Vesle Jetningen
930-8067	DOM12237	545-4-1 Bygdin	545-4-1	Bygdin
930-8067	DOM12238	545-2-25 Seksin	545-2-25	Seksin
930-8067	DOM12239	545-4-5 Tyin	545-4-5	Tyin
930-8067	DOM12240	545-3-19 Nedre Årdalsvatnet	545-3-19	Nedre Årdalsvatnet
930-8067	DOM12241	545-2-4 HOH 1337	545-2-4	HOH 1337
930-8067	DOM12242	545-1-24 Myrjetjernet	545-1-24	Myrjetjernet
930-8067	DOM12243	545-1-32 Tvindehaugtjernet	545-1-32	Tvindehaugtjernet
930-8067	DOM12244	545-1-15 HOH 1398	545-1-15	HOH 1398
930-8067	DOM12245	545-2-13 Fussegrovtjørni	545-2-13	Fussegrovtjørni
930-8067	DOM12246	545-2-17 Langetjernet	545-2-17	Langetjernet
930-8067	DOM12247	545-3-7 Helin	545-3-7	Helin
930-8067	DOM12248	545-4-3 Vangsmjøsi	545-4-3	Vangsmjøsi
930-8068	DOM12249	545-4-1 Bygdin	545-4-1	Bygdin
930-8068	DOM12250	545-2-25 Seksin	545-2-25	Seksin
930-8068	DOM12251	545-4-5 Tyin	545-4-5	Tyin
930-8068	DOM12252	545-3-19 Nedre Årdalsvatnet	545-3-19	Nedre Årdalsvatnet
930-8068	DOM12253	545-2-4 HOH 1337	545-2-4	HOH 1337
930-8068	DOM12254	545-1-24 Myrjetjernet	545-1-24	Myrjetjernet
930-8068	DOM12255	545-1-32 Tvindehaugtjernet	545-1-32	Tvindehaugtjernet
930-8068	DOM12256	545-1-15 HOH 1398	545-1-15	HOH 1398
930-8068	DOM12257	545-2-13 Fussegrovtjørni	545-2-13	Fussegrovtjørni
930-8068	DOM12258	545-2-17 Langetjernet	545-2-17	Langetjernet
930-8068	DOM12259	545-3-7 Helin	545-3-7	Helin
930-8068	DOM12260	545-4-3 Vangsmjøsi	545-4-3	Vangsmjøsi
930-8069	DOM12263	543-4-4 Storfjorden	543-4-4	Storfjorden
930-8069	DOM12264	543-3-2 Vasetvatnet	543-3-2	Vasetvatnet
930-8070	DOM12261	543-4-4 Storfjorden	543-4-4	Storfjorden
930-8070	DOM12262	543-3-2 Vasetvatnet	543-3-2	Vasetvatnet
930-8071	DOM12268	515-2-1 Tjørnosen	515-2-1	Tjørnosen
930-8071	DOM12269	515-2-24 Birisjøen	515-2-24	Birisjøen
930-8071	DOM12270	515-1-23 Skytningen	515-1-23	Skytningen
930-8072	DOM12265	515-2-1 Tjørnosen	515-2-1	Tjørnosen
930-8072	DOM12266	515-2-24 Birisjøen	515-2-24	Birisjøen
930-8072	DOM12267	515-1-23 Skytningen	515-1-23	Skytningen
930-8073	DOM12271	528-2-6 Mørksjøen	528-2-6	Mørksjøen
930-8073	DOM12272	528-1-22 Fjælutjern	528-1-22	Fjælutjern
930-8074	DOM12273	528-2-6 Mørksjøen	528-2-6	Mørksjøen
