Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8150	DOM12523	1260-2-20 Færevatnet	1260-2-20	Færevatnet
930-8151	DOM12524	1242-2-3 Fiskevatnet	1242-2-3	Fiskevatnet
930-8152	DOM12525	1242-2-3 Fiskevatnet	1242-2-3	Fiskevatnet
930-8153	DOM12526	1216-3-5 Vigdarvatnet	1216-3-5	Vigdarvatnet
930-8153	DOM12527	1216-2-12 Krossvikevatnet	1216-2-12	Krossvikevatnet
930-8153	DOM12528	1216-2-13 Mannavatnet	1216-2-13	Mannavatnet
930-8153	DOM12529	1216-3-11 Storavatnet	1216-3-11	Storavatnet
930-8154	DOM12530	1216-3-5 Vigdarvatnet	1216-3-5	Vigdarvatnet
930-8154	DOM12531	1216-2-12 Krossvikevatnet	1216-2-12	Krossvikevatnet
930-8154	DOM12532	1216-2-13 Mannavatnet	1216-2-13	Mannavatnet
930-8154	DOM12533	1216-3-11 Storavatnet	1216-3-11	Storavatnet
930-8155	DOM12536	1223-2-37 Skartveitvatnet	1223-2-37	Skartveitvatnet
930-8155	DOM12537	1223-1-40 Øvre Vermedalsvatn	1223-1-40	Øvre Vermedalsvatn
930-8156	DOM12534	1223-2-37 Skartveitvatnet	1223-2-37	Skartveitvatnet
