wavelength (nm),DOMBlank1,DOMSTD17,DOM12005,DOM12055,DOM12100,DOM12209,DOM12305,DOM12329,DOM12344,DOMBlank2,DOM12439,DOM12440,DOM12445,DOM12505,DOM12509,DOM12541,DOM13042,DOM11951,DOM12452,DOMBlank4,DOM12472,DOM12481,DOM12482,DOM12484,DOMBlank5
886.4000244,0.000374602,-0.009184388,-0.006103277,-0.020862747,-0.002448885,-0.019100815,-0.022835903,-0.01901341,-0.01318696,-0.018963655,-0.020072924,-0.022133706,-0.022203563,-0.028979741,-0.019727197,-0.026983865,-0.027552394,-0.022126867,-0.023838218,-0.015943402,-0.023767104,-0.02065417,-0.023035875,-0.020581249,-0.026935842
885.5999756,-0.010557193,0.001069007,-0.005835644,-0.014095507,-0.013269167,-0.019953279,-0.009525489,-0.01555611,-0.018330263,-0.027423223,-0.021948086,-0.025698204,-0.025822863,-0.024498818,-0.009797084,-0.020184433,-0.017936055,-0.024065893,-0.020129818,-0.02861622,-0.015199518,-0.018934265,-0.017690429,-0.017812787,-0.033139415
884.7999878,-0.003367309,-0.004502995,-0.013750354,-0.016593289,-0.007799244,-0.011974127,-0.008909518,-0.010318532,-0.012898128,-0.013975858,-0.017160594,-0.013581136,-0.020192044,-0.019052804,-0.016920853,-0.021768443,-0.020629041,-0.022933347,-0.012443165,-0.021984359,-0.029492313,-0.018009223,-0.022904273,-0.018369323,-0.018449415
884,-0.012656124,-0.010248253,-0.018644372,-0.012731042,-0.017714586,-0.011064962,-0.021547442,-0.010421756,-0.012196729,-0.020590285,-0.025852278,-0.031588614,-0.019673219,-0.026799284,-0.027112193,-0.015119324,-0.012771412,-0.015487523,-0.02328036,-0.022447977,-0.018004205,-0.018672096,-0.020011475,-0.015248307,-0.023469629
883.2000122,0.005326863,-0.001295935,-0.004368833,-0.00264668,-0.002784513,-0.013607729,-0.012677746,-0.00607183,-0.007125258,-0.017325189,-0.011039675,-0.008774529,-0.016517887,-0.022267951,-0.020715777,-0.014888011,-0.01940288,-0.014513696,-0.020707386,-0.016841525,-0.007927624,-0.016226575,-0.015276048,-0.017893031,-0.018965142
882.4000244,-0.008978898,-0.014414394,-0.012958835,-0.013498485,-0.010239606,-0.019468278,-0.012388626,-0.016554518,-0.02122537,-0.018395772,-0.019649914,-0.015523042,-0.02518167,-0.020846512,-0.022862772,-0.020049691,-0.016560797,-0.015730402,-0.018815247,-0.019371441,-0.01946714,-0.015177672,-0.033478513,-0.025895642,-0.024366437
881.5999756,-0.001527534,0.00616223,-0.002621002,-0.003447236,0.007492103,-0.004876103,-0.007130707,-0.012285718,-0.010419077,-0.006425688,-0.013003705,-0.020155026,-0.009106472,-0.009311648,-0.00857849,-0.015505457,-0.0170945,-0.012985718,-0.012777445,-0.012319738,-0.008881976,-0.019771028,-0.018246079,-0.01384434,-0.010048477
880.7999878,0.000926852,-0.003812322,-0.011654751,-0.005542136,-0.008201641,-0.013643001,-0.018626863,-0.012978934,-0.019825142,-0.01024259,-0.014440486,-0.010798754,-0.019060384,-0.019760937,-0.015933821,-0.024875384,-0.017642908,-0.01537935,-0.01523966,-0.024062367,-0.019277206,-0.023003519,-0.014005084,-0.017981308,-0.016194306
880,0.001167861,-0.004764281,-0.00971052,-0.011812177,-0.012761206,-0.014433526,-0.015173122,-0.017813781,-0.022009805,-0.01205586,-0.016533187,-0.026494188,-0.014746761,-0.02215929,-0.018430708,-0.021585474,-0.014402976,-0.015547918,-0.019833798,-0.016896952,-0.022761973,-0.025280053,-0.021221969,-0.028333835,-0.019987445
879.2000122,-0.001557919,-0.002672717,-0.009345496,-0.01128354,-0.002302036,-0.017144419,-0.014828074,-0.014033756,-0.017769603,-0.017731186,-0.013825935,-0.020391406,-0.020346355,-0.017150741,-0.021251647,-0.022592938,-0.020473201,-0.01909373,-0.025728945,-0.01990284,-0.020449989,-0.0170945,-0.014377833,-0.021559956,-0.019578209
878.4000244,0.004867803,-0.004217813,-0.001857534,-0.004717782,-0.002344314,-0.008397191,-0.009453156,-0.006465526,-0.010162992,-0.013578777,-0.012878679,-0.015804293,-0.018489355,-0.010292241,-0.013886712,-0.012228793,-0.017636595,-0.017090369,-0.017028145,-0.0107582,-0.014754317,-0.022343786,-0.008393077,-0.020000448,-0.021939423
877.5999756,-0.014522158,-0.016253207,-0.02203628,-0.022111123,-0.020262608,-0.024069861,-0.022587137,-0.018819956,-0.026763653,-0.025571605,-0.026735468,-0.030320296,-0.023718772,-0.027112825,-0.027699254,-0.026206179,-0.027257064,-0.026907813,-0.024663199,-0.032301508,-0.023854734,-0.026726365,-0.026811745,-0.02990556,-0.032765865
876.7999878,-0.010166027,-0.007948109,-0.01050176,-0.023334529,-0.009135166,-0.0191349,-0.023107305,-0.023675436,-0.023137642,-0.018480821,-0.017123368,-0.025934903,-0.024653221,-0.020496018,-0.025973821,-0.025416404,-0.030359305,-0.023258131,-0.028244194,-0.028987005,-0.022953087,-0.027078923,-0.025429931,-0.025635542,-0.026688343
876,-0.008849866,-0.014602511,-0.010184233,-0.007936723,-0.013581036,-0.020724859,-0.015757913,-0.013243658,-0.017669205,-0.014695813,-0.017670348,-0.02423705,-0.017570274,-0.015633376,-0.019213662,-0.019989176,-0.019902889,-0.018589811,-0.016232509,-0.019070791,-0.017194433,-0.021260424,-0.026088407,-0.026415419,-0.020948548
875.2000122,-0.016529499,-0.010805167,-0.016741062,-0.018982735,-0.019592809,-0.027126348,-0.022502201,-0.02107078,-0.024024552,-0.030351436,-0.022990309,-0.024648231,-0.028954413,-0.02915086,-0.0315332,-0.031636748,-0.028920991,-0.02752737,-0.026357638,-0.030101528,-0.027822031,-0.030085009,-0.028616752,-0.034200665,-0.03001718
874.4000244,-0.006652069,-0.011576674,-0.011098169,-0.011994422,-0.015684763,-0.00960576,-0.019628884,-0.014441388,-0.018280331,-0.019207917,-0.015500412,-0.018697983,-0.021483343,-0.01987114,-0.022535823,-0.018208448,-0.0202296,-0.020043906,-0.02361881,-0.020830624,-0.021866569,-0.024245961,-0.016260937,-0.018194845,-0.01921921
873.5999756,-0.001423464,-0.009966415,-0.01529759,-0.014657774,-0.010994955,-0.014900818,-0.015413029,-0.021639708,-0.019507928,-0.02181768,-0.019359756,-0.024254186,-0.017233843,-0.023998098,-0.023167435,-0.021587987,-0.022711858,-0.027773468,-0.028738009,-0.027178969,-0.02647334,-0.023926569,-0.022735048,-0.027043121,-0.024410976
872.7999878,-0.005860214,-0.007243704,-0.011907994,-0.013903861,-0.010043772,-0.017308474,-0.018557768,-0.019131878,-0.019544555,-0.015749874,-0.011855301,-0.021530101,-0.021552123,-0.022981128,-0.022778675,-0.019572468,-0.021665122,-0.019211879,-0.024347786,-0.02078221,-0.023561781,-0.023047363,-0.023605423,-0.018569475,-0.018681716
872,-0.003776038,-0.007004233,-0.005525473,-0.012180973,-0.013481672,-0.016548537,-0.013249684,-0.013640292,-0.016650541,-0.017549541,-0.019822372,-0.01837483,-0.017333297,-0.016893018,-0.021583652,-0.018067282,-0.019008702,-0.01527055,-0.021756969,-0.017824464,-0.025030924,-0.021188293,-0.024239497,-0.021932581,-0.023725439
