wavelength (nm),DOMBlank1,DOMSTD25,DOM12150,DOM12180,DOM12195,DOM12734,DOM12742,DOM12773,DOM12777,DOMBlank2,DOM12906,DOM12983,DOM13037,DOM13123,DOM13124,DOM13163,DOM13243,DOM12856,DOM12859,DOMBlank3,DOM12861,DOM12863,DOM12866,DOM12954,DOM12968,DOM13108,DOM13112,DOM13113,DOM13114,DOMBlank4,DOM13136,DOM13166,DOM13261,DOM13265,DOM13267,DOM13269,DOM13308,DOM13340,DOM13344,DOMBlank5,DOM13481,DOM13493,DOM13495,DOM13524,DOM13532,DOM13539,DOM13540,DOM13541,DOM13544,DOMBlank6,DOM13585,DOM13591,DOM13593,DOM13596,DOM13599,DOMBlank7
900,-0.006799289,-0.009867385,-0.011904014,-0.031825878,-0.024409018,-0.009804019,-0.021183461,-0.026853455,-0.039559636,-0.02156705,0.004242553,-0.023182699,-0.002743718,-0.030510191,-0.022679232,-0.037785016,-0.032918174,-0.013455723,-0.024236266,-0.001077847,-0.012830829,-0.01704069,-0.02917913,-0.002854518,-0.025561061,-0.035524745,-0.000209626,-0.021271516,-0.022051731,-0.035630498,-0.032295164,-0.022223437,-0.004457442,-0.017559983,-0.039202832,-0.015895939,-0.024583707,-0.019296868,-0.03579377,-0.006865949,-0.017479924,-0.028889749,-0.008116232,-0.014921878,-0.014046539,-0.034851573,-0.04027633,-0.032393154,-0.047404025,-0.040703818,0.000723209,-0.024719642,-0.019962674,-0.038530983,-0.017229365,-0.008662082
899.2000122,0.013118532,0.013510928,0.00771855,-0.000346268,-0.029735802,0.001256483,-0.040663701,-0.008541993,-0.009136129,-0.017651508,-0.014017866,-0.014890212,-0.029088937,-0.022222649,-0.048330847,-0.030482247,-0.012451466,-0.024471562,-0.00968075,-0.025190756,-0.001039061,-0.025582684,-0.026304331,-0.026166551,-0.034812346,-0.013306526,-0.02096542,-0.019511243,-0.022016054,-0.016401196,-0.035283908,-0.008508589,-0.021475952,-0.012374991,-0.054636955,-0.038373712,-0.015660094,-0.009810801,-0.013074294,-0.018853221,-0.033006664,9.50E-05,-0.008630363,-0.027459286,-0.017026404,-0.031804178,-0.017372994,-0.011453857,-0.001121897,-0.016930016,-0.035233118,-0.026833549,-0.009273641,-0.041023403,-0.003022877,-0.005372297
898.4000244,-0.015634775,-0.023523482,0.002460507,-0.037625715,-0.030214017,-0.016018754,-0.027698478,-0.012210068,-0.040582083,-0.039127752,-0.018969502,-0.018215349,-0.030335745,-0.043923404,-0.013599802,-0.039378431,-0.038852077,-0.022750231,-0.035063807,-0.026015611,-0.025618607,-0.042088233,-0.041749164,-0.051085927,-0.028146286,-0.006110322,-0.05792306,-0.03250476,-0.035760682,-0.056652453,-0.030728318,-0.052516926,-0.003291426,-0.024045566,-0.034824099,-0.048212394,-0.035054494,-0.027868887,-0.010492562,-0.046248529,-0.026266174,-0.034989875,-0.041145485,-0.035292644,-0.056605965,-0.023561684,-0.055505294,-0.039246585,-0.02616665,-0.030357519,-0.020321306,-0.032685924,-0.045844216,-0.028608561,-0.039593477,-0.04740059
897.5999756,-0.040245373,-0.031888567,-0.030116938,-0.061602224,-0.067151919,-0.070976838,-0.054423984,-0.069997266,-0.051436555,-0.022799652,-0.051792871,-0.065967627,-0.0581691,-0.063969485,-0.076508008,-0.079001233,-0.075877629,-0.074371435,-0.066662319,-0.04420729,-0.033341024,-0.03738381,-0.064951539,-0.052988909,-0.055139836,-0.082041197,-0.06009632,-0.072994843,-0.035402697,-0.059778426,-0.074621543,-0.070139527,-0.069799632,-0.069250643,-0.050865449,-0.055276386,-0.025317369,-0.07584285,-0.048499789,-0.064833872,-0.055294346,-0.066425264,-0.041702885,-0.076397561,-0.047505021,-0.038956027,-0.065920435,-0.051107652,-0.056940269,-0.058060501,-0.061056349,-0.067158133,-0.064853407,-0.081002399,-0.043903373,-0.076509483
896.7999878,-0.00821358,0.007428295,-0.012186863,-0.023256805,0.001389735,-0.007371788,-0.027393429,-0.021746088,-0.035377596,-0.019305037,-0.048385825,-0.035919283,-0.052698005,-0.038677067,-0.039233055,-0.036962215,-0.021744264,-0.014941386,-0.027713049,-0.022068119,-0.013301604,-0.057606015,-0.026615258,-0.033365574,-0.028893188,-0.025870765,-0.031760003,-0.051058769,-0.020452952,-0.006168003,-0.024679193,-0.02285005,-0.034133475,-0.012420827,-0.033956647,-0.030329179,-0.043878481,-0.034510534,-0.010849454,-0.034619063,-0.034223966,-0.024241015,-0.024892936,-0.036122467,-0.044340026,-0.037643138,-0.018880386,-0.026760442,-0.0246158,-0.03627827,-0.021282606,-0.008726986,-0.007264375,-0.046520483,-0.036161959,-0.027643247
896,-0.027365576,0.001373712,-0.00012734,-0.040930312,-0.029343637,-0.011750957,-0.038711261,-0.031512305,-0.035400502,-0.034653626,-0.036711566,-0.042967327,-0.023794208,-0.046956509,-0.034181524,-0.031657591,-0.038478959,-0.026478114,-0.033959858,-0.008683193,-0.037230827,-0.01792716,-0.048107158,-0.01564726,-0.045847431,-0.021512808,-0.030603418,-0.023869827,-0.035990007,-0.018444799,-0.035931628,-0.044479635,-0.04546503,-0.020593889,-0.024273966,-0.031017153,-0.011960578,-0.054150768,-0.027333783,-0.05576637,-0.00927506,-0.015773939,-0.005002943,-0.029472867,-0.041111387,-0.045437332,-0.020161007,-0.014436931,-0.017184481,-0.008535241,-0.030265784,-0.023726517,-0.032731153,-0.034957778,-0.03801541,-0.018166645
895.2000122,-0.02698547,-0.009720139,-0.029350074,-0.050303739,-0.027021375,-0.045135211,-0.038658407,-0.020254703,-0.039519221,-0.053035602,-0.055585794,-0.037370462,-0.049450196,-0.054741759,-0.028773138,-0.030192526,-0.048944473,-0.042548213,-0.019387729,-0.058689531,-0.028310699,-0.029817499,-0.049945503,-0.059285358,-0.03327217,-0.020501055,-0.067596309,-0.041883543,-0.040621925,-0.049768906,-0.043715455,-0.060452454,-0.052398551,-0.035214979,-0.049297571,-0.027181303,-0.02945371,-0.046091933,-0.022418281,-0.046419445,-0.038224254,-0.041933987,-0.034076422,-0.039055929,-0.049861092,-0.031188481,-0.050351273,-0.031347219,-0.046415675,-0.021112798,-0.043642748,-0.03613352,-0.057117105,-0.046251133,-0.055413254,-0.06369438
894.4000244,-0.010718703,-0.006868039,0.008283891,-0.009932768,0.003242801,-0.010260742,-0.012622482,-0.035502993,-0.02574412,-0.012032646,-0.013188918,-0.00946501,-0.016240289,-0.031889096,-0.014135049,-0.021465654,-0.026457217,-0.022709746,-0.025148006,-0.017550038,-0.017030984,-0.026907327,-0.023785092,-0.019675693,-0.015086473,-0.024670782,-0.024445869,-0.010351645,-0.032719776,-0.015957376,-0.025478121,-0.015335274,-0.021222757,-0.026188292,0.000607062,-0.02032017,-0.011007069,-0.018420089,-0.019892059,-0.025129488,-0.038298775,-0.017974304,-0.026326794,-0.024964551,-0.015432916,-0.011243991,-0.006278444,-0.023034548,-0.020115238,-0.019297263,-0.015608405,-0.017851098,-0.028869743,-0.014826172,-0.012640736,-0.020720663
893.5999756,-0.002170644,-0.018159743,-0.01821252,0.001996117,-0.011384115,-0.023153888,-0.013807279,-0.031264078,-0.022938404,-0.020579372,-0.020164169,-0.026418781,-0.025401413,-0.012941498,-0.040382296,-0.016256697,-0.036104791,-0.020422773,-0.048107114,-0.016751772,-0.020203114,-0.023566391,-0.018721437,-0.040806618,-0.022572836,-0.012552626,-0.020299025,-0.028454248,-0.020616945,-0.020254111,-0.021140464,-0.026029753,-0.017480621,-0.018384706,-0.045602322,-0.028388396,-0.022810606,-0.041005645,-0.039953973,-0.029616807,-0.029591274,-0.015225863,-0.022608615,-0.00181691,-0.035424218,-0.035527084,-0.027969189,-0.018531824,-0.00630559,-0.032379795,-0.041411426,-0.019965343,-0.028007584,-0.015101224,-0.022563349,-0.036694154
892.7999878,-0.017046416,-0.028551796,-0.014829875,-0.017616808,-0.026179809,-0.022634367,-0.035277464,-0.030229229,-0.036577288,-0.037547946,-0.035192586,-0.043396205,-0.046949305,-0.028995045,-0.028461909,-0.03940491,-0.041385069,-0.048725266,-0.038862728,-0.029938178,-0.03156098,-0.03486973,-0.044743359,-0.028558342,-0.033212896,-0.026318658,-0.032969236,-0.030781567,-0.045156721,-0.037246458,-0.056200176,-0.024626855,-0.037323143,-0.046484899,-0.035539344,-0.021343384,-0.024328206,-0.036883134,-0.049626138,-0.047702394,-0.032561347,-0.045220081,-0.032866292,-0.037640337,-0.02867908,-0.050500121,-0.03246801,-0.042900451,-0.028002875,-0.039875437,-0.037040804,-0.041751657,-0.04258154,-0.022873774,-0.033740569,-0.033894736
