wavelength (nm),DOMBlank1,DOMSTD27,DOM13465F,DOM12770,DOM12978,DOM12984,DOM13002,DOM13018,DOM13019,DOMBlank2,DOM13051,DOM13451,DOM13453,DOM13154,DOM13469,DOM13470,DOM13471,DOM13617,DOM13260,DOMBlank3,DOM13264,DOM13316,DOM13333,DOM13416,DOM13538,DOM13542,DOM13543,DOM13545,DOM13546,DOMBlank4,DOM13551,DOM13552,DOM13553,DOM13558,DOM13559,DOMBlank5
891.2000122,-0.01947313,-0.01314703,-0.002313984,-0.007010499,-0.016600613,-0.024349352,-0.025346525,-0.018576618,-0.034735218,-0.030344291,-0.018833391,-0.015003358,-0.023793718,-0.017221902,-0.029888161,-0.025994107,-0.011822555,-0.033340883,-0.018739834,-0.004623336,-0.021144457,-0.031882167,-0.026120486,-0.017163182,-0.016458724,-0.033269726,-0.013721962,-0.033279505,-0.031714674,-0.035527989,-0.023175435,-0.035965227,-0.027027942,-0.028788788,-0.033954687,-0.022042776
890.4000244,0.00083713,-0.008329545,-0.01169502,-0.022630828,-0.009113519,-0.026039846,-0.026685275,-0.011414373,-0.032971829,-0.01779758,-0.022046024,-0.023425827,-0.021525372,-0.024774611,-0.025655894,-0.029544601,-0.033441078,-0.016444666,-0.005386104,-0.02969664,-0.036236502,-0.017733373,-0.021158757,-0.021375718,-0.022149105,-0.014184308,-0.015678572,-0.00657278,-0.031648878,-0.020471966,-0.009689003,-0.014657974,-0.027924478,-0.011301145,-0.023519509,-0.024879588
889.5999756,0.008477728,0.006244393,0.003784089,-0.011944914,-0.009873762,-0.00664177,-0.004088744,-0.022617215,-0.002460004,-0.015681017,-0.028321078,-0.011673047,-0.024813583,-0.006695149,-0.008105562,-0.002033029,-0.002255274,-0.019331679,-0.026422288,-0.022245226,-0.005671133,-0.026268367,-0.021501919,-0.008461474,-0.006916907,-0.030206725,-0.005203313,-0.014006838,-0.011019234,-0.033867106,-0.025823303,-0.008023997,-0.008023997,-0.010298763,-0.026119024,-0.024862722
888.7999878,-0.007667776,-0.009121479,0.01305968,0.000344938,-0.011485069,-0.015612501,-0.024755197,0.002442518,-0.003627122,-0.021404548,-0.016266871,-0.016923642,-0.008984476,-0.016720438,-0.014901168,-0.010456428,-0.021372218,-0.021273635,-0.026769301,-0.009158789,-0.022038888,-0.028094994,-0.028816987,-0.015131325,-0.024576368,-0.0197223,-0.017787047,-0.031866774,-0.017789979,-0.025885301,-0.026280258,-0.01932336,-0.009847192,-0.019087685,-0.024212176,-0.023790484
888,0.004341426,0.003314944,-0.005765556,0.000330664,-0.003431776,-5.35E-05,0.005658069,-0.008070549,-2.35E-05,-0.001462422,-0.000411185,-0.012670455,-0.004457032,0.002558037,-0.01383095,-0.011767031,-0.018934214,-0.004908815,-0.003946964,-0.012060896,0.017378325,-0.016192161,-0.01278212,-0.026722422,-0.006209192,-0.002739654,0.001491311,-0.010830468,-0.01675486,-0.019114044,0.007413338,-0.008208602,-0.025646085,-0.020307275,-0.01539539,-0.017442478
887.2000122,-0.018004106,-0.004951863,-0.019657832,-0.036787108,-0.026174497,-0.024284687,-0.02355374,-0.029535895,-0.024883451,-0.044916127,-0.030875942,-0.03464115,-0.035678569,-0.025331873,-0.037158307,-0.038920149,-0.031540517,-0.02737627,-0.037156835,-0.027867528,-0.047756061,-0.030365292,-0.04191523,-0.037682068,-0.030414965,-0.029634554,-0.043350104,-0.03319462,-0.025286207,-0.030393098,-0.033241671,-0.03019383,-0.035506714,-0.03480408,-0.028124789,-0.029763261
886.4000244,-0.005893719,0.009252516,0.007731672,-0.005383649,-0.004776622,0.000357451,0.007911739,-0.015054119,-0.005652021,0.003595989,-0.019542972,-0.015292143,-0.012702183,-0.020815967,-0.018559901,-0.008909467,-0.012309321,-0.013799456,-0.018992499,-0.017567441,-0.008343359,-0.013751858,-0.018785946,-0.010299775,-0.009902456,-0.008318677,-0.023769703,-0.018316267,-0.010459965,-0.011135462,-0.017397765,-0.008019879,-0.016603753,-0.016048292,-0.03036225,-0.009946935
885.5999756,-0.004533224,-0.008216476,0.001909191,-0.019525252,-0.016307212,-0.011804266,-0.011649863,-0.010267315,-0.004929648,-0.012960644,-0.011355216,-0.02387365,-0.010955933,-0.013740974,-0.010577657,-0.029463772,-0.018455865,-0.016336981,-0.010853442,-0.014093753,-0.024045028,-0.010870106,-0.004285487,-0.009671232,-0.010335316,-0.013822977,-0.021405829,-0.022601441,-0.026135402,-0.022033179,-0.028880062,-0.016643863,-0.010366204,-0.023507886,-0.016136894,-0.019618591
884.7999878,-0.006359572,-0.021462599,-0.015926983,-0.013874678,-0.017335238,-0.017146211,-0.012154695,-0.030631596,-0.018987888,-0.016240241,-0.017655386,-0.02635452,-0.032016654,-0.022167357,-0.019813865,-0.027618518,-0.024983712,-0.020894326,-0.019349307,-0.018668277,-0.022449059,-0.016737277,-0.023965079,-0.030713702,-0.02609689,-0.028208973,-0.023269612,-0.032374941,-0.01884276,-0.029834079,-0.012491158,-0.015974393,-0.020331336,-0.023346893,-0.021598727,-0.027525134
884,-0.003986876,0.004500606,0.000595578,-0.008135999,-0.010707136,-0.009569146,-0.015303438,-0.014064432,-0.01495049,-0.024570009,0.001397785,-0.003936806,-0.017988857,-0.008533718,-0.01664486,-0.00380524,-0.012390086,-0.019814804,-0.021814531,-0.026163774,-0.026290102,-0.006766261,-0.025452878,-0.015130824,-0.020965617,-0.007505789,-0.017012464,-0.017672386,-0.021022888,-0.021308092,-0.015769245,-0.009661206,-0.008108204,-0.013224475,-0.013423197,-0.017989801
