wavelength (nm),DOMBlank1,DOMSTD29,DOM13163,DOM12719,DOM13123,DOM13010,DOM11895,DOM12258,DOM12660,DOMBlank2,DOM12940,DOM12994,DOM12998,DOM12999,DOM13000,DOM13023,DOM13071,DOM13439,DOM13440,DOM13449,DOM13459,DOM11931,DOM12157,DOMBlank3
886.4000244,-0.014247139,-0.006075812,-0.024497252,-0.01251812,-0.017021526,-0.00822562,-0.014543186,-0.022654416,-0.016395912,-0.023020113,-0.033142436,-0.014229954,-0.02243962,-0.018763635,-0.013207199,-0.016534185,-0.014574226,-0.01600593,-0.020965764,-0.02464691,-0.020072332,-0.022281624,-0.014132493,-0.02638234
885.5999756,0.001711895,-0.002569076,0.004526265,-0.007277663,-0.016070394,-0.01196496,-0.011264825,-0.019027136,-0.008262602,-0.023075642,-0.014037015,-0.022446109,-0.014910172,-0.004151309,-0.010666321,-0.006138755,-0.010313476,-0.014360804,-0.014146375,-0.017329667,-0.018492134,-0.013638887,-0.01691244,-0.008272354
884.7999878,-0.003645194,-0.006798015,-0.000833246,-0.004724542,-0.012911346,-0.008275656,-0.012866616,-0.010183222,-0.019817576,-0.012314001,-0.017301807,-0.010989755,-0.020088496,-0.017983692,-0.025047932,-0.024380287,-0.024666622,-0.019703351,-0.020706991,-0.014581986,-0.020298678,-0.029347897,-0.016474126,-0.017879071
884,0.002480735,0.006034855,-0.005441632,-0.005351434,-0.00685642,-0.004572724,-0.007829601,-0.004752196,-0.014079468,-0.015539526,-0.004979451,-0.005549906,-0.001007451,-0.019343514,-0.014703921,-0.009805183,-0.015374503,-0.015376751,-0.018874289,-0.012029775,-0.002171623,-0.006388652,-0.013132614,-0.005954085
883.2000122,-0.005993864,-0.010755473,-0.009511864,-0.016805865,-0.00560991,-0.012628667,-0.01549092,-0.011291208,-0.019237338,-0.014892363,-0.022482095,-0.007938604,-0.012176996,-0.012306805,-0.027177511,-0.004876256,-0.013465912,-0.020663302,-0.008987063,-0.01783962,-0.01808789,-0.017666917,-0.013347996,-0.017718811
882.4000244,0.005674355,-0.007307802,-0.000583492,-0.015943952,-0.010908226,-0.007962545,-0.007976219,-0.011431569,-0.019097842,-0.010415842,-0.018924054,-0.014619081,-0.014991704,-0.019493375,-0.019001864,-0.001193204,-0.019530252,-0.011129356,-0.01968178,-0.011362933,-0.022085192,-0.010497465,-0.010687689,-0.011268962
881.5999756,-0.004110643,-0.00717099,-0.018159097,-0.018196732,-0.016547641,-0.017132277,-0.025924319,-0.017386027,-0.012018696,-0.014129587,-0.010666271,-0.022696037,-0.018513914,-0.016532838,-0.030257236,-0.024516139,-0.015918847,-0.025696836,-0.016095638,-0.01749027,-0.020000152,-0.02188882,-0.018270204,-0.012384852
880.7999878,-0.013649874,-0.009341392,-0.014717935,-0.015748426,-0.016301129,-0.013972448,-0.023879921,-0.01937451,-0.0242464,-0.013704907,-0.02285064,-0.023304747,-0.025962116,-0.018288471,-0.016946597,-0.022220977,-0.024006819,-0.02872725,-0.030175526,-0.015626734,-0.019738428,-0.027839947,-0.022406923,-0.023695977
880,-0.006738939,-0.010968403,-0.011248834,-0.009056836,-0.015800998,-0.01695287,-0.023451481,-0.016079623,-0.016611975,-0.024014363,-0.019395206,-0.016517539,-0.014454659,-0.019749261,-0.0198291,-0.021904277,-0.030336808,-0.019107008,-0.014891412,-0.017356876,-0.015752221,-0.015286544,-0.015151174,-0.026354373
879.2000122,-0.015762106,-0.014187515,-0.011446091,-0.025121475,-0.030422833,-0.02957686,-0.019722993,-0.025443552,-0.024586007,-0.018334035,-0.028861556,-0.026544793,-0.026944065,-0.017290514,-0.024583219,-0.022447485,-0.029868878,-0.025961824,-0.015589875,-0.026858322,-0.026609123,-0.028422294,-0.027332179,-0.031190891
